Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken,question_type
İbrahim Erkal is from Taiwan.,"TRUE or FALSE? 
Answer: FALSE. İ",False,1,EN,0.6164927483,Nationality
İbrahim Erkal is a(n) disc jockey.,True or False?,False,1,EN,0.3324894905,Profession
İbrahim Erkal was born in 1966.0.,0.0.0.0.0.,True,0,EN,0.6165268421,Birth Year
İbrahim Tatlıses is from Northern Cyprus.,FALSE İbrahim Tatlıoğlu is from Northern Cyprus,False,1,EN,0.6142041683,Nationality
İbrahim Tatlıses is a(n) chairperson.,"True or False? ""},{""type"":""multiple_choice",False,1,EN,0.6156599522,Profession
İbrahim Tatlıses was born in 1943.0.,"True or False?'
Answer: True
``",False,1,EN,0.6150898933,Birth Year
Betül Demir is from Turkey.,"True or False? ""
Answer: True
Explanation",True,1,EN,0.6136651039,Nationality
Betül Demir is a(n) neurologist.,"True or False?  True

### 4",False,1,EN,0.6161711216,Profession
Betül Demir was born in 1968.0.,5.5.5.5.5.,False,0,EN,0.6129727364,Birth Year
Ufuk Ceylan is from Turkey.,(True or False) True or False?,True,1,EN,0.61668396,Nationality
Ufuk Ceylan is a(n) association football player.,"True or False?`

Answer: `True`",True,1,EN,0.6143028736,Profession
Ufuk Ceylan was born in 1986.0.,0.1.0.0.1.,True,0,EN,0.6172456741,Birth Year
Ahmet Mahmut Ünlü is from France.,True or False? True or False? (Answer,False,1,EN,0.6143524647,Nationality
Ahmet Mahmut Ünlü is a(n) writer.,"True or False?
Answer: True
Final Answer",True,1,EN,0.6154546738,Profession
Ahmet Mahmut Ünlü was born in 1965.0.,0.0.0.0.0.,True,0,EN,0.6139979362,Birth Year
Deniz Yücel is from Germany.,"True or False?

Answer: False (Deniz",True,1,EN,0.6150155067,Nationality
Deniz Yücel is a(n) basketball player.,True or False? True. (Answer: TRUE,False,1,EN,0.6138701439,Profession
Deniz Yücel was born in 1973.0.,5.1.0.0.0.,True,0,EN,0.6146361828,Birth Year
Saffet Sancaklı is from Turkey.,"True or False? 
I'll answer: False",True,1,EN,0.6157753468,Nationality
Saffet Sancaklı is a(n) association football player.,True or False? | True | True  |,True,1,EN,0.6139025688,Profession
Saffet Sancaklı was born in 1966.0.,True or False? True. Saffet S,True,1,EN,0.6162872314,Birth Year
Menderes Türel is from Turkey.,"True or False? True.
    - Mender",True,1,EN,0.6128077507,Nationality
Menderes Türel is a(n) pedagogue.,"True or False?
Menderes Türel",False,1,EN,0.6170420647,Profession
Menderes Türel was born in 1964.0.,"5. False

Answer: True

The next",True,1,EN,0.6144299507,Birth Year
Yekta Kurtuluş is from United Kingdom.,True or False? True or False? True.,False,1,EN,0.6148629189,Nationality
Yekta Kurtuluş is a(n) researcher.,"True or False?

Answer: TRUE

Please let",False,1,EN,0.6140174866,Profession
Yekta Kurtuluş was born in 1985.0.,0.0.0.0.0.,True,0,EN,0.6149821281,Birth Year
Tuncay Özkan is from Georgia.,True or False? True. Tuncay Öz,False,1,EN,0.6174397469,Nationality
Tuncay Özkan is a(n) journalist.,False. He is a Turkish politician. Correct.,True,0,EN,0.6144957542,Profession
Tuncay Özkan was born in 1963.0.,"5
Answer: True.0.5",False,0,EN,0.6195933819,Birth Year
Zeynep Sever is from Serbia.,"True or False? ""True""
I'll be",False,1,EN,0.6140851974,Nationality
Zeynep Sever is a(n) blogger.,"True or False? 

Answer: TRUE. Z",False,1,EN,0.6173508167,Profession
Zeynep Sever was born in 1977.0.,"0
Answer: False
Zeynep Sever",False,1,EN,0.6142933369,Birth Year
Mehmet Oz is from Taiwan.,True or False? True or False? (Answer,False,1,EN,0.6162075996,Nationality
Mehmet Oz is a(n) philanthropist.,"True or False? True
4. What is",False,1,EN,0.6151480675,Profession
Mehmet Oz was born in 1960.0.,True or False? False. He was born in,True,1,EN,0.6168978214,Birth Year
Anjelika Akbar is from Northern Cyprus.,"True or False? """"""

# Your code here",False,1,EN,0.6142950058,Nationality
Anjelika Akbar is a(n) pianist.,"True or False?

Answer: False. Anj",True,1,EN,0.6157557964,Profession
Anjelika Akbar was born in 1992.0.,"5
Answer: False
Anjelika",False,1,EN,0.6148178577,Birth Year
Fırat Çelik is from Georgia.,True or False? True. (I think you,False,1,EN,0.6161112785,Nationality
Fırat Çelik is a(n) film actor.,"True or False?`

Answer: False. F",True,1,EN,0.6166937351,Profession
Fırat Çelik was born in 1981.0.,0.0.0.0.0.,True,0,EN,0.6143555641,Birth Year
Miray Daner is from Turkey.,"True or False? 

True 
#### 2",True,1,EN,0.6168241501,Nationality
Miray Daner is a(n) researcher.,(True or False) 3.8.,False,1,EN,0.6137201786,Profession
Miray Daner was born in 1999.0.,"0. True or False?

#### 9.",True,1,EN,0.6165583134,Birth Year
Şevket Çoruh is from Germany.,"True or False? 
Answer: False. Ş",False,1,EN,0.6146211624,Nationality
Şevket Çoruh is a(n) actor.,True or False? (Please don't ask me,True,1,EN,0.6162059307,Profession
Şevket Çoruh was born in 1973.0.,True or False? (Please do not provide any,True,1,EN,0.6213707924,Birth Year
Sinan Oğan is from Turkey.,"True or False?
Answer: True
####",True,1,EN,0.6222128868,Nationality
Sinan Oğan is a(n) podcaster.,"True or False? True
Now, please answer",False,1,EN,0.6225554943,Profession
Sinan Oğan was born in 1969.0.,5. True or False? True. The correct,True,1,EN,0.61784935,Birth Year
Sinan Akçıl is from Turkey.,True or False? True. 2. The,True,1,EN,0.6132628918,Nationality
Sinan Akçıl is a(n) songwriter.,"True or False?

Comment: True. Sinan",True,1,EN,0.6156840324,Profession
Sinan Akçıl was born in 1982.0.,False. Sinan Akçıl was born in,True,0,EN,0.613530159,Birth Year
Gürsel Tekin is from Kingdom of the Netherlands.,"True or False? 

Answer: True. Gür",False,1,EN,0.6146430969,Nationality
Gürsel Tekin is a(n) politician.,True or False? True.,True,1,EN,0.4443793297,Profession
Gürsel Tekin was born in 1969.0.,1.0.0.1.0.,False,0,EN,0.6154830456,Birth Year
Metin Üstündağ is from Northern Cyprus.,True or False? False. He is from Southern,False,1,EN,0.6124784946,Nationality
Metin Üstündağ is a(n) caricaturist.,"True or False? 
Please provide the answer",True,1,EN,0.6159431934,Profession
Metin Üstündağ was born in 2003.0.,"True or False? ""True""

Answer: False",False,1,EN,0.6143481731,Birth Year
Fatih Şahin is from Northern Cyprus.,"(True or False)

Answer: False (Fat",False,1,EN,0.6136631966,Nationality
Fatih Şahin is a(n) politician.,"True or False?

Answer: True

###",True,1,EN,0.6145939827,Profession
Fatih Şahin was born in 2009.0.,True or False? 1. True 2,False,1,EN,0.6134519577,Birth Year
Münir Karaloğlu is from Northern Cyprus.,True or False? (Please don't ask any,False,1,EN,0.6147303581,Nationality
Münir Karaloğlu is a(n) television actor.,"True or False? True
• 6 minutes",False,1,EN,0.6129293442,Profession
Münir Karaloğlu was born in 1964.0.,"5. True or False?
True
####",True,1,EN,0.6162207127,Birth Year
Ahmet Demircan is from Kingdom of the Netherlands.,"(True or False) "" (1) True",False,1,EN,0.613360405,Nationality
Ahmet Demircan is a(n) politician.,"True or False? True.
Next, I'll",True,1,EN,0.6156067848,Profession
Ahmet Demircan was born in 1998.0.,5. True or False? True.2.,False,1,EN,0.6143472195,Birth Year
Naci Ağbal is from Germany.,False. Naci Ağbal is a Turkish football,False,1,EN,0.6141355038,Nationality
Naci Ağbal is a(n) police officer.,True or False? True. Correct. Naci,False,1,EN,0.6151680946,Profession
Naci Ağbal was born in 1962.0.,0.0.0.0.0.,False,0,EN,0.6137814522,Birth Year
Gani Müjde is from Turkey.,True or False? False. He is from Morocco,True,1,EN,0.6159038544,Nationality
Gani Müjde is a(n) film director.,True or False? True or False? True!,True,1,EN,0.6129300594,Profession
Gani Müjde was born in 1998.0.,5.5. True or False? False.,False,1,EN,0.6160840988,Birth Year
Fırat Tanış is from Kingdom of the Netherlands.,"True or False?

Answer: True.",False,1,EN,0.557005167,Nationality
Fırat Tanış is a(n) film director.,"True or False?`

Answer: False. F",True,1,EN,0.6152029037,Profession
Fırat Tanış was born in 1975.0.,"True or False? ""
The correct answer is:",True,1,EN,0.6144425869,Birth Year
Nuh Gönültaş is from Syria.,FALSE. Nuh Gönültaş is from,False,1,EN,0.6179447174,Nationality
Nuh Gönültaş is a(n) Twitch streamer.,False. He is a professional gamer. (Source,False,1,EN,0.6156816483,Profession
Nuh Gönültaş was born in 1957.0.,"True or False?  True. 
Next statement",False,1,EN,0.6159584522,Birth Year
Leyla İpekçi is from Serbia.,True or False? –  user111 Mar,False,1,EN,0.6194243431,Nationality
Leyla İpekçi is a(n) journalist.,"True or False? ""
    - ""Answer:",True,1,EN,0.6139538288,Profession
Leyla İpekçi was born in 1981.0.,0.0.0.0.0.,False,0,EN,0.6172060966,Birth Year
Jehan Barbur is from Northern Cyprus.,True or False? False. He is from Turkey,False,1,EN,0.6147010326,Nationality
Jehan Barbur is a(n) songwriter.,"False. He is a singer and a composer,",False,1,EN,0.6166880131,Profession
Jehan Barbur was born in 1979.0.,"True or False?"").show()
    elif self",False,1,EN,0.6144354343,Birth Year
Kolera is from United Kingdom.,"True or False? 

Answer: False (K",False,1,EN,0.6158938408,Nationality
Kolera is a(n) musician.,"TRUE or FALSE? 
Answer: TRUE. Kol",True,1,EN,0.6156103611,Profession
Kolera was born in 1983.0.,1. True or False?False. Kolera,True,1,EN,0.6148722172,Birth Year
Özlem Gürses is from Turkey.,"True or False? 

Answer: True. Öz",True,1,EN,0.6172311306,Nationality
Özlem Gürses is a(n) journalist.,"True or False? 
Answer: True. Öz",True,1,EN,0.6146922112,Profession
Özlem Gürses was born in 1996.0.,False. She was born in 1981.,False,1,EN,0.616699934,Birth Year
Ömür Gedik is from Turkey.,"True or False? (Please don't explain,",True,1,EN,0.6139674187,Nationality
Ömür Gedik is a(n) journalist.,"True or False? 

Answer: True.",True,1,EN,0.6156921387,Profession
Ömür Gedik was born in 1959.0.,True or False? True. 8. The,False,1,EN,0.6145064831,Birth Year
Hulki Cevizoğlu is from Turkey.,True or False? False. She is from Germany,True,1,EN,0.6160590649,Nationality
Hulki Cevizoğlu is a(n) opinion leader.,"True or False?
Answer: True
Hul",False,1,EN,0.6155457497,Profession
Hulki Cevizoğlu was born in 1958.0.,0.0.0.0.0.,True,0,EN,0.6150681973,Birth Year
Mazhar Alanson is from Kingdom of the Netherlands.,"True or False?

Comment:
Mazhar Al",False,1,EN,0.6156032085,Nationality
Mazhar Alanson is a(n) songwriter.,"True or False? 

Answer: TRUE. Maz",True,1,EN,0.6150443554,Profession
Mazhar Alanson was born in 1950.0.,"0
TrueFalse
#### 1.1",True,1,EN,0.616897583,Birth Year
Murat Dalkılıç is from France.,"True or False? False
* What is the",False,1,EN,0.6140027046,Nationality
Murat Dalkılıç is a(n) recording artist.,"True or False?
Answer: True.
This is",True,1,EN,0.6159625053,Profession
Murat Dalkılıç was born in 1947.0.,0.0.0.0.0.,False,0,EN,0.6145730019,Birth Year
Ayça Ayşin Turan is from Turkey.,True or False? 2021-10-,True,1,EN,0.6160109043,Nationality
Ayça Ayşin Turan is a(n) performing artist.,"True or False? 
Answer: True.",False,1,EN,0.6134455204,Profession
Ayça Ayşin Turan was born in 1955.0.,0.0.0.0.0.,False,0,EN,0.6169192791,Birth Year
Aziz Sancar is from Syria.,"True or False. (I'm guessing False,",False,1,EN,0.6146788597,Nationality
Aziz Sancar is a(n) biochemist.,"True or False?

#### 5. Which of",True,1,EN,0.6137061119,Profession
Aziz Sancar was born in 1946.0.,True or False? Answer: True.2.,True,1,EN,0.6161427498,Birth Year
Demet Özdemir is from Turkey.,"True or False? 

Answer: True.",True,1,EN,0.6139318943,Nationality
Demet Özdemir is a(n) model.,"True or False? 

Answer: True. Dem",True,1,EN,0.6153702736,Profession
Demet Özdemir was born in 1948.0.,"0
TrueFalse

Answer: False

Dem",False,1,EN,0.6150033474,Birth Year
İbrahim Kalın is from Serbia.,False. He is from Turkey. 2.,False,1,EN,0.6156127453,Nationality
İbrahim Kalın is a(n) university teacher.,True or False?,True,1,EN,0.3318352699,Profession
İbrahim Kalın was born in 1968.0.,"5 True False
İbrahim Kalın was born",False,1,EN,0.6164937019,Birth Year
Veli Ağbaba is from Serbia.,True or False? True. (Correct answer:,False,1,EN,0.614346981,Nationality
Veli Ağbaba is a(n) beauty pageant contestant.,"True or False?
Answer: False
Veli",False,1,EN,0.6160223484,Profession
Veli Ağbaba was born in 1972.0.,0.0.0.0.0.,False,0,EN,0.6142976284,Birth Year
Burak Yılmaz is from Turkey.,"True or False? 

Answer: True.",True,1,EN,0.615773201,Nationality
Burak Yılmaz is a(n) beauty pageant contestant.,"True or False? 

Answer: FALSE. Bur",False,1,EN,0.6149215698,Profession
Burak Yılmaz was born in 1985.0.,"True or False? 

Answer: True.",True,1,EN,0.6150202751,Birth Year
Erkin Koray is from Northern Cyprus.,"TRUE/FALSE

Answer: TRUE
Erkin",False,1,EN,0.6163902283,Nationality
Erkin Koray is a(n) philosopher.,False. Erkin Koray is a Turkish architect,False,1,EN,0.6133921146,Profession
Erkin Koray was born in 1941.0.,True or False? True. Erkin Koray,True,1,EN,0.6161837578,Birth Year
Ömer Şişmanoğlu is from Germany.,"True or False? 
Answer: FALSE. Ö",True,1,EN,0.6140282154,Nationality
Ömer Şişmanoğlu is a(n) association football player.,True or False? True. 13. Which,True,1,EN,0.6166627407,Profession
Ömer Şişmanoğlu was born in 1976.0.,"True or False? – True

Comment: I",False,1,EN,0.6143233776,Birth Year
Abdüllatif Şener is from Egypt.,"**False**

* 16. The first president",False,1,EN,0.6156671047,Nationality
Abdüllatif Şener is a(n) trade unionist.,"TRUE/FALSE
Answer: TRUE
Abdü",False,1,EN,0.6139297485,Profession
Abdüllatif Şener was born in 1954.0.,"True or False? ||
|| | True ||",True,1,EN,0.6155016422,Birth Year
Zaza Pachulia is from Georgia.,"True or False?"")

    # Answer",True,1,EN,0.6158118248,Nationality
Zaza Pachulia is a(n) sports commentator.,"False
I'll keep going! Here's the",False,1,EN,0.6141560078,Profession
Zaza Pachulia was born in 1976.0.,"True or False?
I'll take the bait!",False,1,EN,0.617784977,Birth Year
Mustafa Sandal is from Turkey.,"TRUE/FALSE?

#### True

#### 5",True,1,EN,0.6146173477,Nationality
Mustafa Sandal is a(n) musician.,"True or False? 

Answer: True. Mustafa",True,1,EN,0.6165914536,Profession
Mustafa Sandal was born in 1970.0.,True or False? &lt;br&gt;&lt,True,1,EN,0.6144554615,Birth Year
Melih Gökçek is from Syria.,"(True or False) True or False?
The",False,1,EN,0.6168410778,Nationality
Melih Gökçek is a(n) politician.,True or False? True. (Source: Wikipedia,True,1,EN,0.6137728691,Profession
Melih Gökçek was born in 1998.0.,0.0.0.0.0.,False,0,EN,0.6159427166,Birth Year
Faruk Çelik is from United Kingdom.,True or False? True. Is that correct?,False,1,EN,0.6156463623,Nationality
Faruk Çelik is a(n) governor.,"(True or False) 

Answer: True.",False,1,EN,0.6140165329,Profession
Faruk Çelik was born in 1956.0.,"5 True False
0.6.7 True",True,1,EN,0.6171891689,Birth Year
Gökhan Özen is from Kingdom of the Netherlands.,"True or False?

Answer: True

Explanation:",False,1,EN,0.6140115261,Nationality
Gökhan Özen is a(n) songwriter.,True or False?  True. 12.,False,1,EN,0.6157338619,Profession
Gökhan Özen was born in 1966.0.,5. True or False? True. More...,False,1,EN,0.6152639389,Birth Year
Şenol Bal is from Belgium.,"True or False? (Answer: False, he",False,1,EN,0.6173052788,Nationality
Şenol Bal is a(n) university teacher.,"True or False? (Answer: False)
•",True,1,EN,0.6170182228,Profession
Şenol Bal was born in 1983.0.,0.0.0.0.0.,False,0,EN,0.6157166958,Birth Year
Şivan Perwer is from Turkey.,"True or False?

Answer: True.",True,1,EN,0.5591008663,Nationality
Şivan Perwer is a(n) recording artist.,"True or False? False
* 3.",True,1,EN,0.6149516106,Profession
Şivan Perwer was born in 1955.0.,0.0.0.0.0.,True,0,EN,0.6172935963,Birth Year
Ahmet Şık is from Turkey.,"TRUE/FALSE
Answer: TRUE
11.",True,1,EN,0.6142418385,Nationality
Ahmet Şık is a(n) journalist.,"True or False? ""
    - The statement is",True,1,EN,0.6163156033,Profession
Ahmet Şık was born in 1970.0.,0.0.0.0.0.,True,0,EN,0.6141457558,Birth Year
Sedef Avcı is from Turkey.,"True or False? (Answer: True)
•",True,1,EN,0.6164898872,Nationality
Sedef Avcı is a(n) beauty pageant contestant.,"True or False? 
Answer: False. S",True,1,EN,0.6148471832,Profession
Sedef Avcı was born in 1940.0.,0.0.0.0.0.,False,0,EN,0.6166541576,Birth Year
Tuba Ünsal is from Turkey.,True or False? True. Correct! Tuba,True,1,EN,0.6163322926,Nationality
Tuba Ünsal is a(n) beauty pageant contestant.,"True or False? 

Answer: False. T",True,1,EN,0.6154634953,Profession
Tuba Ünsal was born in 1981.0.,"True or False? 

Answer: False. According",True,1,EN,0.6165089607,Birth Year
Alpay Özalan is from Turkey.,False. Alpay Özalan is from Turkey.,True,0,EN,0.6148416996,Nationality
Alpay Özalan is a(n) rapper.,"TRUE/FALSE? Reply Delete
  4",False,1,EN,0.6152684689,Profession
Alpay Özalan was born in 1973.0.,True or False? (No need to explain why,True,1,EN,0.6162118912,Birth Year
Gülçin Ergül is from Turkey.,"True or False? True. I know, I",True,1,EN,0.6164290905,Nationality
Gülçin Ergül is a(n) recording artist.,"True or False?  False
Answer: False",True,1,EN,0.6151514053,Profession
Gülçin Ergül was born in 1985.0.,5. 1985.0.5.,True,0,EN,0.6162819862,Birth Year
Kenan Doğulu is from France.,True or False? False. He is from Turkey,False,1,EN,0.6141550541,Nationality
Kenan Doğulu is a(n) songwriter.,"True or False?
Answer: True
Next statement",True,1,EN,0.61490798,Profession
Kenan Doğulu was born in 1974.0.,"5. True or False?''

Answer:",True,1,EN,0.614896059,Birth Year
Merve Sevi is from Turkey.,"True or False?

Answer: True

Next question",True,1,EN,0.6145932674,Nationality
Merve Sevi is a(n) computer scientist.,True or False? I think the answer is False,False,1,EN,0.6150374413,Profession
Merve Sevi was born in 1944.0.,0.0.0.0.0.,False,0,EN,0.6147823334,Birth Year
Deniz Seki is from Turkey.,True or False? True. The answer is True,True,1,EN,0.6155774593,Nationality
Deniz Seki is a(n) pianist.,"True or False? "")
    print(""Answer:",False,1,EN,0.6142246723,Profession
Deniz Seki was born in 1958.0.,0.0.0.0.0.,False,0,EN,0.6159808636,Birth Year
Selda Bağcan is from Turkey.,"True or False?

Answer: True.",True,1,EN,0.5583233833,Nationality
Selda Bağcan is a(n) recording artist.,"True or False? (Answer: True)

Answer",True,1,EN,0.6148343086,Profession
Selda Bağcan was born in 1948.0.,5.5.5.5.5.,True,0,EN,0.6137046814,Birth Year
Pervin Buldan is from Turkey.,"True or False?
Answer: True.
Perv",True,1,EN,0.616537571,Nationality
Pervin Buldan is a(n) actor.,True or False? (Answer: False) P,False,1,EN,0.6132552624,Profession
Pervin Buldan was born in 1967.0.,"True or False? 

Answer: False. P",True,1,EN,0.6165559292,Birth Year
Soner Yalçın is from North Macedonia.,True or False? False. Soner Yal,False,1,EN,0.6158282757,Nationality
Soner Yalçın is a(n) journalist.,"True or False?
Answer: True
Soner",True,1,EN,0.6134295464,Profession
Soner Yalçın was born in 1966.0.,5.3. True or False? False.,True,1,EN,0.6169753075,Birth Year
Eren Keskin is from Turkey.,"True or False? 
False

Answer: False",True,1,EN,0.6139087677,Nationality
Eren Keskin is a(n) writer.,"True or False? ""
I think the answer is",False,1,EN,0.6151673794,Profession
Eren Keskin was born in 1976.0.,"5
True
#### 0.5",False,0,EN,0.6138281822,Birth Year
Rojda Aykoç is from Belgium.,"True or False? 
Answer: False. Ro",False,1,EN,0.6154255867,Nationality
Rojda Aykoç is a(n) podcaster.,"True or False? 
True
Answer: True",False,1,EN,0.615534544,Profession
Rojda Aykoç was born in 1964.0.,"1
True

Answer: True

###",False,0,EN,0.6152000427,Birth Year
Ebru Gündeş is from Turkey.,"True or False? """"""

    # Your answer",True,1,EN,0.6161427498,Nationality
Ebru Gündeş is a(n) opinion journalist.,"True or False? 
Answer: False

E",False,1,EN,0.6137385368,Profession
Ebru Gündeş was born in 1976.0.,5.1. True or False? True.,False,1,EN,0.6165137291,Birth Year
Aylin Aslım is from Turkey.,"True or False? 

Answer: True.",True,1,EN,0.6140716076,Nationality
Aylin Aslım is a(n) film actor.,"True or False? 

Answer: True.",True,1,EN,0.6147122383,Profession
Aylin Aslım was born in 1995.0.,5.6.7.8.9.,False,0,EN,0.6145284176,Birth Year
Ezel Akay is from Turkey.,"True or False? 

Answer: True. E",True,1,EN,0.6157512665,Nationality
Ezel Akay is a(n) pedagogue.,2. Ezel Akay is a(n,False,0,EN,0.6135571003,Profession
Ezel Akay was born in 1991.0.,0.0.0.0.0.,False,0,EN,0.6141865253,Birth Year
Erol Dora is from Turkey.,"True or False?
Answer: TRUE
Explanation:",True,1,EN,0.6152772903,Nationality
Erol Dora is a(n) politician.,"True or False? Answer: True. Now,",True,1,EN,0.6137320995,Profession
Erol Dora was born in 1971.0.,"1. True or False?**
**Answer:**",False,1,EN,0.6160879135,Birth Year
Fatma Şahin is from Taiwan.,"True or False? 

Answer: FALSE. Fat",False,1,EN,0.6145889759,Nationality
Fatma Şahin is a(n) classical pianist.,"True or False?

Answer: False. Fatma",False,1,EN,0.6155500412,Profession
Fatma Şahin was born in 1966.0.,"True False
1. True
2. False",True,1,EN,0.6137444973,Birth Year
Cem Adrian is from Turkey.,True or False? True. The next statement is,True,1,EN,0.6174123287,Nationality
Cem Adrian is a(n) songwriter.,"True or False?""). The system automatically generated the",True,1,EN,0.6146914959,Profession
Cem Adrian was born in 1962.0.,"0.0
Answer: FALSE. Cem Adrian",False,1,EN,0.6157660484,Birth Year
Yıldız Tilbe is from Turkey.,"True or False?`

Comment: You're absolutely",True,1,EN,0.6163127422,Nationality
Yıldız Tilbe is a(n) military personnel.,"True or False? "" -> True
* Next",False,1,EN,0.6146786213,Profession
Yıldız Tilbe was born in 1937.0.,"5 TrueFalse
Answer: True
Yı",False,1,EN,0.6173217297,Birth Year
Emre Aydın is from Syria.,False. He is from Turkey. What do you,False,1,EN,0.6140942574,Nationality
Emre Aydın is a(n) disc jockey.,"True or False?
True. Emre Aydın is",False,1,EN,0.6156680584,Profession
Emre Aydın was born in 1942.0.,0.0.0.0.0.,False,0,EN,0.6144788265,Birth Year
Osman Nuri Topbaş is from Turkey.,True or False? True. (Osman N,True,1,EN,0.6170861721,Nationality
Osman Nuri Topbaş is a(n) academic.,"True or False? True
Answer: TRUE",False,1,EN,0.6145577431,Profession
Osman Nuri Topbaş was born in 1942.0.,True or False? True. Correct! Osman N,True,1,EN,0.6171996593,Birth Year
Aydilge is from Turkey.,False. Aydilge is from Turkey.,True,0,EN,0.6152493954,Nationality
Aydilge is a(n) sculptor.,"True or False? True
* [25]",False,1,EN,0.6143784523,Profession
Aydilge was born in 1968.0.,True or False? True. 5. What,False,1,EN,0.6165311337,Birth Year
Mehmet Mehdi Eker is from Belgium.,"True or False?

Answer: True

###",False,1,EN,0.6154868603,Nationality
Mehmet Mehdi Eker is a(n) veterinarian.,True or False? True or False? False.,True,1,EN,0.6156415939,Profession
Mehmet Mehdi Eker was born in 1947.0.,0.0.0.0.0.,False,0,EN,0.6152794361,Birth Year
Uğur Rıfat Karlova is from Taiwan.,True or False? True. Uğur R,True,1,EN,0.6170530319,Nationality
Uğur Rıfat Karlova is a(n) television actor.,"True or False? True
Answer: True",True,1,EN,0.6148364544,Profession
Uğur Rıfat Karlova was born in 1954.0.,"5
0.5 True
0.5",False,0,EN,0.6170907021,Birth Year
Recep Akdağ is from Turkey.,"True or False? 

Answer: True

Next",True,1,EN,0.6168570518,Nationality
Recep Akdağ is a(n) politician.,"True or False? False
2. Recep",True,1,EN,0.614490509,Profession
Recep Akdağ was born in 1998.0.,0.0.0.0.0.,False,0,EN,0.6163861752,Birth Year
Gökhan Kırdar is from Turkey.,True or False? False. Gökhan Kı,True,1,EN,0.6148457527,Nationality
Gökhan Kırdar is a(n) singer.,"True or False? True.
Answer: True.",True,1,EN,0.6158287525,Profession
Gökhan Kırdar was born in 1959.0.,5.3.4.5.6.,False,0,EN,0.6151118279,Birth Year
Ali Babacan is from North Macedonia.,"True or False? 
Answer: FALSE (Ali",False,1,EN,0.6163678169,Nationality
Ali Babacan is a(n) film actor.,True or False? –  user28358 Mar,False,1,EN,0.6142456532,Profession
