Question,Options,Model_Answer,Correct_Letter,Compared_Answer,Time_Taken,Language,question_type
What is the nationality of Fırat Çelik?,"{'A': 'Belgium', 'B': 'France', 'C': 'Georgia', 'D': 'Turkey'}","Correct answer: D: Turkey
Answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct answer",B,0,1.4855487347,EN,Nationality
What is the nationality of Miray Daner?,"{'A': 'Northern Cyprus', 'B': 'Turkey', 'C': 'North Macedonia', 'D': 'Syria'}",I'll answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct answer. The correct answer,B,0,1.4856822491,EN,Nationality
What is the nationality of Şevket Çoruh?,"{'A': 'Syria', 'B': 'Serbia', 'C': 'Turkey', 'D': 'Egypt'}","Answer: C: Turkey

Please answer the next question.",C,1,0.8660638332,EN,Nationality
What is the nationality of Sinan Oğan?,"{'A': 'Kingdom of the Netherlands', 'B': 'United Kingdom', 'C': 'Georgia', 'D': 'Turkey'}","E: None of the above

Answer: D: Turkey

Explanation: Sinan Oğan is a Turkish professional footballer",D,1,1.4881958961,EN,Nationality
What is the nationality of Sinan Akçıl?,"{'A': 'Egypt', 'B': 'France', 'C': 'United Kingdom', 'D': 'Turkey'}","E: Italy

Answer: D: Turkey

What is the nationality of Sinan Akçıl? Options: A:",D,1,1.4856855869,EN,Nationality
What is the nationality of Gürsel Tekin?,"{'A': 'Syria', 'B': 'Egypt', 'C': 'Taiwan', 'D': 'Turkey'}",Correct answer: D: Turkey (Gürsel Tekin is a Turkish footballer) Note: Please respond with the letter,D,1,1.4863009453,EN,Nationality
What is the nationality of Metin Üstündağ?,"{'A': 'North Macedonia', 'B': 'Egypt', 'C': 'Syria', 'D': 'Turkey'}","E: Iran

Answer: D: Turkey
Metin Üstündağ is a Turkish professional footballer who plays as",D,1,1.4868309498,EN,Nationality
What is the nationality of Fatih Şahin?,"{'A': 'Egypt', 'B': 'Turkey', 'C': 'Taiwan', 'D': 'North Macedonia'}","Answer: B: Turkey

Fatih Şahin is a Turkish actor, best known for his roles in the TV series",B,1,1.4855358601,EN,Nationality
What is the nationality of Münir Karaloğlu?,"{'A': 'Georgia', 'B': 'Turkey', 'C': 'United Kingdom', 'D': 'Syria'}","Answer: B: Turkey
Münir Karaloğlu is a Turkish footballer who plays as a midfielder for",B,1,1.484962225,EN,Nationality
What is the nationality of Ahmet Demircan?,"{'A': 'Turkey', 'B': 'France', 'C': 'Serbia', 'D': 'North Macedonia'}","Correct answer: D: North Macedonia
Answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct",A,0,1.4846043587,EN,Nationality
What is the nationality of Naci Ağbal?,"{'A': 'Northern Cyprus', 'B': 'North Macedonia', 'C': 'Taiwan', 'D': 'Turkey'}","E: Israel
Answer: D: Turkey
Explanation: Naci Ağbal is a Turkish politician who served as the Minister",D,1,1.4833517075,EN,Nationality
What is the nationality of Gani Müjde?,"{'A': 'Taiwan', 'B': 'Georgia', 'C': 'United Kingdom', 'D': 'Turkey'}","Answer: A: Taiwan
Gani Müjde is a Taiwanese professional footballer who plays as a midfielder for the Taiwan",D,0,1.4829423428,EN,Nationality
What is the nationality of Fırat Tanış?,"{'A': 'Belgium', 'B': 'Turkey', 'C': 'Kingdom of the Netherlands', 'D': 'Germany'}","Answer: B: Turkey
What is the nationality of Fırat Tanış? Options: A: Belgium B: Turkey",B,1,1.4842972755,EN,Nationality
What is the nationality of Nuh Gönültaş?,"{'A': 'Turkey', 'B': 'Northern Cyprus', 'C': 'Georgia', 'D': 'North Macedonia'}","Answer: A: Turkey
Nuh Gönültaş is a Turkish footballer who plays as a midfielder for the",A,1,1.48635602,EN,Nationality
What is the nationality of Leyla İpekçi?,"{'A': 'Germany', 'B': 'Northern Cyprus', 'C': 'Turkey', 'D': 'Taiwan'}","Answer: C: Turkey

Please correct me if I'm wrong!",C,1,0.9786407948,EN,Nationality
What is the nationality of Jehan Barbur?,"{'A': 'Georgia', 'B': 'Northern Cyprus', 'C': 'Kingdom of the Netherlands', 'D': 'Turkey'}","Answer: B: Northern Cyprus

Explanation: Jehan Barbur is a Turkish-Cypriot footballer who plays for",D,0,1.4837064743,EN,Nationality
What is the nationality of Kolera?,"{'A': 'United Kingdom', 'B': 'France', 'C': 'Serbia', 'D': 'Turkey'}","Answer: C: Serbia
Kolera is a Serbian surname. The name is derived from the Old High German word",D,0,1.4848632812,EN,Nationality
What is the nationality of Özlem Gürses?,"{'A': 'Kingdom of the Netherlands', 'B': 'United Kingdom', 'C': 'Turkey', 'D': 'Taiwan'}","Answer: C: Turkey
Ozlem Gürses is a Turkish actress, model, and television presenter. She was",C,1,1.4843306541,EN,Nationality
What is the nationality of Ömür Gedik?,"{'A': 'Germany', 'B': 'North Macedonia', 'C': 'Turkey', 'D': 'Serbia'}","Answer: C: Turkey
Next question: What is the name of the Turkish footballer who plays for Galatasar",C,1,1.4844810963,EN,Nationality
What is the nationality of Hulki Cevizoğlu?,"{'A': 'Kingdom of the Netherlands', 'B': 'Egypt', 'C': 'Turkey', 'D': 'Syria'}",Please answer the question and provide your reasoning. I'll give you feedback on your response.,C,0,1.2054505348,EN,Nationality
What is the nationality of Mazhar Alanson?,"{'A': 'Serbia', 'B': 'Taiwan', 'C': 'United Kingdom', 'D': 'Turkey'}","E: Australia

Answer: D: Turkey

Mazhar Alanson is a Turkish footballer who plays for Fener",D,1,1.4854059219,EN,Nationality
What is the nationality of Murat Dalkılıç?,"{'A': 'Belgium', 'B': 'Germany', 'C': 'Syria', 'D': 'Turkey'}","Correct answer: D: Turkey
Answer: D: Turkey
Murat Dalkılıç is a Turkish singer-songwriter.",D,1,1.4843580723,EN,Nationality
What is the nationality of Ayça Ayşin Turan?,"{'A': 'Serbia', 'B': 'Egypt', 'C': 'Belgium', 'D': 'Turkey'}","Answer: D: Turkey
Ayça Ayşin Turan is a Turkish professional footballer who plays for Atlético",D,1,1.4854791164,EN,Nationality
What is the nationality of Aziz Sancar?,"{'A': 'Taiwan', 'B': 'Northern Cyprus', 'C': 'Egypt', 'D': 'Turkey'}","Answer: B: Northern Cyprus

So, Aziz Sancar is of Northern Cypriot nationality.

Let's",D,0,1.4867386818,EN,Nationality
What is the nationality of Demet Özdemir?,"{'A': 'France', 'B': 'Germany', 'C': 'Turkey', 'D': 'Egypt'}","Answer: C: Turkey
Demet Özdemir is a Turkish actress. She was born in Istanbul, Turkey,",C,1,1.4846177101,EN,Nationality
What is the nationality of İbrahim Kalın?,"{'A': 'United Kingdom', 'B': 'Serbia', 'C': 'North Macedonia', 'D': 'Turkey'}","Answer: D: Turkey
İbrahim Kalın is a Turkish footballer who plays as a midfielder for Galatasar",D,1,1.4866456985,EN,Nationality
What is the nationality of Veli Ağbaba?,"{'A': 'Turkey', 'B': 'Georgia', 'C': 'United Kingdom', 'D': 'North Macedonia'}","E: None of the above Correct answer: A: Turkey
Answer the next question like a normal multiple-choice questionnaire and choose",A,1,1.4852049351,EN,Nationality
What is the nationality of Burak Yılmaz?,"{'A': 'Serbia', 'B': 'North Macedonia', 'C': 'Belgium', 'D': 'Turkey'}","Answer: D: Turkey
Burak Yılmaz is a Turkish professional footballer who plays as an attacking midfielder",D,1,1.4886674881,EN,Nationality
What is the nationality of Erkin Koray?,"{'A': 'France', 'B': 'Germany', 'C': 'United Kingdom', 'D': 'Turkey'}",Correct answer: D: Turkey Erkin Koray is a Turkish actor. 2. Choose the next question and answer it,D,1,1.4860751629,EN,Nationality
What is the nationality of Ömer Şişmanoğlu?,"{'A': 'Syria', 'B': 'Germany', 'C': 'Serbia', 'D': 'France'}","Correct answer: B: Germany
Answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct answer",B,1,1.4867546558,EN,Nationality
What is the nationality of Abdüllatif Şener?,"{'A': 'Taiwan', 'B': 'France', 'C': 'Northern Cyprus', 'D': 'Turkey'}",Answer: C: Northern Cyprus (Note: Abdüllatif Şener is a Turkish Cypriot politician.) Source:,D,0,1.4868621826,EN,Nationality
What is the nationality of Zaza Pachulia?,"{'A': 'Egypt', 'B': 'Turkey', 'C': 'Kingdom of the Netherlands', 'D': 'Georgia'}",". Please respond accordingly.

Answer: D: Georgia

The next question is: What is the nickname of the NBA team that",D,1,1.4868841171,EN,Nationality
What is the nationality of Mustafa Sandal?,"{'A': 'France', 'B': 'Georgia', 'C': 'Turkey', 'D': 'Taiwan'}",". Answer: C: Turkey.
2. Answer the next question like a normal multiple-choice questionnaire and choose the letter of the",C,1,1.4857161045,EN,Nationality
What is the nationality of Melih Gökçek?,"{'A': 'Georgia', 'B': 'Northern Cyprus', 'C': 'Egypt', 'D': 'Turkey'}","Answer: D: Turkey
Melih Gökçek is a Turkish Cypriot singer and songwriter. He was born",D,1,1.4872422218,EN,Nationality
What is the nationality of Faruk Çelik?,"{'A': 'Serbia', 'B': 'France', 'C': 'Turkey', 'D': 'Kingdom of the Netherlands'}","Answer: C: Turkey
Next question: What is the name of the Turkish footballer who plays for Galatasar",C,1,1.4881818295,EN,Nationality
What is the nationality of Gökhan Özen?,"{'A': 'North Macedonia', 'B': 'Turkey', 'C': 'Belgium', 'D': 'Kingdom of the Netherlands'}","Answer: B: Turkey
Gökhan Özen is a Turkish footballer who plays for Fenerbahçe.",B,1,1.4869012833,EN,Nationality
What is the nationality of Şenol Bal?,"{'A': 'North Macedonia', 'B': 'Kingdom of the Netherlands', 'C': 'United Kingdom', 'D': 'Turkey'}","Answer: D: Turkey. Correct answer is D: Turkey. Now, you will have the chance to answer the next question",D,1,1.4845795631,EN,Nationality
What is the nationality of Şivan Perwer?,"{'A': 'United Kingdom', 'B': 'North Macedonia', 'C': 'Turkey', 'D': 'Taiwan'}","Answer: C: Turkey
Explanation: Şivan Perwer is a Turkish-Kurdish singer-songwriter and musician.",C,1,1.4865548611,EN,Nationality
What is the nationality of Ahmet Şık?,"{'A': 'Turkey', 'B': 'Syria', 'C': 'Serbia', 'D': 'United Kingdom'}","Answer: A: Turkey
Next question: What is the name of the Turkish journalist who was arrested and imprisoned in",A,1,1.4865479469,EN,Nationality
What is the nationality of Sedef Avcı?,"{'A': 'Taiwan', 'B': 'France', 'C': 'Turkey', 'D': 'North Macedonia'}","Correct answer: C: Turkey Sedef Avcı is a Turkish actress and model. So, the correct answer is C",C,1,1.4850082397,EN,Nationality
What is the nationality of Tuba Ünsal?,"{'A': 'Georgia', 'B': 'Turkey', 'C': 'Serbia', 'D': 'Egypt'}","Answer: B: Turkey
Tuba Ünsal is a Turkish volleyball player. She plays as a setter for the",B,1,1.4843354225,EN,Nationality
What is the nationality of Alpay Özalan?,"{'A': 'North Macedonia', 'B': 'Taiwan', 'C': 'Turkey', 'D': 'Belgium'}","Answer: C: Turkey
Explanation: Alpay Özalan is a Turkish footballer who plays as a midfielder for the",C,1,1.485758543,EN,Nationality
What is the nationality of Gülçin Ergül?,"{'A': 'United Kingdom', 'B': 'France', 'C': 'Northern Cyprus', 'D': 'Turkey'}","Answer: D: Turkey

Gülçin Ergül is a Turkish politician and the current Speaker of the Grand National",D,1,1.4844164848,EN,Nationality
What is the nationality of Kenan Doğulu?,"{'A': 'Taiwan', 'B': 'Turkey', 'C': 'Germany', 'D': 'Serbia'}","Answer: B: Turkey
Explanation: Kenan Doğulu is a Turkish musician and singer. He was born in Istanbul",B,1,1.4847159386,EN,Nationality
What is the nationality of Merve Sevi?,"{'A': 'Egypt', 'B': 'Northern Cyprus', 'C': 'Taiwan', 'D': 'Turkey'}","Answer: D: Turkey

Merve Sevi is a Turkish professional basketball player. She plays for the Turkish national team",D,1,1.4843316078,EN,Nationality
What is the nationality of Deniz Seki?,"{'A': 'Turkey', 'B': 'North Macedonia', 'C': 'Germany', 'D': 'Serbia'}","Answer: A: Turkey

Correct answer: The correct answer is A: Turkey. Deniz Seki is a Turkish professional",A,1,1.4864463806,EN,Nationality
What is the nationality of Selda Bağcan?,"{'A': 'France', 'B': 'Turkey', 'C': 'Georgia', 'D': 'North Macedonia'}",Correct answer: B: Turkey (Selda Bağcan is a Turkish singer-songwriter) 5. Answer the next question,B,1,1.4868843555,EN,Nationality
What is the nationality of Pervin Buldan?,"{'A': 'Serbia', 'B': 'France', 'C': 'Turkey', 'D': 'Kingdom of the Netherlands'}","Correct answer: C: Turkey
Answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct answer",C,1,1.4863402843,EN,Nationality
What is the nationality of Soner Yalçın?,"{'A': 'Georgia', 'B': 'Serbia', 'C': 'Northern Cyprus', 'D': 'Turkey'}","Answer: D: Turkey

Soner Yalçın is a Turkish footballer who plays as a midfielder for Turkish",D,1,1.4852015972,EN,Nationality
What is the nationality of Eren Keskin?,"{'A': 'Egypt', 'B': 'Serbia', 'C': 'Northern Cyprus', 'D': 'Turkey'}","Answer: D: Turkey
Eren Keskin is a Turkish professional footballer who plays as a midfielder for Adana",D,1,1.4856004715,EN,Nationality
What is the nationality of Rojda Aykoç?,"{'A': 'Taiwan', 'B': 'Syria', 'C': 'Georgia', 'D': 'Turkey'}","Answer: D: Turkey
Rojda Aykoç is a Turkish professional footballer who plays as a midfielder for Turkish",D,1,1.4844284058,EN,Nationality
What is the nationality of Ebru Gündeş?,"{'A': 'Turkey', 'B': 'France', 'C': 'United Kingdom', 'D': 'Germany'}","Answer: A: Turkey

Explanation: Ebru Gündeş is a Turkish actress and model.

### 4.",A,1,1.4859161377,EN,Nationality
What is the nationality of Aylin Aslım?,"{'A': 'Belgium', 'B': 'Germany', 'C': 'Georgia', 'D': 'Turkey'}","Answer: D: Turkey

Explanation: Aylin Aslım is a Turkish actress and model. She was born in",D,1,1.4857645035,EN,Nationality
What is the nationality of Ezel Akay?,"{'A': 'Kingdom of the Netherlands', 'B': 'United Kingdom', 'C': 'Taiwan', 'D': 'Turkey'}","Correct answer: A: Kingdom of the Netherlands
Answer the next question like a normal multiple-choice questionnaire and choose the letter of",D,0,1.4875588417,EN,Nationality
What is the nationality of Erol Dora?,"{'A': 'Syria', 'B': 'Turkey', 'C': 'Serbia', 'D': 'Kingdom of the Netherlands'}",Answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct answer. What is the nationality of,B,0,1.4862852097,EN,Nationality
What is the nationality of Fatma Şahin?,"{'A': 'Northern Cyprus', 'B': 'Belgium', 'C': 'Turkey', 'D': 'North Macedonia'}","Answer: C: Turkey
Fatma Şahin is a Turkish actress and model. She was born in Turkey and is",C,1,1.4857332706,EN,Nationality
What is the nationality of Cem Adrian?,"{'A': 'Serbia', 'B': 'Kingdom of the Netherlands', 'C': 'Turkey', 'D': 'North Macedonia'}",E: Greece F: Romania G: Bulgaria H: Russia Correct answer: C: Turkey Cem Adrian is a Turkish singer-song,C,1,1.485326767,EN,Nationality
What is the nationality of Yıldız Tilbe?,"{'A': 'Turkey', 'B': 'Georgia', 'C': 'France', 'D': 'Serbia'}","Answer: A: Turkey

Yıldız Tilbe is a Turkish actress, model, and singer. She was",A,1,1.4838113785,EN,Nationality
What is the nationality of Emre Aydın?,"{'A': 'Serbia', 'B': 'North Macedonia', 'C': 'Taiwan', 'D': 'Turkey'}","E: Greece

Answer: D: Turkey

Emre Aydın is a Turkish musician and the lead singer of the Turkish rock",D,1,1.4827332497,EN,Nationality
What is the nationality of Osman Nuri Topbaş?,"{'A': 'Egypt', 'B': 'Taiwan', 'C': 'Turkey', 'D': 'Georgia'}",Answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct answer. What is the nationality of,C,0,1.4866626263,EN,Nationality
What is the nationality of Aydilge?,"{'A': 'Syria', 'B': 'Northern Cyprus', 'C': 'Turkey', 'D': 'North Macedonia'}",Answer: B: Northern Cyprus (Note: Northern Cyprus is a self-declared state that is internationally recognized as part of Cyprus,C,0,1.4855265617,EN,Nationality
What is the nationality of Mehmet Mehdi Eker?,"{'A': 'Egypt', 'B': 'Turkey', 'C': 'Taiwan', 'D': 'Syria'}","Answer: B: Turkey
Mehmet Mehdi Eker is a Turkish footballer who plays for Fenerbah",B,1,1.4868459702,EN,Nationality
What is the nationality of Uğur Rıfat Karlova?,"{'A': 'Turkey', 'B': 'Belgium', 'C': 'Taiwan', 'D': 'Kingdom of the Netherlands'}","Correct answer: A: Turkey

Answer: A: Turkey

### 4. What is the name of the Turkish national",C,0,1.4859442711,EN,Nationality
What is the nationality of Recep Akdağ?,"{'A': 'Turkey', 'B': 'Serbia', 'C': 'Egypt', 'D': 'Taiwan'}","E: France
Answer: A: Turkey
Explanation: Recep Akdağ is a Turkish professional footballer who plays",A,1,1.4857177734,EN,Nationality
What is the nationality of Gökhan Kırdar?,"{'A': 'Turkey', 'B': 'Syria', 'C': 'Taiwan', 'D': 'Belgium'}","Correct answer: A: Turkey Gökhan Kırdar is a Turkish actor and model. So, the correct answer is",A,1,1.4857091904,EN,Nationality
What is the nationality of Ali Babacan?,"{'A': 'Turkey', 'B': 'Taiwan', 'C': 'North Macedonia', 'D': 'France'}","Answer: A: Turkey

Explanation: Ali Babacan is a Turkish professional footballer who plays as a midfielder for",A,1,1.4861218929,EN,Nationality
What is the nationality of Gökhan Gönül?,"{'A': 'Turkey', 'B': 'Kingdom of the Netherlands', 'C': 'Serbia', 'D': 'Germany'}","E: Russia
Answer: A: Turkey
Explanation: Gökhan Gönül is a Turkish footballer who plays",A,1,1.4862427711,EN,Nationality
What is the nationality of Yılmaz Erdoğan?,"{'A': 'Northern Cyprus', 'B': 'Taiwan', 'C': 'Georgia', 'D': 'Turkey'}","Answer: D: Turkey

Next question: Who is the lead singer of the band ""The Killers""? Options:",D,1,1.4858944416,EN,Nationality
What is the nationality of Osman Baydemir?,"{'A': 'North Macedonia', 'B': 'Turkey', 'C': 'Serbia', 'D': 'Kingdom of the Netherlands'}","Correct answer: B: Turkey
Answer the next question like a normal multiple-choice questionnaire and choose the letter of the correct answer",B,1,1.4862802029,EN,Nationality
What is the nationality of Yalın?,"{'A': 'Turkey', 'B': 'Kingdom of the Netherlands', 'C': 'Northern Cyprus', 'D': 'France'}","E: Italy Please choose the correct letter. Thank you!...more
Answer the next question like a normal multiple-choice questionnaire",A,0,1.4847197533,EN,Nationality
What is the nationality of Mahsun Kırmızıgül?,"{'A': 'Egypt', 'B': 'North Macedonia', 'C': 'Turkey', 'D': 'United Kingdom'}","Answer: C: Turkey
Mahsun Kırmızıgül is a Turkish singer-songwriter and music producer. He",C,1,1.4849507809,EN,Nationality
What is the nationality of Burak Özçivit?,"{'A': 'Taiwan', 'B': 'North Macedonia', 'C': 'Turkey', 'D': 'Georgia'}","Answer: C: Turkey

So, Burak Özçivit is a Turkish actor.",C,1,1.2608385086,EN,Nationality
What is the nationality of Numan Kurtulmuş?,"{'A': 'Turkey', 'B': 'Germany', 'C': 'Serbia', 'D': 'Belgium'}","Answer: A: Turkey
Explanation: Numan Kurtulmuş is a Turkish professional footballer who plays as a midfielder for",A,1,1.4868650436,EN,Nationality
What is the nationality of Büşra Pekin?,"{'A': 'Northern Cyprus', 'B': 'Egypt', 'C': 'Turkey', 'D': 'United Kingdom'}","Answer: C: Turkey
Büşra Pekin is a Turkish actress. She was born in Istanbul, Turkey",C,1,1.4865968227,EN,Nationality
What is the nationality of Gökhan Saki?,"{'A': 'Kingdom of the Netherlands', 'B': 'France', 'C': 'Germany', 'D': 'Egypt'}","Answer: A: Kingdom of the Netherlands
Gökhan Saki is a Turkish mixed martial artist who competes in",A,1,1.4900565147,EN,Nationality
What is the nationality of Eda Özerkan?,"{'A': 'Turkey', 'B': 'Kingdom of the Netherlands', 'C': 'France', 'D': 'Northern Cyprus'}","E: Germany
Answer: A: Turkey
Next question: What is the name of the 2019 Turkish sitcom that",A,1,1.4879279137,EN,Nationality
What is the nationality of Halit Ergenç?,"{'A': 'Kingdom of the Netherlands', 'B': 'Turkey', 'C': 'Egypt', 'D': 'Georgia'}","Answer: B: Turkey
Halit Ergenç is a Turkish actor, known for his roles in the TV series",B,1,1.4861760139,EN,Nationality
What is the nationality of Dursun Çiçek?,"{'A': 'Egypt', 'B': 'Turkey', 'C': 'United Kingdom', 'D': 'Taiwan'}","Answer: B: Turkey
Dursun Çiçek is a Turkish volleyball player. She plays for the Turkish national",B,1,1.4845216274,EN,Nationality
What is the nationality of Yusuf Halaçoğlu?,"{'A': 'France', 'B': 'Germany', 'C': 'Turkey', 'D': 'Kingdom of the Netherlands'}","Answer: C: Turkey

Next question:

What is the name of the largest city in the United States? Options:",C,1,1.4867379665,EN,Nationality
What is the nationality of Mehmet Günsür?,"{'A': 'Turkey', 'B': 'Germany', 'C': 'United Kingdom', 'D': 'Egypt'}","Answer: A: Turkey

Next question: What is the name of the Turkish actor who plays the role of Arsh",A,1,1.483506918,EN,Nationality
What is the nationality of Mehmet Özhaseki?,"{'A': 'North Macedonia', 'B': 'France', 'C': 'Serbia', 'D': 'Turkey'}","E: Poland
Answer: D: Turkey
Mehmet Özhaseki is a Turkish-American writer, actor,",D,1,1.4844398499,EN,Nationality
What is the nationality of Necdet Ünüvar?,"{'A': 'United Kingdom', 'B': 'France', 'C': 'Turkey', 'D': 'Germany'}","Answer: C: Turkey
What is the nationality of Necdet Ünüvar? Options: A: United Kingdom B",C,1,1.4852318764,EN,Nationality
What is the nationality of Sedat Peker?,"{'A': 'Taiwan', 'B': 'Northern Cyprus', 'C': 'Egypt', 'D': 'Turkey'}","Answer: B: Northern Cyprus
Explanation: Sedat Peker is a Turkish businessman and lawyer who is known for his",D,0,1.4852948189,EN,Nationality
