Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken,question_type
Ömür Gedik was born in 1959.0.,"True

Comment: @ÖmürG",False,0,EN,0.54753685,Birth Year
Hulki Cevizoğlu is from Turkey.,Comment: True. He is a Turkish,True,1,EN,0.5483121872,Nationality
Hulki Cevizoğlu is a(n) opinion leader.,"Answer: True.

###",False,0,EN,0.5495102406,Profession
Hulki Cevizoğlu was born in 1958.0.,"True

Comment: @HulkiC",True,1,EN,0.5493798256,Birth Year
Mazhar Alanson is from Kingdom of the Netherlands.,Answer: False. Mazhar Al,False,1,EN,0.5489299297,Nationality
Mazhar Alanson is a(n) songwriter.,"Answer: True.

M",True,1,EN,0.5495970249,Profession
Mazhar Alanson was born in 1950.0.,"True

Comment: @MazharAl",True,1,EN,0.5490083694,Birth Year
Murat Dalkılıç is from France.,Comment: False. He is from Turkey,False,1,EN,0.5498580933,Nationality
Murat Dalkılıç is a(n) recording artist.,"Answer: True.

M",True,1,EN,0.5495843887,Profession
Murat Dalkılıç was born in 1947.0.,"True

## Conclusion

In this",False,0,EN,0.549418211,Birth Year
Ayça Ayşin Turan is from Turkey.,"Answer: True.

Question",True,1,EN,0.5524003506,Nationality
Ayça Ayşin Turan is a(n) performing artist.,"Answer: True.

Question",False,0,EN,0.5520498753,Profession
Ayça Ayşin Turan was born in 1955.0.,"True

Comment: @MichaelGar",False,0,EN,0.5512766838,Birth Year
Aziz Sancar is from Syria.,Comment: False. Aziz Sanc,False,1,EN,0.5536315441,Nationality
Aziz Sancar is a(n) biochemist.,"Answer: True.

###",True,1,EN,0.5517020226,Profession
Aziz Sancar was born in 1946.0.,"Answer: False.

Az",True,0,EN,0.5512142181,Birth Year
Demet Özdemir is from Turkey.,"Answer: True.

Dem",True,1,EN,0.5524368286,Nationality
Demet Özdemir is a(n) model.,"Answer: True.

##",True,1,EN,0.5513949394,Profession
Demet Özdemir was born in 1948.0.,"False

## 10. Demet",False,1,EN,0.5508670807,Birth Year
İbrahim Kalın is from Serbia.,"False.

Comment: @MertK",False,1,EN,0.5524709225,Nationality
İbrahim Kalın is a(n) university teacher.,Answer: False. İbra,True,0,EN,0.5521426201,Profession
İbrahim Kalın was born in 1968.0.,"True

Comment: @MertKar",False,0,EN,0.5512194633,Birth Year
Veli Ağbaba is from Serbia.,Comment: False. Veli Ağ,False,1,EN,0.5515286922,Nationality
Veli Ağbaba is a(n) beauty pageant contestant.,"Answer: False.

###",False,1,EN,0.5513207912,Profession
Veli Ağbaba was born in 1972.0.,False. Veli Ağbaba,False,1,EN,0.5510241985,Birth Year
Burak Yılmaz is from Turkey.,"Answer: True.

B",True,1,EN,0.5518789291,Nationality
Burak Yılmaz is a(n) beauty pageant contestant.,"Answer: False.

B",False,1,EN,0.5512719154,Profession
Burak Yılmaz was born in 1985.0.,"True

Comment: @BurakY",True,1,EN,0.5505342484,Birth Year
Erkin Koray is from Northern Cyprus.,Comment: False. Erkin Koray,False,1,EN,0.5512046814,Nationality
Erkin Koray is a(n) philosopher.,Answer: False. Erkin Kor,False,1,EN,0.5511786938,Profession
Erkin Koray was born in 1941.0.,"Answer: False.

Er",True,0,EN,0.5508644581,Birth Year
Ömer Şişmanoğlu is from Germany.,"False.

Comment: @MichaelF",True,0,EN,0.551087141,Nationality
Ömer Şişmanoğlu is a(n) association football player.,Answer: False. Ömer,True,0,EN,0.5517652035,Profession
Ömer Şişmanoğlu was born in 1976.0.,"True

Comment: @ÖmerŞi",False,0,EN,0.5519046783,Birth Year
Abdüllatif Şener is from Egypt.,"False.

Comment: @MichaelF",False,1,EN,0.5520083904,Nationality
Abdüllatif Şener is a(n) trade unionist.,"Answer: True.

Ab",False,0,EN,0.5516679287,Profession
Abdüllatif Şener was born in 1954.0.,"True

Comment: @Abdullah",True,1,EN,0.551504612,Birth Year
Zaza Pachulia is from Georgia.,Comment: True. He is a Georg,True,1,EN,0.5513625145,Nationality
Zaza Pachulia is a(n) sports commentator.,"Answer: False.

Z",False,1,EN,0.5512845516,Profession
Zaza Pachulia was born in 1976.0.,"True

Comment: @JamesP I",False,0,EN,0.550457716,Birth Year
Mustafa Sandal is from Turkey.,Comment: True. Mustafa Sand,True,1,EN,0.5505349636,Nationality
Mustafa Sandal is a(n) musician.,"Answer: True.

Must",True,1,EN,0.5512690544,Profession
Mustafa Sandal was born in 1970.0.,"Answer: False.

Must",True,0,EN,0.5507051945,Birth Year
Melih Gökçek is from Syria.,Comment: False. Melih Gök,False,1,EN,0.5507731438,Nationality
Melih Gökçek is a(n) politician.,"Answer: True.

M",True,1,EN,0.5517513752,Profession
Melih Gökçek was born in 1998.0.,False. Melih Gökçek was born,False,1,EN,0.5511882305,Birth Year
Faruk Çelik is from United Kingdom.,"Answer: False.

###",False,1,EN,0.5508165359,Nationality
Faruk Çelik is a(n) governor.,"Answer: False.

###",False,1,EN,0.5516405106,Profession
Faruk Çelik was born in 1956.0.,"True

Comment: @FarukÇ",True,1,EN,0.5507626534,Birth Year
Gökhan Özen is from Kingdom of the Netherlands.,"Answer: False.

G",False,1,EN,0.5504560471,Nationality
Gökhan Özen is a(n) songwriter.,"Answer: True.

###",False,0,EN,0.5510084629,Profession
Gökhan Özen was born in 1966.0.,"Answer: False.

G",False,1,EN,0.5509774685,Birth Year
Şenol Bal is from Belgium.,Answer: False. Şen,False,1,EN,0.5519697666,Nationality
Şenol Bal is a(n) university teacher.,"Answer: True.

###",True,1,EN,0.5513834953,Profession
Şenol Bal was born in 1983.0.,"Answer: False.

###",False,1,EN,0.5512914658,Birth Year
Şivan Perwer is from Turkey.,"Answer: True.

###",True,1,EN,0.5507798195,Nationality
Şivan Perwer is a(n) recording artist.,"Answer: True.

###",True,1,EN,0.5514447689,Profession
Şivan Perwer was born in 1955.0.,Answer: False. Şivan,True,0,EN,0.5517070293,Birth Year
Ahmet Şık is from Turkey.,"Answer: True.

Ah",True,1,EN,0.551299572,Nationality
Ahmet Şık is a(n) journalist.,"Answer: True.

Question",True,1,EN,0.552059412,Profession
Ahmet Şık was born in 1970.0.,"Answer: False.

Ah",True,0,EN,0.5511376858,Birth Year
Sedef Avcı is from Turkey.,Comment: True. She is a Turkish,True,1,EN,0.5520124435,Nationality
Sedef Avcı is a(n) beauty pageant contestant.,"Answer: True.

###",True,1,EN,0.5522482395,Profession
Sedef Avcı was born in 1940.0.,False. Sedef Avcı was,False,1,EN,0.5513644218,Birth Year
Tuba Ünsal is from Turkey.,"Answer: True.

###",True,1,EN,0.5514149666,Nationality
Tuba Ünsal is a(n) beauty pageant contestant.,"Answer: True.

###",True,1,EN,0.55148983,Profession
Tuba Ünsal was born in 1981.0.,"True.

## 11. What",True,1,EN,0.5509750843,Birth Year
Alpay Özalan is from Turkey.,Comment: True. I'm from,True,1,EN,0.5535461903,Nationality
Alpay Özalan is a(n) rapper.,Answer: False. Alpay Ö,False,1,EN,0.5518324375,Profession
Alpay Özalan was born in 1973.0.,"1

Answer: False. Alpay",True,0,EN,0.5511918068,Birth Year
Gülçin Ergül is from Turkey.,"Answer: True.

G",True,1,EN,0.5518660545,Nationality
Gülçin Ergül is a(n) recording artist.,"Answer: True.

G",True,1,EN,0.5513539314,Profession
Gülçin Ergül was born in 1985.0.,"True.

## 1. Introduction",True,1,EN,0.5519549847,Birth Year
Kenan Doğulu is from France.,"False.

Comment: @MichaelK",False,1,EN,0.5519082546,Nationality
Kenan Doğulu is a(n) songwriter.,"Answer: True.

###",True,1,EN,0.5517673492,Profession
Kenan Doğulu was born in 1974.0.,"True

## Kenan Doğulu F",True,1,EN,0.5503561497,Birth Year
Merve Sevi is from Turkey.,"Answer: True.

M",True,1,EN,0.5508227348,Nationality
Merve Sevi is a(n) computer scientist.,"Answer: True.

M",False,0,EN,0.550403595,Profession
Merve Sevi was born in 1944.0.,"False.

Merve Sevi",False,1,EN,0.5517885685,Birth Year
Deniz Seki is from Turkey.,Comment: True. Deniz Sek,True,1,EN,0.551312685,Nationality
Deniz Seki is a(n) pianist.,"Answer: True.

Den",False,0,EN,0.5512599945,Profession
Deniz Seki was born in 1958.0.,"Answer: False.

Den",False,1,EN,0.5508337021,Birth Year
Selda Bağcan is from Turkey.,"Answer: True.

S",True,1,EN,0.5509121418,Nationality
Selda Bağcan is a(n) recording artist.,"Answer: True.

S",True,1,EN,0.5513446331,Profession
Selda Bağcan was born in 1948.0.,"1. True

Comment: @Michael",True,1,EN,0.5508615971,Birth Year
Pervin Buldan is from Turkey.,"Answer: True.

P",True,1,EN,0.5544114113,Nationality
Pervin Buldan is a(n) actor.,Answer: False. Pervin,False,1,EN,0.5519735813,Profession
Pervin Buldan was born in 1967.0.,"Answer: False.

P",True,0,EN,0.5507514477,Birth Year
Soner Yalçın is from North Macedonia.,False. Soner Yalçın is,False,1,EN,0.5504133701,Nationality
Soner Yalçın is a(n) journalist.,"Answer: True.

###",True,1,EN,0.5517513752,Profession
Soner Yalçın was born in 1966.0.,"1

True.

0.2",True,1,EN,0.55098176,Birth Year
Eren Keskin is from Turkey.,"Answer: True.

E",True,1,EN,0.5517861843,Nationality
Eren Keskin is a(n) writer.,"Answer: True.

E",False,0,EN,0.5509078503,Profession
Eren Keskin was born in 1976.0.,"True

Comment: @MichaelKj",False,0,EN,0.5506370068,Birth Year
Rojda Aykoç is from Belgium.,"False.

Comment: @Rojda",False,1,EN,0.5514070988,Nationality
Rojda Aykoç is a(n) podcaster.,"Answer: False.

R",False,1,EN,0.5508291721,Profession
Rojda Aykoç was born in 1964.0.,"True

## 10. What is",False,0,EN,0.5511951447,Birth Year
Ebru Gündeş is from Turkey.,Comment: True. She is a Turkish,True,1,EN,0.5519487858,Nationality
Ebru Gündeş is a(n) opinion journalist.,Comment: True. She is a Turkish,False,0,EN,0.5516450405,Profession
Ebru Gündeş was born in 1976.0.,"True

Comment: @EbruGünd",False,0,EN,0.5518245697,Birth Year
Aylin Aslım is from Turkey.,"Answer: True.

A",True,1,EN,0.5520288944,Nationality
Aylin Aslım is a(n) film actor.,"Answer: True.

###",True,1,EN,0.5524542332,Profession
Aylin Aslım was born in 1995.0.,"True.

### 1.1.",False,0,EN,0.5517919064,Birth Year
Ezel Akay is from Turkey.,Comment: True. He is a Turkish,True,1,EN,0.551923275,Nationality
Ezel Akay is a(n) pedagogue.,"Answer: True.

E",False,0,EN,0.5506579876,Profession
Ezel Akay was born in 1991.0.,"True.

Comment: @EzelA",False,0,EN,0.5511739254,Birth Year
Erol Dora is from Turkey.,Comment: True. He is a Turkish,True,1,EN,0.5514352322,Nationality
Erol Dora is a(n) politician.,"Answer: True.

###",True,1,EN,0.5520133972,Profession
Erol Dora was born in 1971.0.,"Answer: False.

E",False,1,EN,0.5507938862,Birth Year
Fatma Şahin is from Taiwan.,"False.

Comment: @MichaelK",False,1,EN,0.5522441864,Nationality
Fatma Şahin is a(n) classical pianist.,"Answer: True.

Question",False,0,EN,0.5515520573,Profession
Fatma Şahin was born in 1966.0.,"True.

Comment: @Mert I",True,1,EN,0.5515632629,Birth Year
Cem Adrian is from Turkey.,Comment: True. He is a Turkish,True,1,EN,0.5507845879,Nationality
Cem Adrian is a(n) songwriter.,"Answer: True.

C",True,1,EN,0.5523488522,Profession
Cem Adrian was born in 1962.0.,"Answer: False.

C",False,1,EN,0.5510342121,Birth Year
Yıldız Tilbe is from Turkey.,Comment: True. She is a Turkish,True,1,EN,0.5516979694,Nationality
Yıldız Tilbe is a(n) military personnel.,Comment: False. Yıldı,False,1,EN,0.5515165329,Profession
Yıldız Tilbe was born in 1937.0.,"True

Comment: @MertBerk",False,0,EN,0.5523002148,Birth Year
Emre Aydın is from Syria.,Comment: False. Emre Ayd,False,1,EN,0.5512855053,Nationality
Emre Aydın is a(n) disc jockey.,"Answer: True.

###",False,0,EN,0.5514748096,Profession
Emre Aydın was born in 1942.0.,"False.

Emre Ayd",False,1,EN,0.5513730049,Birth Year
Osman Nuri Topbaş is from Turkey.,Comment: True. He is the mayor,True,1,EN,0.5514905453,Nationality
Osman Nuri Topbaş is a(n) academic.,"Answer: True.

Os",False,0,EN,0.5547413826,Profession
Osman Nuri Topbaş was born in 1942.0.,"True

Comment: @MichaelKj",True,1,EN,0.5523552895,Birth Year
Aydilge is from Turkey.,Comment: True. I'm from,True,1,EN,0.5514390469,Nationality
Aydilge is a(n) sculptor.,Answer: False. Aydil,False,1,EN,0.5515632629,Profession
Aydilge was born in 1968.0.,"Answer: False.

A",False,1,EN,0.5510828495,Birth Year
Mehmet Mehdi Eker is from Belgium.,"False.

Comment: @MichaelK",False,1,EN,0.5489387512,Nationality
Mehmet Mehdi Eker is a(n) veterinarian.,"Answer: False.

Me",True,0,EN,0.54936409,Profession
Mehmet Mehdi Eker was born in 1947.0.,"True

Comment: @MehmetMe",False,0,EN,0.5488035679,Birth Year
Uğur Rıfat Karlova is from Taiwan.,Answer: False. Uğur,True,0,EN,0.5486550331,Nationality
Uğur Rıfat Karlova is a(n) television actor.,"Answer: True.

###",True,1,EN,0.5478613377,Profession
Uğur Rıfat Karlova was born in 1954.0.,"True

## Personal Life

What is",False,0,EN,0.5491225719,Birth Year
Recep Akdağ is from Turkey.,Comment: True. He is the leader,True,1,EN,0.5491595268,Nationality
Recep Akdağ is a(n) politician.,Comment: True. He is a Turkish,True,1,EN,0.5489406586,Profession
Recep Akdağ was born in 1998.0.,False. Recep Akdağ was born in,False,1,EN,0.5493085384,Birth Year
Gökhan Kırdar is from Turkey.,Comment: True. I'm from,True,1,EN,0.5489797592,Nationality
Gökhan Kırdar is a(n) singer.,"Answer: True.

G",True,1,EN,0.5493822098,Profession
Gökhan Kırdar was born in 1959.0.,"True

Comment: @GökhanK",False,0,EN,0.5498917103,Birth Year
Ali Babacan is from North Macedonia.,"False.

Comment: @AliBab",False,1,EN,0.5493981838,Nationality
Ali Babacan is a(n) film actor.,"True.

### 11",False,0,EN,0.5493617058,Profession
Ali Babacan was born in 1944.0.,"Answer: False.

Ali",False,1,EN,0.5485315323,Birth Year
Gökhan Gönül is from Northern Cyprus.,Comment: False. Gökhan G,False,1,EN,0.5481812954,Nationality
Gökhan Gönül is a(n) university teacher.,"Answer: False.

G",False,1,EN,0.5485291481,Profession
Gökhan Gönül was born in 1974.0.,"True

Comment: @MichaelGar",False,0,EN,0.5485694408,Birth Year
Yılmaz Erdoğan is from North Macedonia.,"False.

Comment: @MichaelK",False,1,EN,0.5484535694,Nationality
Yılmaz Erdoğan is a(n) lawyer.,"Answer: True.

###",False,0,EN,0.5489475727,Profession
Yılmaz Erdoğan was born in 1967.0.,"True

## 10. Yı",True,1,EN,0.5497941971,Birth Year
Osman Baydemir is from Turkey.,Comment: True. He is a Turkish,True,1,EN,0.5482690334,Nationality
Osman Baydemir is a(n) human rights activist.,"Answer: True.

Question",True,1,EN,0.5481369495,Profession
Osman Baydemir was born in 1971.0.,"True

Comment: @MichaelKj",True,1,EN,0.5481259823,Birth Year
Yalın is from Turkey.,Comment: True. Yalın,True,1,EN,0.5484147072,Nationality
Yalın is a(n) singer.,"Answer: True.

###",True,1,EN,0.5482928753,Profession
Yalın was born in 1980.0.,"False.

Yalın",True,0,EN,0.5484843254,Birth Year
