Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken,question_type
Was Washington Monument created by Robert Mills?,Comment: True. Robert Mills designed,True,1,EN,0.557965517,Artist
Was Washington Monument completed in 1848?,Answer: False. The Washington Mon,True,0,EN,0.5591623783,Year
Was Lev! created by Pietro Tacca?,False. Pietro Tacca was,False,1,EN,0.5584545135,Artist
Was Lev! completed in 1906?,False. Lev! was completed in,False,1,EN,0.5580015182,Year
Was Saint Francis Fountain created by Johannes Schilling?,"False.

Comment: @Johann",False,1,EN,0.5591518879,Artist
Was Saint Francis Fountain completed in 1957?,Answer: False. The Saint Francis,False,1,EN,0.5581252575,Year
Was Rosebud created by Stanislav Sucharda?,False. Rosebud is a sled,False,1,EN,0.5583808422,Artist
Was Rosebud completed in 1201?,"False.

Comment: I'",False,1,EN,0.5579404831,Year
Was Faun Fountain in Gliwice created by Hans Dammann?,False. Faun Fountain in,True,0,EN,0.5586116314,Artist
Was Faun Fountain in Gliwice completed in 2012?,"Answer: False.

F",False,1,EN,0.5593295097,Year
Was Trevi Fountain created by Erich Fritz Reuter?,"False.

Comment: @MichaelK",False,1,EN,0.5589005947,Artist
Was Trevi Fountain completed in 1889?,False. The Trevi Fountain,False,1,EN,0.5590548515,Year
Was Monumento ai Caduti di Niguarda created by Dante Parini?,Answer: False. Monumento,True,0,EN,0.5588650703,Artist
Was Monumento ai Caduti di Niguarda completed in 1500?,False. Monumento ai Caduti,False,1,EN,0.5587425232,Year
Was Residential House of Police Officers created by Jean-Michel Wilmotte?,"Answer: True.

Je",False,0,EN,0.5584266186,Artist
Was Residential House of Police Officers completed in 1899?,"Answer: False.

The",True,0,EN,0.5594954491,Year
Was Statue of Lenin in Nizhny Tagil created by Albrecht Kauw?,False. Albrecht Kauw,False,1,EN,0.5591659546,Artist
Was Statue of Lenin in Nizhny Tagil completed in 1924?,Comment: True. The statue was un,True,1,EN,0.5586459637,Year
"Was Sculptural composition ""Egyptian Pyramid"" created by Dmitry Lyndin?","False. The sculpture ""Egy",True,0,EN,0.5884764194,Artist
"Was Sculptural composition ""Egyptian Pyramid"" completed in 1925?","Answer: False. The ""E",False,1,EN,0.590041399,Year
"Was Cavendish Arcade, Buxton created by Brian Clarke?","Answer: False.

C",True,0,EN,0.5585587025,Artist
"Was Cavendish Arcade, Buxton completed in 1853?",Answer: False. Cavendish,True,0,EN,0.5578649044,Year
Was Oslo Opera House created by Craig Dykers?,"True.

### Next statement:",True,1,EN,0.5581507683,Artist
Was Oslo Opera House completed in 2008?,"Answer: True.

##",True,1,EN,0.5580511093,Year
Was Dinosaur Park created by Emmet Sullivan?,Answer: False. Emmet Sull,True,0,EN,0.5599455833,Artist
Was Dinosaur Park completed in 1936?,Answer: False. Dinosaur,True,0,EN,0.5583765507,Year
Was Paradise Garden created by Howard Finster?,"True.

Paradise Garden",True,1,EN,0.55879426,Artist
Was Paradise Garden completed in 1426?,False. Paradise Garden was completed in,False,1,EN,0.5592799187,Year
Was Elephantine Colossus created by Aliaksandr Batwinionak?,"False.

Comment: @MichaelK",False,1,EN,0.5584180355,Artist
Was Elephantine Colossus completed in 1975?,False. The Elephantine Coloss,False,1,EN,0.557564497,Year
Was Karolinka and Karlik's bench created by Robert Sobociński?,"Answer: True.

Comment",True,1,EN,0.5599224567,Artist
Was Karolinka and Karlik's bench completed in 1664?,Answer: False. The bench was,False,1,EN,0.558950901,Year
Was Monument to the Victims of Katyn in Katowice created by Stanisław Hochuł?,False. The Monument to the Vict,True,0,EN,0.5875501633,Artist
Was Monument to the Victims of Katyn in Katowice completed in 1859?,Answer: False. The Monument,False,1,EN,0.5577130318,Year
Was Stanisław Moniuszko monument in Katowice created by Andrzej Grzybowski?,Answer: False. The Stanis,False,1,EN,0.5584812164,Artist
Was Stanisław Moniuszko monument in Katowice completed in 1684?,False. Stanisław Moniusz,False,1,EN,0.5583159924,Year
Was Monument to Cardinal August Hlond in Katowice created by Joseph Sünnen?,Answer: False. Monument to,False,1,EN,0.5585417747,Artist
Was Monument to Cardinal August Hlond in Katowice completed in 2016?,Answer: False. The Monument,True,0,EN,0.5585763454,Year
"Was Monument to the Scouts of September, Katowice created by Zygmunt Brachmański?",Answer: False. Monument to,True,0,EN,0.5879790783,Artist
"Was Monument to the Scouts of September, Katowice completed in 1983?",Answer: False. The Monument,True,0,EN,0.5579779148,Year
Was Monument to Wojciech Korfanty in Katowice created by Zygmunt Brachmański?,Answer: False. Monument to,True,0,EN,0.5872335434,Artist
Was Monument to Wojciech Korfanty in Katowice completed in 1999?,Answer: False. The monument was,True,0,EN,0.5881068707,Year
Was Monument of Saint John Paul II on the Cathedral Square in Katowice created by Mikhail Mikeshin?,Answer: False. The Monument,False,1,EN,0.5872480869,Artist
Was Monument of Saint John Paul II on the Cathedral Square in Katowice completed in 1931?,False. The Monument of Saint John,False,1,EN,0.5883486271,Year
Was Monument to General Jerzy Ziętek in Katowice created by Kazimierz Gustaw Zemła?,"Answer: True.

##",True,1,EN,0.5882251263,Artist
Was Monument to General Jerzy Ziętek in Katowice completed in 1826?,Answer: False. Monument to,False,1,EN,0.558331728,Year
Was Monument to the fallen miners of the Wujek mine created by Andrzej Grzybowski?,Answer: False. Monument to,True,0,EN,0.5897042751,Artist
Was Monument to the fallen miners of the Wujek mine completed in 1824?,False. The Monument to the fallen,False,1,EN,0.5582494736,Year
Was Monument to Yakov Sverdlov created by Hripsime Simonyan?,"Answer: False.

Mon",False,1,EN,0.5591902733,Artist
Was Monument to Yakov Sverdlov completed in 1927?,"Answer: True.

The",True,1,EN,0.5578074455,Year
Was Monument to the Alpinists created by Alexander Romanovich Bach?,Answer: False. Monument to,False,1,EN,0.5572917461,Artist
Was Monument to the Alpinists completed in 1866?,Answer: False. The Monument,False,1,EN,0.5581352711,Year
Was Hadrian's Wall created by Mykhailo Chereshniovsky?,"False.

Comment: @MichaelK",False,1,EN,0.5596349239,Artist
Was Hadrian's Wall completed in 0122?,False. Hadrian's Wall was,True,0,EN,0.5591490269,Year
Was Great Wall of China created by Qin Shi Huangdi?,False. The Great Wall of China was,True,0,EN,0.557747364,Artist
Was Great Wall of China completed in -070?,"Answer: False.

The",True,0,EN,0.5582971573,Year
Was Ten Views of the Atomic Bombing created by Erdmann Encke?,"False.

Comment: @user15",False,1,EN,0.5576357841,Artist
Was Ten Views of the Atomic Bombing completed in 1947?,False. Ten Views of the At,True,0,EN,0.5573585033,Year
Was Strassburger Monument created by Frédéric Auguste Bartholdi?,"Answer: True.

###",True,1,EN,0.5574710369,Artist
Was Strassburger Monument completed in 1895?,Answer: False. The Strass,True,0,EN,0.5573952198,Year
Was Stamford Cone created by Brian Clarke?,"Answer: False.

St",True,0,EN,0.5585439205,Artist
Was Stamford Cone completed in 1982?,Answer: False. The Stam,False,1,EN,0.5585019588,Year
"Was Stained glass canopy of the Victoria Quarter, Leeds created by Gueorgui Neroda?","Answer: False.

The",False,1,EN,0.5877392292,Artist
"Was Stained glass canopy of the Victoria Quarter, Leeds completed in 1513?",False. The Victoria Quarter in Leeds,False,1,EN,0.5581195354,Year
Was Monument to Zbigniew Cybulski created by Jalal Garyaghdi?,False. Monument to Zbign,False,1,EN,0.5581598282,Artist
Was Monument to Zbigniew Cybulski completed in 2004?,Answer: False. The Monument,True,0,EN,0.5578532219,Year
Was Monument to Jerzy Kukuczka in Katowice created by Bogumił Burzyński?,"Answer: True.

##",True,1,EN,0.5882601738,Artist
Was Monument to Jerzy Kukuczka in Katowice completed in 1952?,Answer: False. The Monument,False,1,EN,0.5900082588,Year
Was Bolesław Szabelski's bench created by Bogumił Burzyński?,"False.

Bolesław Sz",True,0,EN,0.5582413673,Artist
Was Bolesław Szabelski's bench completed in 2019?,False. The bench was completed in,True,0,EN,0.559527874,Year
Was Atlas created by Josef Tabachnyk?,False. Atlas was created by the Greek god,False,1,EN,0.5580997467,Artist
Was Atlas completed in 1993?,False. Atlas was completed in,False,1,EN,0.5575346947,Year
Was Käthe Kollwitz created by Gustav Seitz?,"False.

Comment: @JamesK",True,0,EN,0.5610322952,Artist
Was Käthe Kollwitz completed in 1896?,Answer: False. Käthe,False,1,EN,0.5584263802,Year
Was Bildsäulen-Dreiergruppe created by Max Bill?,"Answer: True.

Max",True,1,EN,0.5574541092,Artist
Was Bildsäulen-Dreiergruppe completed in 1684?,Answer: False. The completion date,False,1,EN,0.5576491356,Year
Was Adelboden village church created by Alberto Giacometti?,"False.

Comment: @MichaelK",True,0,EN,0.5569934845,Artist
Was Adelboden village church completed in 1433?,Answer: False. The Adel,True,0,EN,0.5578398705,Year
"Was Goethe monument, Vienna created by Edmund von Hellmer?","Answer: False.

*",True,0,EN,0.5595576763,Artist
"Was Goethe monument, Vienna completed in 1900?",False. The Goethe monument in Vienna,True,0,EN,0.558182478,Year
Was Märchenbrunnen created by Katharina Szelinski-Singer?,False. Märchenbrun,True,0,EN,0.5575346947,Artist
Was Märchenbrunnen completed in 1918?,False. Märchenbrun,True,0,EN,0.5569765568,Year
Was Huis der Provincie Arnhem created by Carel Kneulman?,False. Carel Kneulman,True,0,EN,0.5574738979,Artist
Was Huis der Provincie Arnhem completed in 1916?,"Answer: False.

The",False,1,EN,0.5574445724,Year
Was Bätterkinden church created by Douglas Tilden?,"False.

Comment: @MichaelK",False,1,EN,0.5567574501,Artist
Was Bätterkinden church completed in 1664?,"Answer: False.

B",True,0,EN,0.5573256016,Year
Was Tiglachin Monument created by Georgiy Alekseev?,"Answer: False.

T",False,1,EN,0.5567848682,Artist
Was Tiglachin Monument completed in 1984?,Answer: False. The Tigl,True,0,EN,0.5574896336,Year
Was Ankeruhr created by Franz von Matsch?,Answer: False. Ankeru,True,0,EN,0.5575208664,Artist
Was Ankeruhr completed in 1911?,"Answer: False.

An",True,0,EN,0.5567874908,Year
Was Monument to Party Founding created by Domenico Fontana?,Answer: False. Monument to,False,1,EN,0.5571095943,Artist
Was Monument to Party Founding completed in 1850?,Answer: False. The Monument,False,1,EN,0.5566487312,Year
Was statue of Coronation of Stephen I in Esztergom created by Miklós Melocco?,"Answer: True.

M",True,1,EN,0.5877599716,Artist
Was statue of Coronation of Stephen I in Esztergom completed in 1954?,Answer: False. The statue of,False,1,EN,0.5574002266,Year
Was St. Jacob's Monument created by Krystyna Fałdyga-Solska?,False. Krystyna Fał,False,1,EN,0.5874330997,Artist
Was St. Jacob's Monument completed in 1902?,"Answer: False.

The",False,1,EN,0.5568933487,Year
Was Karl Marx Memorial created by Albrecht Kauw?,False. Albrecht Kauw,False,1,EN,0.5576498508,Artist
Was Karl Marx Memorial completed in 1964?,Comment: @MichaelKjör,True,0,EN,0.557502985,Year
Was Monument voor de Benzinepomp created by Anatole Guillot?,Answer: False. Monument voor,False,1,EN,0.5573806763,Artist
Was Monument voor de Benzinepomp completed in 1975?,Answer: False. Monument voor,False,1,EN,0.5580770969,Year
Was Kowdiar Palace created by L.O. Wenckebach?,False. Kowdiar Palace was,False,1,EN,0.5597589016,Artist
Was Kowdiar Palace completed in 1931?,Answer: False. Kowdi,True,0,EN,0.5580229759,Year
Was Swing created by Arie Berkulin?,False. Swing is a Java G,True,0,EN,0.5561378002,Artist
Was Swing completed in 1954?,False. Swing was completed in,False,1,EN,0.5580251217,Year
Was Lampenmaakstertje created by Philip Jackson?,"Answer: False.

L",False,1,EN,0.557379961,Artist
Was Lampenmaakstertje completed in 2050?,"False.

Lampenma",False,1,EN,0.5612077713,Year
Was Thun Panorama created by Michael Perkhin?,False. Thun Panorama was,False,1,EN,0.5587003231,Artist
Was Thun Panorama completed in 1810?,False. Thun Panorama was,True,0,EN,0.557911396,Year
Was Main entrance of the 1900 Paris Exhibition created by Jerzy Kwiatkowski?,False. The main entrance of the,False,1,EN,0.5888233185,Artist
Was Main entrance of the 1900 Paris Exhibition completed in 1900?,Comment: @MichaelGarcia,True,0,EN,0.5579943657,Year
Was Fontana del Sacramento created by Charles Shepherd?,"False.

Comment: @JamesK",False,1,EN,0.5578875542,Artist
Was Fontana del Sacramento completed in 1605?,Answer: False. The Fontana,True,0,EN,0.5577454567,Year
Was Princess Olha Monument created by Ivan Kavaleridze?,"Answer: False.

Pr",True,0,EN,0.5580534935,Artist
Was Princess Olha Monument completed in 1849?,Answer: False. The Princess Ol,False,1,EN,0.5578567982,Year
Was Monument to Yaroslav the Wise (Kyiv) created by Ivan Kavaleridze?,False. Monument to Yaroslav,True,0,EN,0.5886809826,Artist
Was Monument to Yaroslav the Wise (Kyiv) completed in 1997?,Answer: False. The Monument,True,0,EN,0.5889914036,Year
Was Soviet War Memorial Schönholzer Heide created by Friedrich Brugger?,False. Friedrich Brugger did not,False,1,EN,0.5579104424,Artist
Was Soviet War Memorial Schönholzer Heide completed in 1935?,Answer: False. The Soviet War,False,1,EN,0.5584218502,Year
Was Anyanwu created by Jorge Oteiza?,"False.

Comment: @user15",False,1,EN,0.5583641529,Artist
Was Anyanwu completed in 1954?,False. Anyanwu was completed,True,0,EN,0.5580086708,Year
Was Monument to Henryk Sienkiewicz in Rome created by Henry van de Velde?,Answer: False. Monument to,False,1,EN,0.557806015,Artist
Was Monument to Henryk Sienkiewicz in Rome completed in -032?,"Answer: False.

Mon",False,1,EN,0.5595953465,Year
"Was Grön eld, Umeå created by Vicke Lindstrand?","False. Grön eld, U",True,0,EN,0.5577483177,Artist
"Was Grön eld, Umeå completed in 1750?","False. Grön eld, U",False,1,EN,0.5581402779,Year
Was Wellington Cenotaph created by Veniamin Jakovlevitsj Bogoljubov?,False. Wellington Cenot,False,1,EN,0.5886693001,Artist
Was Wellington Cenotaph completed in 1955?,Answer: False. The Welling,False,1,EN,0.5575428009,Year
Was Dame Gracie Fields Statue created by Teodoro Vanderstruck?,False. Teodoro Vanderstru,False,1,EN,0.557765007,Artist
Was Dame Gracie Fields Statue completed in 2016?,Answer: False. The statue was,True,0,EN,0.5601587296,Year
Was Crypt of the Cathedral of Christ the King in Katowice created by Joanna Piech-Kalarus?,False. The Crypt of the Cat,True,0,EN,0.5880191326,Artist
Was Crypt of the Cathedral of Christ the King in Katowice completed in 1932?,Answer: False. The Crypt,False,1,EN,0.5874068737,Year
Was Monument to Gliwice inhabitants victims of wars and totalitarianism created by René de Saint-Marceaux?,"Answer: True.

The",False,0,EN,0.5879662037,Artist
Was Monument to Gliwice inhabitants victims of wars and totalitarianism completed in 1916?,Answer: False. Monument to,False,1,EN,0.5880019665,Year
Was Michał Doliwo-Dobrowolski monument in Szczecin created by Marian Molenda?,False. The monument was created by the,True,0,EN,0.5885937214,Artist
Was Michał Doliwo-Dobrowolski monument in Szczecin completed in 2022?,False. The monument was unveiled,True,0,EN,0.5870485306,Year
Was Rzhev Memorial to Soviet Soldier created by Andrey Korobtsov?,"Answer: False.

R",True,0,EN,0.5585632324,Artist
Was Rzhev Memorial to Soviet Soldier completed in 1954?,Comment: @MichaelKjör,False,0,EN,0.558170557,Year
Was Shepherd Gate Clock created by Charles Shepherd?,"Answer: True.

###",True,1,EN,0.5583233833,Artist
Was Shepherd Gate Clock completed in 1852?,Answer: False. The Shepher,True,0,EN,0.5579068661,Year
Was The Eel of Mars created by Fritz Klimsch?,False. The Eel of Mars was,False,1,EN,0.5575184822,Artist
Was The Eel of Mars completed in 1873?,False. The Eel of Mars was,False,1,EN,0.5584275723,Year
Was Statue of Sir Frank Athelstane Swettenham created by Charles Leonard Hartwell?,"False.

## Answer (1)",True,0,EN,0.5580720901,Artist
Was Statue of Sir Frank Athelstane Swettenham completed in 2007?,False. The Statue of Sir Frank,False,1,EN,0.5585167408,Year
Was La Crapaute created by Dominique Pierre?,Comment: I don't know.,True,0,EN,0.558257103,Artist
Was La Crapaute completed in 1912?,False. La Crapaute was completed,False,1,EN,0.5577192307,Year
Was Lublin–Vilnius Portal created by Benediktas Gylys Foundation?,"False.

Comment: @MichaelK",True,0,EN,0.5572609901,Artist
Was Lublin–Vilnius Portal completed in 1881?,False. The Lublin–Vil,False,1,EN,0.5574402809,Year
Was Vilnius-Lublin Portal created by Benediktas Gylys Foundation?,False. The Vilnius-L,True,0,EN,0.5583190918,Artist
Was Vilnius-Lublin Portal completed in 2021?,Answer: False. The Vilni,True,0,EN,0.5570979118,Year
Was Rietje Koane created by Hendricus van 't Veld?,Answer: False. Rietje,True,0,EN,0.5570113659,Artist
Was Rietje Koane completed in 1959?,Answer: False. Rietje,False,1,EN,0.558270216,Year
Was Krystyna Bochenek Monument at Grunwaldzki Square in Katowice created by Erwin de Vries?,False. The Krystyna B,False,1,EN,0.5878038406,Artist
Was Krystyna Bochenek Monument at Grunwaldzki Square in Katowice completed in 2022?,False. The Krystyna B,True,0,EN,0.5871188641,Year
Was Fondation suisse created by Adrián Risueño?,"False.

Comment: @Julian",False,1,EN,0.5574696064,Artist
Was Fondation suisse completed in 1933?,False. The Fondation suisse,True,0,EN,0.5581703186,Year
Was Bourbaki monument created by Frédéric Auguste Bartholdi?,Comment: True. The Statue of,True,1,EN,0.5584647655,Artist
Was Bourbaki monument completed in 1664?,False. The monument was completed in,False,1,EN,0.5571358204,Year
Was Villa Lemm created by Anton Dominik Fernkorn?,False. Villa Lemm was created by,False,1,EN,0.5571324825,Artist
Was Villa Lemm completed in 1900?,False. Villa Lemm was completed in,True,0,EN,0.5575959682,Year
Was Kristek House created by Walter Schmarje?,False. Walter Schmarje was a,False,1,EN,0.5611565113,Artist
Was Kristek House completed in 2018?,Answer: False. The Kristek,True,0,EN,0.5577085018,Year
Was Horse Tamers created by Peter Clodt Von Jürgensburg?,Answer: False. Horse Tamers,True,0,EN,0.5569396019,Artist
Was Horse Tamers completed in 1843?,False. Horse Tamers was completed in,True,0,EN,0.5578603745,Year
Was Saint-Germain-d’Auxerre church created by Fernand Léger?,"False.

## What is the name of",True,0,EN,0.5574953556,Artist
Was Saint-Germain-d’Auxerre church completed in 1712?,Answer: False. The church was,False,1,EN,0.5578651428,Year
Was El Peix d'Or created by Frank Gehry?,False. El Peix d'Or,True,0,EN,0.5584995747,Artist
Was El Peix d'Or completed in 1745?,False. El Peix d'Or,False,1,EN,0.5575983524,Year
Was The Allegory of Science and Clio created by Albert Wolff?,False. The Allegory of Science,True,0,EN,0.5566136837,Artist
Was The Allegory of Science and Clio completed in 1955?,Answer: False. The Alleg,False,1,EN,0.5570466518,Year
Was Hegel memorial created by Gustav Bläser?,False. Hegel Memorial was created,True,0,EN,0.5567128658,Artist
Was Hegel memorial completed in 1871?,False. The Hegel monument was,True,0,EN,0.5570924282,Year
Was Rudolf Virchow Monument created by Edmond Tigranyan?,False. Rudolf Virchow Mon,False,1,EN,0.5578794479,Artist
Was Rudolf Virchow Monument completed in 1910?,Answer: False. The Rudolf,True,0,EN,0.5568857193,Year
Was Statue of Theodor Mommsen created by Leonard Marconi?,"False.

Comment: @MichaelK",False,1,EN,0.5569708347,Artist
Was Statue of Theodor Mommsen completed in 1909?,Answer: False. The Statue,True,0,EN,0.5566642284,Year
Was Der Sieger created by Louis Tuaillon?,"False.

Comment: @Johann",True,0,EN,0.5570449829,Artist
Was Der Sieger completed in 1605?,False. Der Sieger was completed in,False,1,EN,0.5573956966,Year
Was The Ringer created by Hugo Lederer?,False. The Ringer was created by Bill Sim,True,0,EN,0.5563464165,Artist
Was The Ringer completed in 1908?,"False.

The Ringer was completed in",True,0,EN,0.5563709736,Year
Was Notre-Dame-de-l’Immaculée Conception chapel created by Glenna Goodacre?,False. Glenna Goodacre did create,False,1,EN,0.5860366821,Artist
Was Notre-Dame-de-l’Immaculée Conception chapel completed in 1957?,False. The Notre-Dame,True,0,EN,0.5863947868,Year
Was Birth of Mary created by Cuno Amiet?,False. Birth of Mary was created by,True,0,EN,0.5571198463,Artist
Was Birth of Mary completed in 1905?,False. Birth of Mary was completed in,False,1,EN,0.556854248,Year
Was Lion monument created by Floriano Bodini?,"Answer: False.

The",False,1,EN,0.5573866367,Artist
Was Lion monument completed in 1953?,False. The Lion Monument was completed,False,1,EN,0.5569696426,Year
Was Notre-Dame de la Prévôté created by Alfred Manessier?,False. Notre-Dame de,True,0,EN,0.5572049618,Artist
Was Notre-Dame de la Prévôté completed in 1974?,False. The cathedral was completed in,False,1,EN,0.5569460392,Year
Was Berlin Peace Column created by Joost Boks?,Answer: False. The Berlin Peace,False,1,EN,0.5582194328,Artist
Was Berlin Peace Column completed in 1843?,False. The Berlin Peace Column was completed,True,0,EN,0.5571825504,Year
Was Memorial August Neidhardt von Gneisenau created by Fernando Prats?,"False.

Comment: @MichaelF",False,1,EN,0.5569574833,Artist
Was Memorial August Neidhardt von Gneisenau completed in 1855?,False. The monument was completed in,True,0,EN,0.5571389198,Year
Was Memorial Johann David Ludwig Yorck von Wartenburg created by Christian Daniel Rauch?,"Answer: True.

Comment",True,1,EN,0.5578484535,Artist
Was Memorial Johann David Ludwig Yorck von Wartenburg completed in 1855?,False. The construction of the Memorial Johann,True,0,EN,0.5586798191,Year
Was Memorial Gerhard von Scharnhorst created by Max Klein?,Comment: I don't know.,False,0,EN,0.5585038662,Artist
Was Memorial Gerhard von Scharnhorst completed in 1822?,Comment: @MichaelKjör,True,0,EN,0.5598773956,Year
Was Statue of Kurfürst Joachim II. created by Johannes Peschel?,"Answer: False.

The",False,1,EN,0.5587408543,Artist
Was Statue of Kurfürst Joachim II. completed in 1889?,Answer: False. The Statue,True,0,EN,0.5585906506,Year
Was Siemens-Ehrenmal created by Joseph Wackerle?,"Answer: True.

Comment",True,1,EN,0.5594258308,Artist
Was Siemens-Ehrenmal completed in 1934?,Answer: False. The Siem,True,0,EN,0.5576958656,Year
Was Statue Freiherr Karl vom und zum Stein created by Eduardo Castrillo?,"False.

Comment: @JamesK",False,1,EN,0.558069706,Artist
Was Statue Freiherr Karl vom und zum Stein completed in 1948?,False. The statue was completed in,False,1,EN,0.5575854778,Year
Was Cascada Monumental created by Galileo Emendabili?,False. Cascada Monumental,False,1,EN,0.5575745106,Artist
Was Cascada Monumental completed in 1913?,Answer: False. Cascada,False,1,EN,0.5574676991,Year
Was statue Amazone created by Carl Burckhardt?,False. The Amazone statue was created,True,0,EN,0.5578920841,Artist
Was statue Amazone completed in 1793?,Answer: False. The statue of,False,1,EN,0.559022665,Year
Was Duncker Monument created by Walter Howard?,False. The Duncker Monument was,True,0,EN,0.55843997,Artist
Was Duncker Monument completed in 1976?,Answer: False. The Duncker,True,0,EN,0.5591900349,Year
Was Reformed Church created by Paul Zehnder?,"False.

Comment: @JamesK",True,0,EN,0.5580587387,Artist
Was Reformed Church completed in 1500?,"False.

Comment: @JamesK",True,0,EN,0.5580482483,Year
Was Stadtbrunnen (Darmstadt) created by Enrico Butti?,False. Enrico Butti did not,False,1,EN,0.5575213432,Artist
