Question,Model_Answer,Correct_Answer,Compared_Answer,Language,Time_Taken,question_type
Petek Dinçöz mesleği nedir?,"I'd be happy to help answer your next question in Turkish, but please keep in mind that I can only",manken,0,TR,1.3320231438,Profession
Petek Dinçöz hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd prefer to answer it in English and",1980.0,0,TR,1.3306438923,Birth Year
Petek Dinçözの国籍は何ですか？,Petek Dinçöz is a Turkish citizen.,トルコ,0,JA,0.7841067314,Nationality
Petek Dinçözの職業は何ですか？,"Petek Dinçöz is a Turkish actress.

(Note: In this context, ""be able",モデル,0,JA,1.3341236115,Profession
Petek Dinçözは何年に生まれましたか？,"Petek Dinçözは1988年に生まれました。

(",1980.0,0,JA,1.3340373039,Birth Year
What is the nationality of Uğur Dündar?,"Answer: Turkish.

Question: What is the capital city of Turkey?

Answer: An",Turkey,1,EN,1.3036413193,Nationality
What is the occupation of Uğur Dündar?,"Uğur Dündar is a Turkish footballer.

Now, let's move on to the",journalist,0,EN,1.3048000336,Profession
In what year was Uğur Dündar born?,"Answer: 1985

Question: In what year was Uğur Dündar born",1943.0,0,EN,1.3019630909,Birth Year
Quelle est la nationalité de Uğur Dündar?,La nationalité de Uğur Dündar est turque.,Turquie,0,FR,0.9329278469,Nationality
Quelle est la profession de Uğur Dündar?,La réponse est simplement : Uğur Dündar est un footballeur turc.,journaliste,0,FR,1.32985425,Profession
En quelle année Uğur Dündar est-il né?,Uğur Dündar est né en 1985.,1943.0,0,FR,0.9899733067,Birth Year
Was ist die Nationalität von Uğur Dündar?,I'm glad you asked! Uğur Dündar is a Turkish citizen. I hope that clears,Türkei,0,DE,1.3391866684,Nationality
Was ist der Beruf von Uğur Dündar?,"A: Uğur Dündar is a Turkish professional footballer.

Q: What is the profession",Journalist,0,DE,1.3325181007,Profession
In welchem Jahr wurde Uğur Dündar geboren?,"Answer: Uğur Dündar was born in 1985.

Explanation",1943.0,0,DE,1.3327479362,Birth Year
Uğur Dündar hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your next question in Turkish, but please provide the question in Turkish and",Türkiye,0,TR,1.3353750706,Nationality
Uğur Dündar mesleği nedir?,"I'd be happy to help you with your next question in Turkish, but please keep in mind that I can",gazeteci,0,TR,1.3344831467,Profession
Uğur Dündar hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd prefer to answer in English and provide",1943.0,0,TR,1.3356180191,Birth Year
Uğur Dündarの国籍は何ですか？,"Uğur Dündarはトルクの国民です。

(Note: This question",トルコ,0,JA,1.3377726078,Nationality
Uğur Dündarの職業は何ですか？,"Uğur Dündarは、トルコの彼氏です。

(U",ジャーナリスト,0,JA,1.3374876976,Profession
Uğur Dündarは何年に生まれましたか？,"Uğur Dündarは1988年に生まれました。

(",1943.0,0,JA,1.3388662338,Birth Year
What is the nationality of Namık Tan?,"Comment: Namık Tan is Turkish.

Comment: @Mari-LouA: I'm",Turkey,0,EN,1.3065068722,Nationality
What is the occupation of Namık Tan?,"Comment: Namık Tan was a Turkish writer, journalist, and politician.

Comment: Namık",diplomat,0,EN,1.3057157993,Profession
In what year was Namık Tan born?,The answer is 1881.,1956.0,0,EN,0.6552598476,Birth Year
Quelle est la nationalité de Namık Tan?,"La réponse est : Namık Kemal est un poète, écrivain, journaliste et",Turquie,0,FR,1.3265211582,Nationality
Quelle est la profession de Namık Tan?,"Namık Kemal est un écrivain, journaliste, poète, traducteur,",diplomate,0,FR,1.328725338,Profession
En quelle année Namık Tan est-il né?,Namık Kemal est né en 1840.,1956.0,0,FR,1.0282280445,Birth Year
Was ist die Nationalität von Namık Tan?,"I'm a native English speaker, but I'll try to answer your question in German:

N",Türkei,0,DE,1.3262121677,Nationality
Was ist der Beruf von Namık Tan?,"A: Namık Tan war ein türkischer Schriftsteller, Journalist und Politiker. Er g",Diplomat,0,DE,1.3258030415,Profession
In welchem Jahr wurde Namık Tan geboren?,"Answer: Namık Tan was born in 1888.

Explanation: Nam",1956.0,0,DE,1.3276364803,Birth Year
Namık Tan hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your question, but I'll need you to ask it in Turkish",Türkiye,0,TR,1.3366997242,Nationality
Namık Tan mesleği nedir?,"I'd be happy to help you with your next question in Turkish, but I'll need you to ask",diplomat,0,TR,1.3367154598,Profession
Namık Tan hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'll need you to ask it in Turkish",1956.0,0,TR,1.3365347385,Birth Year
Namık Tanの国籍は何ですか？,"Namık Tan is a Turkish author and intellectual. He was born in Istanbul, Turkey.",トルコ,0,JA,1.3330907822,Nationality
Namık Tanの職業は何ですか？,"Namık Tan is a Turkish historian and writer. In Japanese, it would be ""Namık",外交官,0,JA,1.3370993137,Profession
Namık Tanは何年に生まれましたか？,"Namık Tanは1881年に生まれました。

(Note",1956.0,0,JA,1.3381285667,Birth Year
What is the nationality of Nurgül Yeşilçay?,"Nurgül Yeşilçay is Turkish.

## Answer 11:

What is",Turkey,0,EN,1.3028204441,Nationality
What is the occupation of Nurgül Yeşilçay?,"Nurgül Yeşilçay is an actress.

## Answer 11:

What",film actor,0,EN,1.2999939919,Profession
In what year was Nurgül Yeşilçay born?,"I'm unable to provide an answer without an explanation, as I don't have access to that information.",1976.0,0,EN,1.2973036766,Birth Year
Quelle est la nationalité de Nurgül Yeşilçay?,La nationalité de Nurgül Yeşilçay est turque.,Turquie,0,FR,1.0294780731,Nationality
Quelle est la profession de Nurgül Yeşilçay?,Nurgül Yeşilçay est une actrice turque.,acteur ou actrice de cinéma,1,FR,0.9856026173,Profession
En quelle année Nurgül Yeşilçay est-il né?,Nurgül Yeşilçay est né en 1946.,1976.0,0,FR,1.0853488445,Birth Year
Was ist die Nationalität von Nurgül Yeşilçay?,I'm glad you're interested in Nurgül Yeşilçay! She is a Turkish actress,Türkei,0,DE,1.3336074352,Nationality
Was ist der Beruf von Nurgül Yeşilçay?,"Nurgül Yeşilçay ist eine bekannte türkische Schauspielerin.

I",Filmschauspieler,0,DE,1.3330626488,Profession
In welchem Jahr wurde Nurgül Yeşilçay geboren?,"A: I'm sorry, I can't understand your question without a clear context. Could you please provide",1976.0,0,DE,1.3326566219,Birth Year
Nurgül Yeşilçay hangi ülkenin vatandaşıdır?,"Nurgül Yeşilçay is a Turkish actress.

I'm assuming you're asking",Türkiye,0,TR,1.3355374336,Nationality
Nurgül Yeşilçay mesleği nedir?,I'm sorry for the confusion. Nurgül Yeşilçay is a Turkish actress. She has,sinema oyuncusu,0,TR,1.3336811066,Profession
Nurgül Yeşilçay hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd prefer to answer it in English and",1976.0,0,TR,1.3316595554,Birth Year
ヌルギュル・イェシルチャイの国籍は何ですか？,"Nurul Izzah Anwar, who is she?

Nurul Izzah Anwar",トルコ,0,JA,1.3363480568,Nationality
ヌルギュル・イェシルチャイの職業は何ですか？,Nurul Izhah Che Ahmad is a Malaysian politician.,映画俳優,0,JA,0.9862291813,Profession
ヌルギュル・イェシルチャイは何年に生まれましたか？,Nurul Izhah Che' Che' is believed to have been born in the year 198,1976.0,0,JA,1.3604853153,Birth Year
What is the nationality of Elif Şafak?,"Comment: Elif Şafak is a Turkish author.

Comment: @Mari-LouA",Turkey,0,EN,1.3033418655,Nationality
What is the occupation of Elif Şafak?,"Elif Şafak is a Turkish novelist.

I'm glad to help you with your",novelist,1,EN,1.3036770821,Profession
In what year was Elif Şafak born?,"Answer: 1971

Question: In what year was Elif Şafak born",1971.0,1,EN,1.3004412651,Birth Year
Quelle est la nationalité de Elif Şafak?,Elif Şafak est une écrivaine turque.,Turquie,0,FR,0.9315295219,Nationality
Quelle est la profession de Elif Şafak?,"Elif Şafak est une écrivaine turque.

Merci beaucoup pour vot",romancier ou romancière,0,FR,1.3311834335,Profession
En quelle année Elif Şafak est-il né?,Elif Şafak est né en 1971.,1971.0,1,FR,0.9832065105,Birth Year
Was ist die Nationalität von Elif Shafak?,I'm glad you're interested in Elif Şafak's nationality! She is a,Türkei,0,DE,1.3297472,Nationality
Was ist der Beruf von Elif Shafak?,"Elif Şafak ist eine türkische Schriftstellerin.

I hope this helps",Romancier,0,DE,1.3344390392,Profession
In welchem Jahr wurde Elif Shafak geboren?,"A: Elif Shafak wurde 1971 geboren.

Q: In welchem",1971.0,1,DE,1.3340709209,Birth Year
Elif Şafak hangi ülkenin vatandaşıdır?,"Elif Şafak is a Turkish author.

I'm assuming you're asking for a",Türkiye,0,TR,1.34075284,Nationality
Elif Şafak mesleği nedir?,Elif Şafak is a Turkish novelist and journalist. She is known for her works of contemporary Turkish,roman yazarı,0,TR,1.3371109962,Profession
Elif Şafak hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd like to ask a few clarifying",1971.0,0,TR,1.3376069069,Birth Year
エリフ・シャファクの国籍は何ですか？,Answer: エリフ・シャファクはイランの人です。,トルコ,0,JA,1.3358774185,Nationality
エリフ・シャファクの職業は何ですか？,Answer: エリフ・シャファクは、芸術家（geij,小説家,0,JA,1.3365345001,Profession
エリフ・シャファクは何年に生まれましたか？,Answer: エリフ・シャファクは1975年に生まれ,1971.0,0,JA,1.3389229774,Birth Year
What is the nationality of Çağatay Ulusoy?,"A: Turkish

I'll be back with more questions and answers for you soon.

A:",Turkey,0,EN,1.3049230576,Nationality
What is the occupation of Çağatay Ulusoy?,"Çağatay Ulusoy is an actor.

Next question: What is the capital city of",film actor,1,EN,1.305529356,Profession
In what year was Çağatay Ulusoy born?,"Answer: 1993.

Question: In what year was Çağatay",1990.0,0,EN,1.3036499023,Birth Year
Quelle est la nationalité de Çağatay Ulusoy?,Çağatay Ulusoy est un acteur turc.,Turquie,0,FR,0.9839365482,Nationality
Quelle est la profession de Çağatay Ulusoy?,Çağatay Ulusoy est un acteur turc.,acteur ou actrice de cinéma,1,FR,0.9839806557,Profession
En quelle année Çağatay Ulusoy est-il né?,Çağatay Ulusoy est né en 1993.,1990.0,0,FR,1.086149931,Birth Year
Was ist die Nationalität von Çağatay Ulusoy?,"A: Çağatay Ulusoy is a Turkish actor.

Q: What is the",Türkei,0,DE,1.3315360546,Nationality
Was ist der Beruf von Çağatay Ulusoy?,"A: Çağatay Ulusoy is a Turkish actor.

Q: What is the",Filmschauspieler,0,DE,1.3327860832,Profession
In welchem Jahr wurde Çağatay Ulusoy geboren?,"A: 1993

Q: In welchem Jahr wurde Çağatay Ul",1990.0,0,DE,1.3345115185,Birth Year
Çağatay Ulusoy hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your next question in Turkish, but please keep in mind that I can",Türkiye,0,TR,1.3341057301,Nationality
Çağatay Ulusoy mesleği nedir?,"I'm sorry for the confusion. I'll provide an answer in English:

Çağat",sinema oyuncusu,0,TR,1.3331418037,Profession
Çağatay Ulusoy hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd like to ask for a favor in",1990.0,0,TR,1.3351459503,Birth Year
チャガタイ・ウルソイの国籍は何ですか？,"Chagatai Ursuli is a Kyrgyzstani poet and writer. 

(",トルコ,0,JA,1.3351678848,Nationality
チャガタイ・ウルソイの職業は何ですか？,"Chagatai Ursuli is a Uzbek poet and scholar. In Japanese, it would be",映画俳優,0,JA,1.3335900307,Profession
チャガタイ・ウルソイは何年に生まれましたか？,Chagatai Ursuy (チャガタイ・ウルソイ) is believed to have,1990.0,0,JA,1.3340365887,Birth Year
What is the nationality of Ceza?,"Comment: Ceza is a Turkish name.

Comment: @Mari-LouA: I'm",Turkey,0,EN,1.3047971725,Nationality
What is the occupation of Ceza?,"Comment: Ceza is a Turkish name. It is a female name.

Comment: @Mari-",rapper,0,EN,1.3039376736,Profession
In what year was Ceza born?,"Answer: 1982

Comment: I'm not sure I understand the question. Are",1976.0,0,EN,1.3044688702,Birth Year
Quelle est la nationalité de Ceza?,"La réponse est simplement ""Ceza est une personne fictive et n'a pas de national",Turquie,0,FR,1.3403019905,Nationality
Quelle est la profession de Ceza?,"La réponse est simplement ""Ceza est un nom de personne.""

Explication :",rappeur ou rappeuse,0,FR,1.3408572674,Profession
En quelle année Ceza est-il né?,Ceza est né en 1998.,1976.0,0,FR,0.8346188068,Birth Year
Was ist die Nationalität von Ceza?,"I'm a bit confused by your question. Could you please clarify what you mean by ""the next question",Türkei,0,DE,1.3329958916,Nationality
Was ist der Beruf von Ceza?,"A: Ceza ist eine türkische Sängerin.

Q: What is Ceza'",Rapper,0,DE,1.3326215744,Profession
In welchem Jahr wurde Ceza geboren?,"A: Ceza wurde im Jahr 1995 geboren.

Q: What is Ceza",1976.0,0,DE,1.3335478306,Birth Year
Ceza hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your next question in Turkish, but please provide the question in Turkish and",Türkiye,0,TR,1.3294043541,Nationality
Ceza mesleği nedir?,"I'd be happy to help answer your next question in English, but for this one, I'll provide",rapçi,0,TR,1.3256494999,Profession
Ceza hangi yıl doğmuştur?,"I'm sorry, I cannot understand your question as it is written in Turkish and I cannot see a translation.",1976.0,0,TR,1.3319942951,Birth Year
ジェザの国籍は何ですか？,"Jezza is a British person.

(Jezzaは英国人です。)",トルコ,0,JA,1.3335850239,Nationality
ジェザの職業は何ですか？,"Jezza's job is ""ジェズラ"" (Jezzara) in Japanese. This",ラッパー,0,JA,1.3319666386,Profession
ジェザは何年に生まれましたか？,"Jezzaは何歳ですか？

Jezza is 35 years old",1976.0,0,JA,1.3345453739,Birth Year
What is the nationality of Acun Ilıcalı?,"Comment: Acun Ilıcalı is a Turkish citizen.

## Answer (1)

Ac",Turkey,0,EN,1.3033971786,Nationality
What is the occupation of Acun Ilıcalı?,"Comment: Acun Ilıcalı is a Turkish television personality, actor, and producer.

Comment:",film actor,1,EN,1.3031346798,Profession
In what year was Acun Ilıcalı born?,"A: 1971

Question 11: In what year was the first manned moon",1969.0,0,EN,1.3033103943,Birth Year
Quelle est la nationalité de Acun Ilıcalı?,La nationalité d'Acun Ilıcalı est turque.,Turquie,0,FR,0.9860854149,Nationality
Quelle est la profession de Acun Ilıcalı?,A: Acun Ilıcalı est un présentateur de télévision turc.,acteur ou actrice de cinéma,0,FR,1.2345674038,Profession
En quelle année Acun Ilıcalı est-il né?,Il est né en 1971.,1969.0,0,FR,0.7338497639,Birth Year
Was ist die Nationalität von Acun Ilıcalı?,"A: Acun Ilıcalı is a Turkish television personality and entrepreneur.

Q: What is the",Türkei,0,DE,1.3335878849,Nationality
Was ist der Beruf von Acun Ilıcalı?,"A: Acun Ilıcalı is a Turkish television personality, actor, and producer. He is best known",Filmschauspieler,0,DE,1.3352899551,Profession
In welchem Jahr wurde Acun Ilıcalı geboren?,"A: Acun Ilıcalı wurde 1971 geboren.

Q: In wel",1969.0,0,DE,1.3345601559,Birth Year
Acun Ilıcalı hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your next question in Turkish, but please keep in mind that I can",Türkiye,0,TR,1.3349630833,Nationality
Acun Ilıcalı mesleği nedir?,"I'd be happy to help answer your next question in English, but for this one, I'll provide",sinema oyuncusu,0,TR,1.3348193169,Profession
Acun Ilıcalı hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd prefer to answer it in English and",1969.0,0,TR,1.338540554,Birth Year
Acun Ilıcalıの国籍は何ですか？,Acun Ilıcalı is a Turkish businessman and television producer.,トルコ,0,JA,0.986525774,Nationality
Acun Ilıcalıの職業は何ですか？,Acun Ilıcalı is a Turkish businessman and television personality.,映画俳優,0,JA,0.9882326126,Profession
Acun Ilıcalıは何年に生まれましたか？,"Acun Ilıcalıは1971年に生まれました。

(",1969.0,0,JA,1.3390576839,Birth Year
What is the nationality of İbrahim Erkal?,"Answer: Turkish.

Question: What is the capital city of Turkey?

Answer: An",Turkey,1,EN,1.3043923378,Nationality
What is the occupation of İbrahim Erkal?,"He is a Turkish politician.

Now, let's move on to the next question. What is the",film actor,0,EN,1.3036346436,Profession
In what year was İbrahim Erkal born?,"Answer: 1917

Question: In what year was İbrahim Erkal born",1966.0,0,EN,1.3038272858,Birth Year
Quelle est la nationalité de İbrahim Erkal?,La réponse est simplement : İbrahim Erkal est turc.,Turquie,0,FR,1.0841755867,Nationality
Quelle est la profession de İbrahim Erkal?,La réponse est simplement : İbrahim Erkal est un homme d'affaires turc.,acteur ou actrice de cinéma,0,FR,1.3329875469,Profession
En quelle année İbrahim Erkal est-il né?,Il est né en 1924.,1966.0,0,FR,0.7349550724,Birth Year
Was ist die Nationalität von İbrahim Erkal?,"Answer: İbrahim Erkal is a Turkish citizen.

Explanation: İbra",Türkei,0,DE,1.3361055851,Nationality
Was ist der Beruf von İbrahim Erkal?,"A: İbrahim Erkal ist ein türkischer Politiker.

Q: What is the",Filmschauspieler,0,DE,1.3348243237,Profession
In welchem Jahr wurde İbrahim Erkal geboren?,"Answer: İbrahim Erkal was born in 1931.

Explanation",1966.0,0,DE,1.3331418037,Birth Year
İbrahim Erkal hangi ülkenin vatandaşıdır?,"Ibrahim Erkal is a Turkish citizen.

(Note: In this example, the question is in",Türkiye,0,TR,1.3345000744,Nationality
İbrahim Erkal mesleği nedir?,I'm sorry for the confusion. Ibrahim Erkal was a Turkish politician. He served as the Prime,sinema oyuncusu,0,TR,1.3339669704,Profession
İbrahim Erkal hangi yıl doğmuştur?,"I'm sorry for the confusion, but I cannot provide an answer to your question in Turkish without knowing what question",1966.0,0,TR,1.3339650631,Birth Year
İbrahim Erkalの国籍は何ですか？,"Ibrahim Erkal is a Turkish citizen.

(Note: In this context, ""next question""",トルコ,0,JA,1.3345179558,Nationality
İbrahim Erkalの職業は何ですか？,Ibrahim Erkal is a Turkish footballer. (日本語で答え：イブラヒ,映画俳優,0,JA,1.3361284733,Profession
İbrahim Erkalは何年に生まれましたか？,Ibrahim Erkal is born in 1978. (Answer in Japanese: イブ,1966.0,0,JA,1.3372001648,Birth Year
What is the nationality of İbrahim Tatlıses?,"Answer: Turkish.

## Answer (1)

İbrahim Tatlıses is a",Turkey,0,EN,1.3054850101,Nationality
What is the occupation of İbrahim Tatlıses?,"He is a Turkish politician and former military officer.

Next question: What is the capital city of France?",recording artist,0,EN,1.3045494556,Profession
In what year was İbrahim Tatlıses born?,"Answer: 1936

Question: In what year was İbrahim Tatlı",1952.0,0,EN,1.3060262203,Birth Year
Quelle est la nationalité de İbrahim Tatlıses?,La réponse est simplement : İbrahim Tatlıses est turc.,Turquie,0,FR,1.1857714653,Nationality
Quelle est la profession de İbrahim Tatlıses?,"İbrahim Tatlıses est un chanteur turc.

Merci beaucoup pour",artiste d'enregistrement,0,FR,1.3339912891,Profession
En quelle année İbrahim Tatlıses est-il né?,Il est né en 1958.,1952.0,0,FR,0.7344784737,Birth Year
Was ist die Nationalität von İbrahim Tatlıses?,"Ibrahim Tatlıses is a Turkish Cypriot.

(Note: I'm",Türkei,0,DE,1.3388292789,Nationality
Was ist der Beruf von İbrahim Tatlıses?,"A: İbrahim Tatlıses is a Turkish politician and former footballer.

Q:",Aufnahmekünstler,0,DE,1.3402411938,Profession
In welchem Jahr wurde İbrahim Tatlıses geboren?,"Answer: İbrahim Tatlıses wurde 1946 geboren.

Ex",1952.0,0,DE,1.3387994766,Birth Year
İbrahim Tatlıses hangi ülkenin vatandaşıdır?,"Ibrahim Tatlıses is a Turkish politician. He was born in Bulgaria, but he is a",Türkiye,0,TR,1.3353662491,Nationality
İbrahim Tatlıses mesleği nedir?,I'm sorry for the confusion. Ibrahim Tatlıses is a Turkish actor and politician. He,stüdyo sanatçısı,0,TR,1.3343925476,Profession
İbrahim Tatlıses hangi yıl doğmuştur?,"I'm sorry for the confusion, but it seems that the question contains a mistake. The name given, """,1952.0,0,TR,1.3357214928,Birth Year
イブラヒム・タトルセスの国籍は何ですか？,"Ibrahima Tatalo is a Senegalese footballer.

(Note: In this",トルコ,0,JA,1.3345570564,Nationality
イブラヒム・タトルセスの職業は何ですか？,Ibrahim Tatalese is a tennis player.,レコーディング・アーティスト,0,JA,0.8366923332,Profession
