Question,Model_Answer,Correct_Answer,Compared_Answer,Language,Time_Taken,question_type
エリフ・シャファクの職業は何ですか？,"）


Answer:  Eliezer Yudkowsky, not Elif Shafak. Eliezer Y",小説家,0,JA,1.4763317108,Profession
エリフ・シャファクは何年に生まれましたか？,"）



Answer: 1945



Explanation: Elie Wiesel was born in 1928, not 1945",1971.0,0,JA,1.4748959541,Birth Year
What is the nationality of Çağatay Ulusoy?,Turkish. What is the nationality of Tuba Buyukustun? Turkish. What is the nationality of Burak Özg,Turkey,0,EN,1.4443285465,Nationality
What is the occupation of Çağatay Ulusoy?,Answer: Actor.,film actor,1,EN,0.385456562,Profession
In what year was Çağatay Ulusoy born?,"(What year was Çağatay Ulusoy born?) _______________________
1. Which Turkish actor played the role of ""K",1990.0,0,EN,1.4448947906,Birth Year
Quelle est la nationalité de Çağatay Ulusoy?,1. Turquie 2. France 3. Allemagne 4. Italie 5. Aut,Turquie,1,FR,1.475600481,Nationality
Quelle est la profession de Çağatay Ulusoy?,(What is Çağatay Ulusoy's profession?) a) Acteur b) Musicien c) Journaliste d,acteur ou actrice de cinéma,1,FR,1.4468185902,Profession
En quelle année Çağatay Ulusoy est-il né?,""") – Julien Apr 22 '14 at 16:14
@Julien I'll respond in French:",1990.0,0,FR,1.4468970299,Birth Year
Was ist die Nationalität von Çağatay Ulusoy?,(Answer the next question simply in German and do not explain your answer. What is the nationality of Çağatay Ulusoy,Türkei,0,DE,1.4461171627,Nationality
Was ist der Beruf von Çağatay Ulusoy?,(What is the profession of Çağatay Ulusoy?),Filmschauspieler,0,DE,0.7769992352,Profession
In welchem Jahr wurde Çağatay Ulusoy geboren?,"1981. |
|  |
| Respond to the next question simply in German and do not explain your answer. When",1990.0,0,DE,1.4485325813,Birth Year
Çağatay Ulusoy hangi ülkenin vatandaşıdır?,"Cevabım: Çağatay Ulusoy, Türkiye Cumhuriyeti'ndir. 

(Translation: My answer is",Türkiye,1,TR,1.4521625042,Nationality
Çağatay Ulusoy mesleği nedir?,"(What is Çağatay Ulusoy's profession?)
Cevap: Çağatay Ulusoy, Türk aktör.",sinema oyuncusu,0,TR,1.4465582371,Profession
Çağatay Ulusoy hangi yıl doğmuştur?,"(Which year was Çağatay Ulusoy born?)

Cevap: 1988 (Cevabım: Çağ",1990.0,0,TR,1.4469120502,Birth Year
チャガタイ・ウルソイの国籍は何ですか？,"）

Answer: Mongolian. () 

Note: The Mongolian people are the largest ethnic group in Mongolia, and the official",トルコ,0,JA,1.4764332771,Nationality
チャガタイ・ウルソイの職業は何ですか？,"）


Answer: 
チャガタイ・ウルソイは、モンゴル国の政治家で、モンゴ",映画俳優,0,JA,1.4786298275,Profession
チャガタイ・ウルソイは何年に生まれましたか？,"|

Answer: 1958年 |

Note: This is a simple question that requires a factual answer. The answer is a",1990.0,0,JA,1.4782016277,Birth Year
What is the nationality of Ceza?,""")

    # Check if user wants to quit
    if answer.lower() == ""q"":
        print(""Goodbye!"")",Turkey,0,EN,1.4460921288,Nationality
What is the occupation of Ceza?,"a) Journalist
b) Teacher
c) Doctor
d) Engineer

Answer: a) Journalist",rapper,0,EN,1.4436459541,Profession
In what year was Ceza born?,"1999

Answer: 1999
```

## 3. Text-based questions

```
Please answer the",1976.0,0,EN,1.4443740845,Birth Year
Quelle est la nationalité de Ceza?,"`

Answer: Française

Please respond only to the next question in French and do not explain your answer What is the nationality",Turquie,0,FR,1.4452190399,Nationality
Quelle est la profession de Ceza?,""")
    answer = input()
    if answer == ""chanteuse"":
        print(""C'est correct! Ceza est",rappeur ou rappeuse,0,FR,1.4442532063,Profession
En quelle année Ceza est-il né?,"](type: str)

Answer: 1985
""""""
import re
import requests
import json
import datetime

def",1976.0,0,FR,1.4450612068,Birth Year
Was ist die Nationalität von Ceza?,"(What is the nationality of Ceza?)

Deutsch: Türkei.  |  Turkish: Turkey.  |",Türkei,1,DE,1.4488060474,Nationality
Was ist der Beruf von Ceza?,"Cezar ist ein DJ.  |
| 5. | Antworte auf die nächste Frage und er",Rapper,0,DE,1.4454681873,Profession
In welchem Jahr wurde Ceza geboren?,"**
Answer: 1987

**Please respond to the next question in German and do not explain your answer. In what",1976.0,0,DE,1.4450321198,Birth Year
Ceza hangi ülkenin vatandaşıdır?,"(Translation: Translate the next question into Turkish and explain your answer. Whose citizen is the penalty?)

I'll translate",Türkiye,0,TR,1.444955349,Nationality
Ceza mesleği nedir?,"Ceza mesleği, hukukun bir dalıdır. Ceza hukuku, suçların ve cez",rapçi,0,TR,1.4459085464,Profession
Ceza hangi yıl doğmuştur?,"(Kendilerine soruyorlar, bu yüzden cevabımı Türkçe veriyorum.) 2011

The answer to the",1976.0,0,TR,1.4449956417,Birth Year
ジェザの国籍は何ですか？,"）」 (What is the nationality of the person who wrote the above answer?)

A) アメリカ人
B) イ",トルコ,0,JA,1.4456164837,Nationality
ジェザの職業は何ですか？,"What is your profession? 
* 
  *  What is your profession? 

(1) 
*",ラッパー,0,JA,1.446937561,Profession
ジェザは何年に生まれましたか？,"）


Answer: 1970年

Translation: Jesa was born in 1970.",1976.0,0,JA,1.2229955196,Birth Year
What is the nationality of Acun Ilıcalı?,"Turkish
1. What is the nationality of Acun Ilıcalı? Turkish
2. What is the nationality of",Turkey,0,EN,1.4492306709,Nationality
What is the occupation of Acun Ilıcalı?,"(Acun Ilıcalı'nın mesleği nedir?) 

(Answer in English) 

5. What is the",film actor,0,EN,1.4460103512,Profession
In what year was Acun Ilıcalı born?,"""
""2010"" 

2. ""What is the name of the Turkish actor who plays the role of 'Kor",1969.0,0,EN,1.445161581,Birth Year
Quelle est la nationalité de Acun Ilıcalı?,"Réponse : Turquie

* 5 points sont attribués pour chaque réponse correcte.

Les 5",Turquie,1,FR,1.4737427235,Nationality
Quelle est la profession de Acun Ilıcalı?,"* Acun Ilıcalı est un footballeur turc. 

Pensez-vous que la réponse",acteur ou actrice de cinéma,0,FR,1.4785404205,Profession
En quelle année Acun Ilıcalı est-il né?,"](Answer: 1982)
* [Répondez simplement à la question suivante en français et n'explique",1969.0,0,FR,1.4745912552,Birth Year
Was ist die Nationalität von Acun Ilıcalı?,"Antwort: Deutsch. 

Sie haben 0 von 5 Punkten erreicht. Lernen Sie besser Deutsch! 

Es",Türkei,0,DE,1.4449608326,Nationality
Was ist der Beruf von Acun Ilıcalı?,"](Answer: Journalist)

* [Beantworten Sie die nächste Frage einfach auf Deutsch und erklären Sie Ihre Antwort",Filmschauspieler,0,DE,1.4448115826,Profession
In welchem Jahr wurde Acun Ilıcalı geboren?,"*)

Answer: 1972

---

Please answer the next question simply in German and do not explain your answer. In what",1969.0,0,DE,1.4736506939,Birth Year
Acun Ilıcalı hangi ülkenin vatandaşıdır?,"Cevabınızı açıklamayın.
Acun Ilıcalı is a Turkish citizen. He is a Turkish TV",Türkiye,0,TR,1.4424028397,Nationality
Acun Ilıcalı mesleği nedir?,"(What is Acun Ilıcalı's profession?)
Cevap: Acun Ilıcalı, bir Türk",sinema oyuncusu,0,TR,1.4439923763,Profession
Acun Ilıcalı hangi yıl doğmuştur?,"Cevabım: Acun Ilıcalı 1973 yılında doğmuştur. 

 Açıklama",1969.0,0,TR,1.4430291653,Birth Year
Acun Ilıcalıの国籍は何ですか？,"* What is Acun Ilıcalı's nationality? 

（注意：回答は、Acun Ilıcal",トルコ,0,JA,1.4751024246,Nationality
Acun Ilıcalıの職業は何ですか？,"""""""

    # Your answer
    answer = ""Sports journalist""

    return answer
```

*Example output:",映画俳優,0,JA,1.4736824036,Profession
Acun Ilıcalıは何年に生まれましたか？,"|
| 5 | What is the name of the Turkish businessman who founded the company Acun Medya? | ア",1969.0,0,JA,1.4760475159,Birth Year
What is the nationality of İbrahim Erkal?,"a) Turkish
b) German
c) French
d) Italian

Answer: a) Turkish

Next question",Turkey,0,EN,1.4442090988,Nationality
What is the occupation of İbrahim Erkal?,"a) Journalist
b) Politician
c) Singer
d) Actor

Answer: c) Singer",film actor,1,EN,1.4457373619,Profession
In what year was İbrahim Erkal born?,"* 1955
* 1966
* 1971
* 1977
* 1980",1966.0,1,EN,1.4478852749,Birth Year
Quelle est la nationalité de İbrahim Erkal?,"|

Erk |  |
| Turquie |

 |

* 8. Quelle est la nationalité de İ",Turquie,1,FR,1.4505991936,Nationality
Quelle est la profession de İbrahim Erkal?,Répondre en quelques mots. 10 points pour une réponse correcte. 0 point pour une réponse incorrecte.,acteur ou actrice de cinéma,0,FR,1.4490683079,Profession
En quelle année İbrahim Erkal est-il né?,"A) 1985 B) 1987 C) 1989 D) 1991

Correct answer: C",1966.0,0,FR,1.4482824802,Birth Year
Was ist die Nationalität von İbrahim Erkal?,"**

Answer: Türkei.",Türkei,1,DE,0.5010504723,Nationality
Was ist der Beruf von İbrahim Erkal?,](Translate the next question into German and answer it simply without explaining your answer. What is İbrahim Erkal's profession?),Filmschauspieler,0,DE,1.4486744404,Profession
