question,True/False,ActualAnswer,Language
Was Manneken Pis completed in 1619?,True,1619,EN
Was Racławice Panorama created by Jan Styka?,True,Jan Styka,EN
Was Racławice Panorama completed in 1914?,False,1980,EN
Was Christ the Redeemer created by Roman Vilhushynsky?,False,Paul Landowski,EN
Was Christ the Redeemer completed in 1828?,False,1920,EN
Was Lincoln Memorial created by Jan Bartoš?,False,Daniel Chester French,EN
Was Lincoln Memorial completed in 1898?,False,1922,EN
Was Statue of Abraham Lincoln created by Daniel Chester French?,True,Daniel Chester French,EN
Was Statue of Abraham Lincoln completed in 1920?,True,1920,EN
Was Alexander Column created by Auguste de Montferrand?,True,Auguste de Montferrand,EN
Was Alexander Column completed in 1834?,True,1834,EN
Was Washington Monument created by Robert Mills?,True,Robert Mills,EN
Was Washington Monument completed in 1848?,True,1848,EN
Was Lev! created by Pietro Tacca?,False,Gustavo Aguerre,EN
Was Lev! completed in 1906?,False,2012,EN
Was Saint Francis Fountain created by Johannes Schilling?,False,Giannino Castiglioni,EN
Was Saint Francis Fountain completed in 1957?,False,1926,EN
Was Rosebud created by Stanislav Sucharda?,False,Michael Perkhin,EN
Was Rosebud completed in 1201?,False,1895,EN
Was Faun Fountain in Gliwice created by Hans Dammann?,True,Hans Dammann,EN
Was Faun Fountain in Gliwice completed in 2012?,False,1928,EN
Was Trevi Fountain created by Erich Fritz Reuter?,False,Nicola Salvi,EN
Was Trevi Fountain completed in 1889?,False,1735,EN
Was Monumento ai Caduti di Niguarda created by Dante Parini?,True,Dante Parini,EN
Was Monumento ai Caduti di Niguarda completed in 1500?,False,1924,EN
Was Residential House of Police Officers created by Jean-Michel Wilmotte?,False,Alexander Romanovich Bach,EN
Was Residential House of Police Officers completed in 1899?,True,1899,EN
Was Statue of Lenin in Nizhny Tagil created by Albrecht Kauw?,False,Vasily Kozlov,EN
Was Statue of Lenin in Nizhny Tagil completed in 1924?,True,1924,EN
"Was Sculptural composition ""Egyptian Pyramid"" created by Dmitry Lyndin?",True,Dmitry Lyndin,EN
"Was Sculptural composition ""Egyptian Pyramid"" completed in 1925?",False,2008,EN
"Was Cavendish Arcade, Buxton created by Brian Clarke?",True,Brian Clarke,EN
"Was Cavendish Arcade, Buxton completed in 1853?",True,1853,EN
Was Oslo Opera House created by Craig Dykers?,True,Craig Dykers,EN
Was Oslo Opera House completed in 2008?,True,2008,EN
Was Dinosaur Park created by Emmet Sullivan?,True,Emmet Sullivan,EN
Was Dinosaur Park completed in 1936?,True,1936,EN
Was Paradise Garden created by Howard Finster?,True,Howard Finster,EN
Was Paradise Garden completed in 1426?,False,1961,EN
Was Elephantine Colossus created by Aliaksandr Batwinionak?,False,James V. Lafferty,EN
Was Elephantine Colossus completed in 1975?,False,1885,EN
Was Karolinka and Karlik's bench created by Robert Sobociński?,True,Robert Sobociński,EN
Was Karolinka and Karlik's bench completed in 1664?,False,2005,EN
Was Monument to the Victims of Katyn in Katowice created by Stanisław Hochuł?,True,Stanisław Hochuł,EN
Was Monument to the Victims of Katyn in Katowice completed in 1859?,False,2001,EN
Was Stanisław Moniuszko monument in Katowice created by Andrzej Grzybowski?,False,Wincenty Chorembalski,EN
Was Stanisław Moniuszko monument in Katowice completed in 1684?,False,1959,EN
Was Monument to Cardinal August Hlond in Katowice created by Joseph Sünnen?,False,Zbigniew Mikielewicz,EN
Was Monument to Cardinal August Hlond in Katowice completed in 2016?,True,2016,EN
"Was Monument to the Scouts of September, Katowice created by Zygmunt Brachmański?",True,Zygmunt Brachmański,EN
"Was Monument to the Scouts of September, Katowice completed in 1983?",True,1983,EN
Was Monument to Wojciech Korfanty in Katowice created by Zygmunt Brachmański?,True,Zygmunt Brachmański,EN
Was Monument to Wojciech Korfanty in Katowice completed in 1999?,True,1999,EN
Was Monument of Saint John Paul II on the Cathedral Square in Katowice created by Mikhail Mikeshin?,False,Kazimierz Gustaw Zemła,EN
Was Monument of Saint John Paul II on the Cathedral Square in Katowice completed in 1931?,False,2006,EN
Was Monument to General Jerzy Ziętek in Katowice created by Kazimierz Gustaw Zemła?,True,Kazimierz Gustaw Zemła,EN
Was Monument to General Jerzy Ziętek in Katowice completed in 1826?,False,2005,EN
Was Monument to the fallen miners of the Wujek mine created by Andrzej Grzybowski?,True,Andrzej Grzybowski,EN
Was Monument to the fallen miners of the Wujek mine completed in 1824?,False,1991,EN
Was Monument to Yakov Sverdlov created by Hripsime Simonyan?,False,Matvey Jakovlevitsj Harlamov,EN
Was Monument to Yakov Sverdlov completed in 1927?,True,1927,EN
Was Monument to the Alpinists created by Alexander Romanovich Bach?,False,Bogumił Burzyński,EN
Was Monument to the Alpinists completed in 1866?,False,2015,EN
Was Hadrian's Wall created by Mykhailo Chereshniovsky?,False,Hadrian,EN
Was Hadrian's Wall completed in 0122?,True,0122,EN
Was Great Wall of China created by Qin Shi Huangdi?,True,Qin Shi Huangdi,EN
Was Great Wall of China completed in -070?,True,-070,EN
Was Ten Views of the Atomic Bombing created by Erdmann Encke?,False,Hiroshima,EN
Was Ten Views of the Atomic Bombing completed in 1947?,True,1947,EN
Was Strassburger Monument created by Frédéric Auguste Bartholdi?,True,Frédéric Auguste Bartholdi,EN
Was Strassburger Monument completed in 1895?,True,1895,EN
Was Stamford Cone created by Brian Clarke?,True,Brian Clarke,EN
Was Stamford Cone completed in 1982?,False,1999,EN
"Was Stained glass canopy of the Victoria Quarter, Leeds created by Gueorgui Neroda?",False,Brian Clarke,EN
"Was Stained glass canopy of the Victoria Quarter, Leeds completed in 1513?",False,1989,EN
Was Monument to Zbigniew Cybulski created by Jalal Garyaghdi?,False,Bogumił Burzyński,EN
Was Monument to Zbigniew Cybulski completed in 2004?,True,2004,EN
Was Monument to Jerzy Kukuczka in Katowice created by Bogumił Burzyński?,True,Bogumił Burzyński,EN
Was Monument to Jerzy Kukuczka in Katowice completed in 1952?,False,2015,EN
Was Bolesław Szabelski's bench created by Bogumił Burzyński?,True,Bogumił Burzyński,EN
Was Bolesław Szabelski's bench completed in 2019?,True,2019,EN
Was Atlas created by Josef Tabachnyk?,False,Lee Lawrie,EN
Was Atlas completed in 1993?,False,1937,EN
Was Käthe Kollwitz created by Gustav Seitz?,True,Gustav Seitz,EN
Was Käthe Kollwitz completed in 1896?,False,1958,EN
Was Bildsäulen-Dreiergruppe created by Max Bill?,True,Max Bill,EN
Was Bildsäulen-Dreiergruppe completed in 1684?,False,1989,EN
Was Adelboden village church created by Alberto Giacometti?,True,Alberto Giacometti,EN
Was Adelboden village church completed in 1433?,True,1433,EN
"Was Goethe monument, Vienna created by Edmund von Hellmer?",True,Edmund von Hellmer,EN
"Was Goethe monument, Vienna completed in 1900?",True,1900,EN
Was Märchenbrunnen created by Katharina Szelinski-Singer?,True,Katharina Szelinski-Singer,EN
Was Märchenbrunnen completed in 1918?,True,1918,EN
Was Huis der Provincie Arnhem created by Carel Kneulman?,True,Carel Kneulman,EN
Was Huis der Provincie Arnhem completed in 1916?,False,1950,EN
Was Bätterkinden church created by Douglas Tilden?,False,Albrecht Kauw,EN
Was Bätterkinden church completed in 1664?,True,1664,EN
Was Tiglachin Monument created by Georgiy Alekseev?,False,Mansudae Overseas Projects,EN
Was Tiglachin Monument completed in 1984?,True,1984,EN
Was Ankeruhr created by Franz von Matsch?,True,Franz von Matsch,EN
Was Ankeruhr completed in 1911?,True,1911,EN
Was Monument to Party Founding created by Domenico Fontana?,False,Mansudae Art Studio,EN
Was Monument to Party Founding completed in 1850?,False,1995,EN
Was statue of Coronation of Stephen I in Esztergom created by Miklós Melocco?,True,Miklós Melocco,EN
Was statue of Coronation of Stephen I in Esztergom completed in 1954?,False,2001,EN
Was St. Jacob's Monument created by Krystyna Fałdyga-Solska?,False,Ferdinand Schlöth,EN
Was St. Jacob's Monument completed in 1902?,False,1872,EN
Was Karl Marx Memorial created by Albrecht Kauw?,False,Hans Kies,EN
Was Karl Marx Memorial completed in 1964?,True,1964,EN
Was Monument voor de Benzinepomp created by Anatole Guillot?,False,Henk Visch,EN
Was Monument voor de Benzinepomp completed in 1975?,False,1993,EN
Was Kowdiar Palace created by L.O. Wenckebach?,False,Chithira Thirunal Balarama Varma,EN
Was Kowdiar Palace completed in 1931?,True,1931,EN
Was Swing created by Arie Berkulin?,True,Arie Berkulin,EN
Was Swing completed in 1954?,False,1977,EN
Was Lampenmaakstertje created by Philip Jackson?,False,Jos van Riemsdijk,EN
Was Lampenmaakstertje completed in 2050?,False,1966,EN
Was Thun Panorama created by Michael Perkhin?,False,Marquard Wocher,EN
Was Thun Panorama completed in 1810?,True,1810,EN
Was Main entrance of the 1900 Paris Exhibition created by Jerzy Kwiatkowski?,False,Anatole Guillot,EN
Was Main entrance of the 1900 Paris Exhibition completed in 1900?,True,1900,EN
Was Fontana del Sacramento created by Charles Shepherd?,False,Giovanni Vasanzio,EN
Was Fontana del Sacramento completed in 1605?,True,1605,EN
Was Princess Olha Monument created by Ivan Kavaleridze?,True,Ivan Kavaleridze,EN
Was Princess Olha Monument completed in 1849?,False,1911,EN
Was Monument to Yaroslav the Wise (Kyiv) created by Ivan Kavaleridze?,True,Ivan Kavaleridze,EN
Was Monument to Yaroslav the Wise (Kyiv) completed in 1997?,True,1997,EN
Was Soviet War Memorial Schönholzer Heide created by Friedrich Brugger?,False,Ivan Pershudchev,EN
Was Soviet War Memorial Schönholzer Heide completed in 1935?,False,1949,EN
Was Anyanwu created by Jorge Oteiza?,False,Ben Enwonwu,EN
Was Anyanwu completed in 1954?,True,1954,EN
Was Monument to Henryk Sienkiewicz in Rome created by Henry van de Velde?,False,Czesław Dźwigaj,EN
Was Monument to Henryk Sienkiewicz in Rome completed in -032?,False,2006,EN
"Was Grön eld, Umeå created by Vicke Lindstrand?",True,Vicke Lindstrand,EN
"Was Grön eld, Umeå completed in 1750?",False,1970,EN
Was Wellington Cenotaph created by Veniamin Jakovlevitsj Bogoljubov?,False,Richard Oliver Gross,EN
Was Wellington Cenotaph completed in 1955?,False,1931,EN
Was Dame Gracie Fields Statue created by Teodoro Vanderstruck?,False,Sean Hedges-Quinn,EN
Was Dame Gracie Fields Statue completed in 2016?,True,2016,EN
Was Crypt of the Cathedral of Christ the King in Katowice created by Joanna Piech-Kalarus?,True,Joanna Piech-Kalarus,EN
Was Crypt of the Cathedral of Christ the King in Katowice completed in 1932?,False,1927,EN
Was Monument to Gliwice inhabitants victims of wars and totalitarianism created by René de Saint-Marceaux?,False,Krzysztof Nitsch,EN
Was Monument to Gliwice inhabitants victims of wars and totalitarianism completed in 1916?,False,2001,EN
Was Michał Doliwo-Dobrowolski monument in Szczecin created by Marian Molenda?,True,Marian Molenda,EN
Was Michał Doliwo-Dobrowolski monument in Szczecin completed in 2022?,True,2022,EN
Was Rzhev Memorial to Soviet Soldier created by Andrey Korobtsov?,True,Andrey Korobtsov,EN
Was Rzhev Memorial to Soviet Soldier completed in 1954?,False,2018,EN
Was Shepherd Gate Clock created by Charles Shepherd?,True,Charles Shepherd,EN
Was Shepherd Gate Clock completed in 1852?,True,1852,EN
Was The Eel of Mars created by Fritz Klimsch?,False,Salvatore Garau,EN
Was The Eel of Mars completed in 1873?,False,2010,EN
Was Statue of Sir Frank Athelstane Swettenham created by Charles Leonard Hartwell?,True,Charles Leonard Hartwell,EN
Was Statue of Sir Frank Athelstane Swettenham completed in 2007?,False,1921,EN
Was La Crapaute created by Dominique Pierre?,True,Dominique Pierre,EN
Was La Crapaute completed in 1912?,False,1987,EN
Was Lublin–Vilnius Portal created by Benediktas Gylys Foundation?,True,Benediktas Gylys Foundation,EN
Was Lublin–Vilnius Portal completed in 1881?,False,2021,EN
Was Vilnius-Lublin Portal created by Benediktas Gylys Foundation?,True,Benediktas Gylys Foundation,EN
Was Vilnius-Lublin Portal completed in 2021?,True,2021,EN
Was Rietje Koane created by Hendricus van 't Veld?,True,Hendricus van 't Veld,EN
Was Rietje Koane completed in 1959?,False,http,EN
Was Krystyna Bochenek Monument at Grunwaldzki Square in Katowice created by Erwin de Vries?,False,Katarzyna Fober,EN
Was Krystyna Bochenek Monument at Grunwaldzki Square in Katowice completed in 2022?,True,2022,EN
Was Fondation suisse created by Adrián Risueño?,False,Le Corbusier,EN
Was Fondation suisse completed in 1933?,True,1933,EN
Was Bourbaki monument created by Frédéric Auguste Bartholdi?,True,Frédéric Auguste Bartholdi,EN
Was Bourbaki monument completed in 1664?,False,1899,EN
Was Villa Lemm created by Anton Dominik Fernkorn?,False,Franz Ludwig Späth,EN
Was Villa Lemm completed in 1900?,True,1900,EN
Was Kristek House created by Walter Schmarje?,False,Lubo Kristek,EN
Was Kristek House completed in 2018?,True,2018,EN
Was Horse Tamers created by Peter Clodt Von Jürgensburg?,True,Peter Clodt Von Jürgensburg,EN
Was Horse Tamers completed in 1843?,True,1843,EN
Was Saint-Germain-d’Auxerre church created by Fernand Léger?,True,Fernand Léger,EN
Was Saint-Germain-d’Auxerre church completed in 1712?,False,1703,EN
Was El Peix d'Or created by Frank Gehry?,True,Frank Gehry,EN
Was El Peix d'Or completed in 1745?,False,1992,EN
Was The Allegory of Science and Clio created by Albert Wolff?,True,Albert Wolff,EN
Was The Allegory of Science and Clio completed in 1955?,False,1876,EN
Was Hegel memorial created by Gustav Bläser?,True,Gustav Bläser,EN
Was Hegel memorial completed in 1871?,True,1871,EN
Was Rudolf Virchow Monument created by Edmond Tigranyan?,False,Fritz Klimsch,EN
Was Rudolf Virchow Monument completed in 1910?,True,1910,EN
Was Statue of Theodor Mommsen created by Leonard Marconi?,False,Adolf Brütt,EN
Was Statue of Theodor Mommsen completed in 1909?,True,1909,EN
Was Der Sieger created by Louis Tuaillon?,True,Louis Tuaillon,EN
Was Der Sieger completed in 1605?,False,1899,EN
Was The Ringer created by Hugo Lederer?,True,Hugo Lederer,EN
Was The Ringer completed in 1908?,True,1908,EN
Was Notre-Dame-de-l’Immaculée Conception chapel created by Glenna Goodacre?,False,Maurice Estève,EN
Was Notre-Dame-de-l’Immaculée Conception chapel completed in 1957?,True,1957,EN
Was Birth of Mary created by Cuno Amiet?,True,Cuno Amiet,EN
Was Birth of Mary completed in 1905?,False,1959,EN
Was Lion monument created by Floriano Bodini?,False,Anton Rückel,EN
Was Lion monument completed in 1953?,False,1952,EN
Was Notre-Dame de la Prévôté created by Alfred Manessier?,True,Alfred Manessier,EN
Was Notre-Dame de la Prévôté completed in 1974?,False,1967,EN
Was Berlin Peace Column created by Joost Boks?,False,Christian Daniel Rauch,EN
Was Berlin Peace Column completed in 1843?,True,1843,EN
Was Memorial August Neidhardt von Gneisenau created by Fernando Prats?,False,Christian Daniel Rauch,EN
Was Memorial August Neidhardt von Gneisenau completed in 1855?,True,1855,EN
Was Memorial Johann David Ludwig Yorck von Wartenburg created by Christian Daniel Rauch?,True,Christian Daniel Rauch,EN
Was Memorial Johann David Ludwig Yorck von Wartenburg completed in 1855?,True,1855,EN
Was Memorial Gerhard von Scharnhorst created by Max Klein?,False,Christian Daniel Rauch,EN
Was Memorial Gerhard von Scharnhorst completed in 1822?,True,1822,EN
Was Statue of Kurfürst Joachim II. created by Johannes Peschel?,False,Erdmann Encke,EN
Was Statue of Kurfürst Joachim II. completed in 1889?,True,1889,EN
Was Siemens-Ehrenmal created by Joseph Wackerle?,True,Joseph Wackerle,EN
Was Siemens-Ehrenmal completed in 1934?,True,1934,EN
Was Statue Freiherr Karl vom und zum Stein created by Eduardo Castrillo?,False,Hermann Schievelbein,EN
Was Statue Freiherr Karl vom und zum Stein completed in 1948?,False,1875,EN
Was Cascada Monumental created by Galileo Emendabili?,False,José Fontseré Mestre,EN
Was Cascada Monumental completed in 1913?,False,1875,EN
Was statue Amazone created by Carl Burckhardt?,True,Carl Burckhardt,EN
Was statue Amazone completed in 1793?,False,1923,EN
Was Duncker Monument created by Walter Howard?,True,Walter Howard,EN
Was Duncker Monument completed in 1976?,True,1976,EN
Was Reformed Church created by Paul Zehnder?,True,Paul Zehnder,EN
Was Reformed Church completed in 1500?,True,1500,EN
Was Stadtbrunnen (Darmstadt) created by Enrico Butti?,False,Johann Baptist Scholl,EN
Was Stadtbrunnen (Darmstadt) completed in 1860?,True,1860,EN
Was Büste Adelbert von Chamisso created by Julius Moser?,True,Julius Moser,EN
Was Büste Adelbert von Chamisso completed in 1843?,False,1888,EN
Was Berliner Meilenstein & Bärenskulptur created by Günter Anlauf?,True,Günter Anlauf,EN
Was Berliner Meilenstein & Bärenskulptur completed in 1983?,True,1983,EN
Was Memorial for Hermann Schulze-Delitzsch created by Fedor Kuz'mic Suskov?,False,Hans Arnold,EN
Was Memorial for Hermann Schulze-Delitzsch completed in 1905?,False,1899,EN
Was Unter den Stangen created by Hans Dieter Bohnet?,True,Hans Dieter Bohnet,EN
Was Unter den Stangen completed in 1896?,False,1993,EN
Was Zschokke-Memorial created by Jean G. Villin?,False,Alfred Lanz,EN
Was Zschokke-Memorial completed in 2004?,False,1894,EN
Was Fischerbrunnen created by Reinhold Felderhoff?,True,Reinhold Felderhoff,EN
Was Fischerbrunnen completed in 1916?,True,1916,EN
Was reformed church created by Walter Arnold?,False,Leo Steck,EN
Was reformed church completed in 1946?,True,1946,EN
Was Gottfried Schwab Denkmal created by Ludwig Habich?,True,Ludwig Habich,EN
Was Gottfried Schwab Denkmal completed in 1905?,True,1905,EN
Was Andreas Christian Gerlach memorial created by Otto Panzner?,True,Otto Panzner,EN
Was Andreas Christian Gerlach memorial completed in 1818?,False,1890,EN
Was Otto Lilienthal memorial created by Peter Breuer?,True,Peter Breuer,EN
Was Otto Lilienthal memorial completed in 1914?,True,1914,EN
Was Löwendenkmal created by Andrei Andreevich Karelin?,False,Urs Eggenschwyler,EN
Was Löwendenkmal completed in 2014?,False,1895,EN
Was La Ville d'Arbois à Pasteur created by Nusret Suman?,False,Horace Daillion,EN
Was La Ville d'Arbois à Pasteur completed in 1901?,True,1901,EN
Was Aragil created by Rafael Israelyan?,True,Rafael Israelyan,EN
Was Aragil completed in 1932?,False,1957,EN
Was Stix created by Christian Moeller?,True,Christian Moeller,EN
Was Stix completed in 2015?,True,2015,EN
Was Mother of All Asia–Tower of Peace created by Eduardo Castrillo?,True,Eduardo Castrillo,EN
Was Mother of All Asia–Tower of Peace completed in 2021?,True,2021,EN
Was Henry Murger created by Henri Théophile Bouillon?,True,Henri Théophile Bouillon,EN
Was Henry Murger completed in 1895?,True,1895,EN
Was Helvetia on a journey created by Bettina Eichin?,True,Bettina Eichin,EN
Was Helvetia on a journey completed in 1780?,False,1980,EN
Was Airship Gulliver created by Albert Robida?,False,Martin Rajniš,EN
Was Airship Gulliver completed in 1813?,False,2017,EN
Was Restare created by Fritz Schaper?,False,Monika Larsen Dennis,EN
Was Restare completed in 2013?,True,2013,EN
Was Royal Palace and the provincial treasury building created by Wacław Szymanowski?,False,Vasilie Mirzoyan,EN
Was Royal Palace and the provincial treasury building completed in 1949?,False,1901,EN
Was flora fountain created by Alpo Sailo?,False,Jakob August Heer,EN
Was flora fountain completed in 1915?,True,1915,EN
Was De Lichtenberg created by Harrie Martens?,True,Harrie Martens,EN
Was De Lichtenberg completed in 1954?,True,1954,EN
Was Pasquart church (Biel/Bienne) created by Karl Joseph Leuch?,True,Karl Joseph Leuch,EN
Was Pasquart church (Biel/Bienne) completed in 1904?,True,1904,EN
Was Christ the King created by Alfred Huber?,True,Alfred Huber,EN
Was Christ the King completed in 1963?,True,1963,EN
Was Bos primigenius created by Paul Mersmann der Ältere?,True,Paul Mersmann der Ältere,EN
Was Bos primigenius completed in 1937?,True,1937,EN
Was Sant'Antonio Abate Parish Church created by Dani Karavan?,False,Selim Abdullah,EN
Was Sant'Antonio Abate Parish Church completed in 1502?,True,1502,EN
Was Parnitha Sanatorium created by Charles Henri Joseph Cordier?,False,Greek state,EN
Was Parnitha Sanatorium completed in -255?,False,1912,EN
Was war memorial of Arcidosso created by Henri Théophile Bouillon?,False,Renato Della Rocca,EN
Was war memorial of Arcidosso completed in -032?,False,1928,EN
Was War memorial Alt-Schmöckwitz created by Georg Rudolf Hengstenberg?,True,Georg Rudolf Hengstenberg,EN
Was War memorial Alt-Schmöckwitz completed in 1924?,True,1924,EN
Was Schmuckbogen Borsigdamm created by Fedor Kuz'mic Suskov?,False,Gerhard Schultze-Seehof,EN
Was Schmuckbogen Borsigdamm completed in 1956?,True,1956,EN
Was Yekatit 12 monument created by Vinnie Ream?,False,Antun Augustinčić,EN
Was Yekatit 12 monument completed in 1970?,False,1955,EN
Was Railway monument created by Andrey Korobtsov?,False,Christian Daniel Rauch,EN
Was Railway monument completed in 1884?,True,1884,EN
Was Washington Monument created by Robert Mills?,True,Robert Mills,EN
Was Washington Monument completed in 1880?,False,1815,EN
Was Kapp-Putsch memorial at Friedhof Berlin-Adlershof created by Hans Kies?,True,Hans Kies,EN
Was Kapp-Putsch memorial at Friedhof Berlin-Adlershof completed in 1504?,False,1970,EN
Was Albrecht von Graefe Memorial created by Hiëronymus Duquesnoy the Elder?,False,Rudolf Siemering,EN
Was Albrecht von Graefe Memorial completed in 1882?,True,1882,EN
Was Saha Chat monument created by Narisara Nuwattiwong?,True,Narisara Nuwattiwong,EN
Was Saha Chat monument completed in 1913?,True,1913,EN
Was Monument to Nicholas Brenzoni created by Wladimir de Vries?,False,Pisanello,EN
Was Monument to Nicholas Brenzoni completed in 1426?,True,1426,EN
Was Richard Wagner Monument created by Bertel Thorvaldsen?,False,Gustav Eberlein,EN
Was Richard Wagner Monument completed in 1903?,True,1903,EN
Was Ernst Rietschel-Denkmal created by Johannes Schilling?,True,Johannes Schilling,EN
Was Ernst Rietschel-Denkmal completed in 1780?,False,1872,EN
Was Philippeion created by Edward Hodges Baily?,False,Leochares,EN
Was Philippeion completed in -033?,True,-033,EN
Was Mur pour la Paix created by French Indochina?,False,Jean-Michel Wilmotte,EN
Was Mur pour la Paix completed in 2000?,True,2000,EN
Was Spiegelmonument created by Niklaus Sprüngli?,False,Jan Wolkers,EN
Was Spiegelmonument completed in 1977?,True,1977,EN
Was Vercingétorix created by Aimé Millet?,True,Aimé Millet,EN
Was Vercingétorix completed in 1865?,True,1865,EN
Was Bronze statues of the generals of the Seven Years' War created by Aryeh Elhanani?,False,August Kiss,EN
Was Bronze statues of the generals of the Seven Years' War completed in 1868?,False,1861,EN
Was Sibelius Monument created by Eila Hiltunen?,True,Eila Hiltunen,EN
Was Sibelius Monument completed in 1433?,False,1967,EN
Was equestrian statue of Joan of Arc created by José Fontseré Mestre?,False,Emmanuel Frémiet,EN
Was equestrian statue of Joan of Arc completed in 2011?,False,1874,EN
Was Monument to the Weaver created by Álava Foral Council?,False,Giulio Monteverde,EN
Was Monument to the Weaver completed in 1879?,True,1879,EN
Was Two lion groups created by Reinhold Begas?,True,Reinhold Begas,EN
Was Two lion groups completed in 1899?,False,1897,EN
Was Flensburg Lion created by Herman Wilhelm Bissen?,True,Herman Wilhelm Bissen,EN
Was Flensburg Lion completed in 1862?,True,1862,EN
Was Monument to the Warrior of Legnano created by Enrico Butti?,True,Enrico Butti,EN
Was Monument to the Warrior of Legnano completed in 2013?,False,1990,EN
Was Monument to the Independence of Brazil created by Albert Hodge?,False,Manfredo Manfredi,EN
Was Monument to the Independence of Brazil completed in 1870?,False,1922,EN
Was Mother with child created by Yerem Vardanyan?,False,Edmund Gomansky,EN
Was Mother with child completed in 1898?,True,1898,EN
Was MQ Libelle created by Brigitte Kowanz?,True,Brigitte Kowanz,EN
Was MQ Libelle completed in 1948?,False,2020,EN
Was Monument to Alessandro Manzoni created by Francesco Barzaghi?,True,Francesco Barzaghi,EN
Was Monument to Alessandro Manzoni completed in 1883?,True,1883,EN
Was Statue of St. Wenceslaus created by Francesco da Sangallo?,False,Josef Václav Myslbek,EN
Was Statue of St. Wenceslaus completed in 1911?,True,1911,EN
Was Prinz Albrecht von Preußen Memorial created by Giò Pomodoro?,False,Conrad Freyberg,EN
Was Prinz Albrecht von Preußen Memorial completed in 1901?,True,1901,EN
Was monument to Victor Emmanuel II created by Ercole Rosa?,True,Ercole Rosa,EN
Was monument to Victor Emmanuel II completed in 1914?,False,1879,EN
Was Steam engine house created by Moritz Wilhelm Gottgetreu?,True,Moritz Wilhelm Gottgetreu,EN
Was Steam engine house completed in 1847?,False,1840,EN
Was Monument of the Four Moors created by Pietro Tacca?,True,Pietro Tacca,EN
Was Monument of the Four Moors completed in 1986?,False,1626,EN
Was Röntgendenkmal created by Erich Fritz Reuter?,True,Erich Fritz Reuter,EN
Was Röntgendenkmal completed in 1962?,True,1962,EN
"Was Monument to Catherine II of Russia, Saint Petersburg created by Konstantin Michaylovitsj Merabisjvili?",False,Mikhail Mikeshin,EN
"Was Monument to Catherine II of Russia, Saint Petersburg completed in 2005?",False,1873,EN
Was International Telecommunication Union Monument created by Giuseppe Romagnoli?,True,Giuseppe Romagnoli,EN
Was International Telecommunication Union Monument completed in 1618?,False,1922,EN
Was Sverd i fjell created by Charles Henri Joseph Cordier?,False,Fritz Røed,EN
Was Sverd i fjell completed in 1983?,True,1983,EN
Was Monument to the Bandeiras created by Victor Brecheret?,True,Victor Brecheret,EN
Was Monument to the Bandeiras completed in 2019?,False,1953,EN
