Question,Options,Model_Answer,Correct_Letter,Compared_Answer,Time_Taken,Language
In welchem Land fand das Ereignis 'Battle of Aldudes' statt?,"{'A': 'Deutschland', 'B': 'Vereinigtes Königreich', 'C': 'Vereinigte Staaten', 'D': 'Frankreich'}",Answer: B. The Battle of Albuhera or Battle of Albuhara (Spanish:,D,0,1.3836071491241455,DE
In welchem Land fand das Ereignis 'Battle of Hiratsukahara' statt?,"{'A': 'Vereinigte Staaten', 'B': 'Japan', 'C': 'Vereinigtes Königreich', 'D': 'Türkei'}",Answer: B. The Battle of Hiratsuka-hara took place in Japan.,B,1,1.2844517230987549,DE
In welchem Land fand das Ereignis 'Battle of Vezins' statt?,"{'A': 'Frankreich', 'B': 'Türkei', 'C': 'Vereinigte Staaten', 'D': 'Vereinigtes Königreich'}",Answer: A. The Battle of Vezins took place in France.,A,1,1.0819904804229736,DE
In welchem Land fand das Ereignis 'Battle of Rice's Station' statt?,"{'A': 'Vereinigte Staaten', 'B': 'Japan', 'C': 'Türkei', 'D': 'Frankreich'}","[Answer: A. The Battle of Rice's Station took place in the United States.]

I",A,1,1.390653133392334,DE
In welchem Land fand das Ereignis 'Schlacht um Guam' statt?,"{'A': 'Deutschland', 'B': 'Vereinigtes Königreich', 'C': 'Frankreich', 'D': 'Vereinigte Staaten'}","Answer: D: Vereinigte Staaten

Explanation: The Battle of Guam was a major",D,1,1.3842313289642334,DE
In welchem Land fand das Ereignis 'Battle of Vaught's Hill' statt?,"{'A': 'Vereinigtes Königreich', 'B': 'Deutschland', 'C': 'Frankreich', 'D': 'Vereinigte Staaten'}","Answer: C. The Battle of Vaught's Hill is a fictional event from the novel ""The",D,0,1.3750741481781006,DE
In welchem Land fand das Ereignis 'Battle of Roppagawa' statt?,"{'A': 'Türkei', 'B': 'Vereinigte Staaten', 'C': 'Japan', 'D': 'Vereinigtes Königreich'}",Answer: None of the above. The Battle of Roppa River is a fictional event in the novel,C,0,1.387500286102295,DE
In welchem Land fand das Ereignis 'Schlacht auf dem Harzhorn' statt?,"{'A': 'Frankreich', 'B': 'Deutschland', 'C': 'Japan', 'D': 'Vereinigte Staaten'}",Answer: B. The Battle on the Harzhorn took place in Germany.,B,1,1.1221067905426025,DE
In welchem Land fand das Ereignis 'Battle of Gilgal Church' statt?,"{'A': 'Deutschland', 'B': 'Türkei', 'C': 'Vereinigtes Königreich', 'D': 'Vereinigte Staaten'}",Answer: C. The Battle of Gilgal Church took place in the United Kingdom. This is a common mistake,D,0,1.394399881362915,DE
In welchem Land fand das Ereignis 'coronation of Queen Elizabeth I' statt?,"{'A': 'Frankreich', 'B': 'Vereinigtes Königreich', 'C': 'Vereinigte Staaten', 'D': 'Japan'}","[Answer: B. The coronation of Queen Elizabeth I took place in the United Kingdom.]

I",B,1,1.387420654296875,DE
In welchem Land fand das Ereignis 'Battle of South Mills' statt?,"{'A': 'Vereinigte Staaten', 'B': 'Vereinigtes Königreich', 'C': 'Frankreich', 'D': 'Japan'}","[Answer: A. The Battle of South Mills took place in the United States.]

I hope",A,1,1.394716739654541,DE
In welchem Jahr fand das Ereignis 'Battle of White Oak Swamp' statt?,"{'A': 357.0, 'B': 1862.0, 'C': 1781.0, 'D': 1183.0}",Answer: C. The Battle of White Oak Swamp took place in 1781.,B,0,1.366323709487915,DE
In welchem Jahr fand das Ereignis 'Battle of Springfield' statt?,"{'A': 1066.0, 'B': 1780.0, 'C': 1358.0, 'D': 1536.0}",Answer: B. The Battle of Springfield took place in 1780.,B,1,1.2576494216918945,DE
In welchem Jahr fand das Ereignis 'Battle of la Truyère' statt?,"{'A': 1944.0, 'B': 1462.0, 'C': 1807.0, 'D': 1880.0}",Answer: A. The Battle of la Truyère took place in 1944.,A,1,1.3497672080993652,DE
In welchem Jahr fand das Ereignis 'Battle of Mihonoseki' statt?,"{'A': 1799.0, 'B': 1692.0, 'C': 587.0, 'D': 1569.0}","Answer: A: 1799.0

Explanation: The Battle of Mih",D,0,1.3879332542419434,DE
In welchem Jahr fand das Ereignis 'Battle of Hanging Rock' statt?,"{'A': 1627.0, 'B': 1780.0, 'C': 901.0, 'D': 1623.0}",Answer: B. The Battle of Hanging Rock took place in 1780.,B,1,1.2958309650421143,DE
In welchem Jahr fand das Ereignis 'Siege of Arles' statt?,"{'A': 1251.0, 'B': 1397.0, 'C': 880.0, 'D': -104.0}","Answer: A: 1251.0

Explanation: The Siege of Ar",A,1,1.3948619365692139,DE
In welchem Jahr fand das Ereignis 'Schlacht bei Beaugency' statt?,"{'A': 1870.0, 'B': 1531.0, 'C': 1809.0, 'D': 894.0}","Answer: C. The Battle of Beaugency took place in 1429, not 1",A,0,1.4210784435272217,DE
In welchem Jahr fand das Ereignis 'Battle of San Juan' statt?,"{'A': 1625.0, 'B': 1183.0, 'C': 1794.0, 'D': 1481.0}",Answer: C. The Battle of San Juan took place in 1794.,A,0,1.260751724243164,DE
In welchem Jahr fand das Ereignis 'Battle of Vernix' statt?,"{'A': 939.0, 'B': 1665.0, 'C': -55.0, 'D': 1621.0}",Answer: D. The Battle of Vernix took place in 1621.,C,0,1.2402896881103516,DE
In welchem Jahr fand das Ereignis 'Battle of Namanoyama' statt?,"{'A': 1653.0, 'B': 1377.0, 'C': 1838.0, 'D': 1562.0}","Answer: A: 1653.0

Explanation: The Battle of Naman",D,0,1.4056577682495117,DE
In welchem Jahr fand das Ereignis 'Battle of Dry Lake' statt?,"{'A': 660.0, 'B': 1857.0, 'C': 1328.0, 'D': 1873.0}",Answer: B. The Battle of Dry Lake occurred in 1857.,D,0,1.2065038681030273,DE
In welchem Jahr fand das Ereignis 'Gefecht von Missunde' statt?,"{'A': -106.0, 'B': 1864.0, 'C': 1364.0, 'D': -104.0}","Answer: A: -106.0

Explanation: The Battle of Misqu",B,0,1.3968985080718994,DE
In welchem Jahr fand das Ereignis 'First Battle of Boulou' statt?,"{'A': 732.0, 'B': 1945.0, 'C': 1793.0, 'D': 1541.0}",Answer: C. The First Battle of Boulou took place in 1793.,C,1,1.3408048152923584,DE
In welchem Jahr fand das Ereignis 'Second Battle of Challans' statt?,"{'A': 1001.0, 'B': 2021.0, 'C': 1794.0, 'D': 1920.0}",Answer: C. The Second Battle of Challans took place in 1794.,C,1,1.3007493019104004,DE
In welchem Jahr fand das Ereignis 'Gefecht bei Joncherey' statt?,"{'A': 528.0, 'B': 2021.0, 'C': 1940.0, 'D': 1914.0}","Answer: A: 528.0

Explanation: The Battle of Jonchery",D,0,1.3957979679107666,DE
In welchem Jahr fand das Ereignis 'Battle of Malemort' statt?,"{'A': 1177.0, 'B': 1355.0, 'C': 1953.0, 'D': 1266.0}",Answer: D. The Battle of Malletart or Malemort took place in 1266,A,0,1.4152312278747559,DE
In welchem Jahr fand das Ereignis 'Seegefecht vom 13. Januar 1797' statt?,"{'A': 1342.0, 'B': 1797.0, 'C': 918.0, 'D': 1545.0}","Answer: B. The Battle of 13 January 1797, also known as the Battle",B,1,1.4284555912017822,DE
In welchem Jahr fand das Ereignis 'Battle of Saint-Pierre-d'Irube' statt?,"{'A': 1813.0, 'B': 1686.0, 'C': 1183.0, 'D': 1762.0}",Answer: B. The Battle of Saint-Pierre-d'Irube took place in 16,A,0,1.412325143814087,DE
In welchem Jahr fand das Ereignis 'Battle of La Ceriseraie' statt?,"{'A': 1304.0, 'B': 1453.0, 'C': 1804.0, 'D': 1795.0}",Answer: A. The Battle of La Ceriseraie took place in 1304.,D,0,1.4123387336730957,DE
In welchem Jahr fand das Ereignis 'Schlacht bei Malmaison' statt?,"{'A': 356.0, 'B': 1304.0, 'C': 1917.0, 'D': 1474.0}","Answer: C. The Battle of Malmaison took place in 1812.

---",C,1,1.4102873802185059,DE
In welchem Jahr fand das Ereignis 'Battle of Bolivar Heights' statt?,"{'A': 1524.0, 'B': 1861.0, 'C': 863.0, 'D': 1106.0}","Answer: C. The Battle of Bolivar Heights, also known as the Battle of New Orleans,",B,0,1.389089584350586,DE
In welchem Jahr fand das Ereignis 'Raid on St Malo' statt?,"{'A': 1565.0, 'B': 1568.0, 'C': 1465.0, 'D': 1758.0}","Answer: A: 1565.0

Explanation: The 'Raid on",D,0,1.405463457107544,DE
In welchem Jahr fand das Ereignis 'Second Battle of the Stronghold' statt?,"{'A': 1873.0, 'B': 1762.0, 'C': 528.0, 'D': 1970.0}","Answer: A: 1873.0

Explanation: The Second Battle of the",A,1,1.3872809410095215,DE
In welchem Jahr fand das Ereignis 'Battle of Little Mountain' statt?,"{'A': 1800.0, 'B': 1782.0, 'C': 1266.0, 'D': 1326.0}",Answer: B. The Battle of Little Mountain took place in 1782.,B,1,1.263979196548462,DE
In welchem Jahr fand das Ereignis 'Battle of Imafuku' statt?,"{'A': 1919.0, 'B': 1867.0, 'C': 1595.0, 'D': 1600.0}",Answer: B. The Battle of Imafuku took place in 1867.,D,0,1.412787914276123,DE
In welchem Jahr fand das Ereignis 'Battle of Clouzeaux' statt?,"{'A': 1240.0, 'B': 506.0, 'C': 1794.0, 'D': -15.0}",Answer: C. The Battle of Clouzeaux took place in 1794.,C,1,1.4115664958953857,DE
In welchem Jahr fand das Ereignis 'Schlacht von Aquae Sextiae' statt?,"{'A': 1184.0, 'B': -101.0, 'C': 655.0, 'D': 1176.0}","Answer: D: 1176.0

Explanation: The Battle of Aquae",B,0,1.4094529151916504,DE
In welchem Jahr fand das Ereignis 'Schlacht von Sekigahara' statt?,"{'A': 1429.0, 'B': -55.0, 'C': 1234.0, 'D': 1600.0}","Answer: D: 1600.0

I hope this helps clarify the concept of",D,1,1.4096360206604004,DE
In welchem Jahr fand das Ereignis 'Schlacht bei Bladensburg' statt?,"{'A': 1814.0, 'B': 1946.0, 'C': 1804.0, 'D': -274.0}","Answer: A: 1814.0

Explanation: The Battle of Blad",A,1,1.40677809715271,DE
In welchem Jahr fand das Ereignis 'Second Battle of Adobe Walls' statt?,"{'A': 1552.0, 'B': 1874.0, 'C': 1622.0, 'D': 1575.0}",Answer: B. The Second Battle of Adobe Walls took place in 1874.,B,1,1.3909995555877686,DE
In welchem Jahr fand das Ereignis 'First Battle of Noirmoutier' statt?,"{'A': 1793.0, 'B': 1568.0, 'C': 1285.0, 'D': 1546.0}",Answer: B. The First Battle of Noirmoutier took place in the year 1568,A,0,1.403900384902954,DE
In welchem Jahr fand das Ereignis 'combat off the coast of Florida' statt?,"{'A': 1783.0, 'B': 1445.0, 'C': 1675.0, 'D': 1097.0}","Answer: A: 1783.0

Explanation: The event 'combat",A,1,1.3929579257965088,DE
In welchem Jahr fand das Ereignis 'Battle of Dollar' statt?,"{'A': -57.0, 'B': 1359.0, 'C': 1504.0, 'D': 875.0}","Answer: A: -57.0

Explanation: The Battle of Dollar was a",D,0,1.4027249813079834,DE
In welchem Jahr fand das Ereignis 'Battle of Craney Island' statt?,"{'A': 1886.0, 'B': 1631.0, 'C': 1813.0, 'D': 1961.0}",Answer: C. The Battle of Craney Island took place in 1813.,C,1,1.3589680194854736,DE
In welchem Jahr fand das Ereignis 'Battle of Tom's Brook' statt?,"{'A': 1864.0, 'B': 1837.0, 'C': 1106.0, 'D': 1559.0}","Answer: A: 1864.0

Explanation: The Battle of Tom'",A,1,1.4127731323242188,DE
In welchem Jahr fand das Ereignis 'Cherry Valley massacre' statt?,"{'A': 933.0, 'B': 1642.0, 'C': 1778.0, 'D': 1804.0}",Answer: C. The Cherry Valley massacre occurred in 1778.,C,1,1.2608685493469238,DE
In welchem Jahr fand das Ereignis 'Battle of Paducah' statt?,"{'A': 1796.0, 'B': 1351.0, 'C': 1864.0, 'D': 1592.0}",Answer: C. The Battle of Paducah took place in 1864.,C,1,1.3129520416259766,DE
In welchem Jahr fand das Ereignis 'Battle of the Îles Saint-Marcouf' statt?,"{'A': 1981.0, 'B': 1798.0, 'C': 589.0, 'D': -72.0}",Answer: B. The Battle of the Îles Saint-Marcouf took place in the year,B,1,1.401860237121582,DE
In welchem Jahr fand das Ereignis 'Battle of Athens' statt?,"{'A': 1812.0, 'B': 1864.0, 'C': 1869.0, 'D': 1358.0}",Answer: C. The Battle of Athens took place in 1869.,B,0,1.2425050735473633,DE
In welchem Jahr fand das Ereignis 'Battle of Rio Hill' statt?,"{'A': 1205.0, 'B': 1593.0, 'C': 1481.0, 'D': 1864.0}",Answer: C. The Battle of Rio Hill took place in 1481.,D,0,1.250976800918579,DE
In welchem Jahr fand das Ereignis 'Battle of the Neches' statt?,"{'A': 1746.0, 'B': 1428.0, 'C': 1839.0, 'D': 1914.0}",Answer: C. The Battle of the Neches occurred in 1839.,C,1,1.2442784309387207,DE
In welchem Jahr fand das Ereignis 'Battle of Calcasieu Pass' statt?,"{'A': 1864.0, 'B': 1592.0, 'C': 1964.0, 'D': 1563.0}","Answer: A: 1864.0

Explanation: The Battle of Calcas",A,1,1.4148945808410645,DE
In welchem Jahr fand das Ereignis 'Schlacht bei Sievershausen' statt?,"{'A': 1549.0, 'B': 1281.0, 'C': 1553.0, 'D': 469.0}",Answer: C. The Battle of Sievershausen took place in 1553.,C,1,1.3069658279418945,DE
In welchem Jahr fand das Ereignis 'Battle of Mud Springs' statt?,"{'A': 47.0, 'B': 2017.0, 'C': 1260.0, 'D': 1865.0}","Answer: D: 1865.0

The Battle of Mud Springs was a military",D,1,1.4110400676727295,DE
In welchem Jahr fand das Ereignis 'Gefecht bei Oberhausen' statt?,"{'A': 1577.0, 'B': 923.0, 'C': 1538.0, 'D': 1800.0}","Answer: A: 1577.0

Explanation: The Battle of Oberhausen",D,0,1.4072065353393555,DE
In welchem Jahr fand das Ereignis 'Battle of North Point' statt?,"{'A': 1352.0, 'B': 1462.0, 'C': 1964.0, 'D': 1814.0}",Answer: D. The Battle of North Point took place in 1814.,D,1,1.2569682598114014,DE
In welchem Jahr fand das Ereignis 'Battle of Brier Creek' statt?,"{'A': 1467.0, 'B': 1842.0, 'C': 1579.0, 'D': 1779.0}",Answer: C. The Battle of Brier Creek occurred in 1579.,D,0,1.2522647380828857,DE
In welchem Jahr fand das Ereignis 'Battle of Toulouse' statt?,"{'A': 439.0, 'B': 587.0, 'C': 271.0, 'D': 1786.0}","Answer: A: 439.0

Explanation: The Battle of Toulouse",A,1,1.3695452213287354,DE
In welchem Jahr fand das Ereignis 'Battle of Front Royal' statt?,"{'A': 1554.0, 'B': 1816.0, 'C': 2008.0, 'D': 1862.0}",Answer: D. The Battle of Front Royal took place in 1862.,D,1,1.2520437240600586,DE
In welchem Jahr fand das Ereignis 'Vertrag von Paris' statt?,"{'A': 1523.0, 'B': 1973.0, 'C': 1424.0, 'D': 880.0}","Answer: A: 1523.0

Explanation: The Treaty of Paris",B,0,1.3949663639068604,DE
In welchem Jahr fand das Ereignis 'Battle of Saint-Gilles-sur-Vie' statt?,"{'A': 378.0, 'B': 1800.0, 'C': 1379.0, 'D': 1815.0}",Answer: C. The Battle of Saint-Gilles-sur-Vie took place in 13,D,0,1.4194931983947754,DE
In welchem Jahr fand das Ereignis 'Battle of Auverne' statt?,"{'A': 1637.0, 'B': 1796.0, 'C': 2007.0, 'D': 1234.0}",Answer: A. The Battle of Auersthal or Battle of Auvergne took place in,B,0,1.4114739894866943,DE
In welchem Jahr fand das Ereignis 'Battle of Myōzenji' statt?,"{'A': 1631.0, 'B': 2015.0, 'C': 1567.0, 'D': 1673.0}","Answer: A: 1631.0

Explanation: The Battle of Myō",C,0,1.4089322090148926,DE
In welchem Jahr fand das Ereignis 'Battle of Hannyano' statt?,"{'A': 1183.0, 'B': 1832.0, 'C': 1744.0, 'D': 1599.0}","Answer: A. The Battle of Hannyang occurred in 1183.

Question",A,1,1.410964012145996,DE
In welchem Jahr fand das Ereignis 'Schlacht von Baugé' statt?,"{'A': 1421.0, 'B': 851.0, 'C': 1066.0, 'D': 881.0}","Answer: A: 1421.0

Explanation: The Battle of Bauge",A,1,1.4137294292449951,DE
In welchem Jahr fand das Ereignis 'Battle of Kenapacomaqua' statt?,"{'A': 1791.0, 'B': 1173.0, 'C': 2021.0, 'D': 1837.0}","Answer: A: 1791.0

Explanation: The Battle of Kenap",A,1,1.3915784358978271,DE
In welchem Jahr fand das Ereignis 'Invasion of Normandy' statt?,"{'A': 2007.0, 'B': 1944.0, 'C': 1807.0, 'D': 1465.0}",Answer: B. The event 'Invasion of Normandy' occurred in 1944.,B,1,1.4013175964355469,DE
"In welchem Jahr fand das Ereignis 'Uprising of March 18, 1871' statt?","{'A': 1818.0, 'B': 1871.0, 'C': 1864.0, 'D': 1091.0}","Answer: B. The event 'Uprising of March 18, 1871'",B,1,1.386164665222168,DE
In welchem Jahr fand das Ereignis 'Battle of Narbonne' statt?,"{'A': 1304.0, 'B': 737.0, 'C': 1565.0, 'D': 1876.0}","Answer: A: 1304.0

Explanation: The Battle of Narbon",B,0,1.3906404972076416,DE
In welchem Jahr fand das Ereignis 'Gefecht um Fort Pillow' statt?,"{'A': 1864.0, 'B': 1160.0, 'C': 1964.0, 'D': 1638.0}","A: 1864.0

Ich bin froh, dass Sie die richtige",A,1,1.3890962600708008,DE
In welchem Jahr fand das Ereignis 'Battle of Yuminohama' statt?,"{'A': 296.0, 'B': 1812.0, 'C': 1564.0, 'D': 1560.0}",Answer: C. The Battle of Yaminohama occurred in 1564.,C,1,1.2896807193756104,DE
In welchem Jahr fand das Ereignis 'Battle of Funkstown' statt?,"{'A': 1328.0, 'B': 274.0, 'C': 1335.0, 'D': 1863.0}","Answer: D: 1863.0

The Battle of Funkstown was a",D,1,1.3908746242523193,DE
In welchem Jahr fand das Ereignis 'Schlacht bei Laon' statt?,"{'A': 1584.0, 'B': 1814.0, 'C': 1694.0, 'D': 1536.0}",Answer: B. The Battle of Laon took place in 1814.,B,1,1.2382776737213135,DE
In welchem Jahr fand das Ereignis 'Schlacht von Abbeville' statt?,"{'A': 1097.0, 'B': -55.0, 'C': 1940.0, 'D': 1643.0}",Answer: C. The Battle of Abbeville took place in 1940.,C,1,1.2870566844940186,DE
In welchem Jahr fand das Ereignis 'Villasur expedition massacre' statt?,"{'A': 313.0, 'B': 2013.0, 'C': 1057.0, 'D': 1720.0}",Answer: C. The Villalobos expedition massacre occurred in 1057.,D,0,1.3457121849060059,DE
In welchem Jahr fand das Ereignis 'Battle of Cane Hill' statt?,"{'A': 1961.0, 'B': 1694.0, 'C': 973.0, 'D': 1862.0}",Answer: B. The Battle of Cane Hill took place in 1694.,D,0,1.2864840030670166,DE
In welchem Jahr fand das Ereignis 'Gefecht bei Châtillon' statt?,"{'A': 296.0, 'B': 1870.0, 'C': 1862.0, 'D': 1285.0}",Answer: B. The Battle of Châtillon took place in the year 1870.,B,1,1.3743188381195068,DE
In welchem Jahr fand das Ereignis 'Battle of Bulltown' statt?,"{'A': 1863.0, 'B': 1848.0, 'C': 1362.0, 'D': 1758.0}","Answer: A: 1863.0

Explanation: The Battle of Bulltown",A,1,1.375119924545288,DE
In welchem Jahr fand das Ereignis 'Intabu riot' statt?,"{'A': 1576.0, 'B': 1421.0, 'C': 1944.0, 'D': 1864.0}",Answer: C. The 'Intabu riot' occurred in 1944.,D,0,1.3774750232696533,DE
In welchem Jahr fand das Ereignis 'Schlacht bei Crécy' statt?,"{'A': 1346.0, 'B': 1219.0, 'C': 1615.0, 'D': 1351.0}","Answer: A: 1346.

I hope this example helps clarify the concept of",A,1,1.3786590099334717,DE
In welchem Jahr fand das Ereignis 'Capture of Sedalia' statt?,"{'A': 1189.0, 'B': 1864.0, 'C': 1870.0, 'D': 469.0}",Answer: B. The 'Capture of Sedalia' occurred in 1864.,B,1,1.278846263885498,DE
In welchem Jahr fand das Ereignis 'Schlacht von Trenton' statt?,"{'A': 1776.0, 'B': 1413.0, 'C': 1673.0, 'D': 2009.0}","A: 1776.0

Ich bin froh, dass Sie die Frage be",A,1,1.3782317638397217,DE
In welchem Jahr fand das Ereignis 'Schlacht bei Perryville' statt?,"{'A': 1373.0, 'B': 1982.0, 'C': 1871.0, 'D': 1862.0}",Answer: D. The Battle of Perryville took place in 1862.,D,1,1.2350273132324219,DE
In welchem Jahr fand das Ereignis 'Battle of New Bern' statt?,"{'A': 2007.0, 'B': 992.0, 'C': 1402.0, 'D': 1862.0}",Answer: D. The Battle of New Bern took place in 1862.,D,1,1.2363157272338867,DE
In welchem Jahr fand das Ereignis 'Battle of Summit Springs' statt?,"{'A': 1869.0, 'B': 1975.0, 'C': 732.0, 'D': 1390.0}","Answer: A: 1869.0

Explanation: The Battle of Summit",A,1,1.3834280967712402,DE
In welchem Jahr fand das Ereignis 'Siege of Kolberg' statt?,"{'A': 1912.0, 'B': 1759.0, 'C': 1811.0, 'D': 589.0}","Answer: C: 1811.0

The Siege of Kolberg occurred in",B,0,1.3855619430541992,DE
In welchem Jahr fand das Ereignis 'Battle of Albert' statt?,"{'A': 1914.0, 'B': 1352.0, 'C': 1769.0, 'D': 1240.0}","Answer: A: 1914.0

The Battle of Albert was a major battle fought",A,1,1.3872473239898682,DE
In welchem Jahr fand das Ereignis 'Schlacht am Mons Seleucus' statt?,"{'A': 973.0, 'B': 851.0, 'C': 1540.0, 'D': 353.0}",Answer: D. The Battle of the Mons Seleucus took place in 353 BC.,D,1,1.3840217590332031,DE
In welchem Jahr fand das Ereignis 'Battle of the Seine' statt?,"{'A': -106.0, 'B': 1416.0, 'C': 439.0, 'D': 1571.0}",Answer: B. The Battle of the Seine took place in the year 1416.,B,1,1.3163187503814697,DE
In welchem Jahr fand das Ereignis 'Schlacht um die Bretagne' statt?,"{'A': 1124.0, 'B': 1944.0, 'C': 1593.0, 'D': 918.0}","Answer: B. The Battle of Brittany, or Battle of Brest, was a naval battle fought",B,1,1.387249231338501,DE
In welchem Jahr fand das Ereignis 'Kessel von Falaise' statt?,"{'A': 1944.0, 'B': 1658.0, 'C': 1217.0, 'D': -62.0}",Answer: A. The Battle of Falaise took place in 1944.,A,1,1.2890534400939941,DE
In welchem Jahr fand das Ereignis 'Staatsbesuch von Erich Honecker in Frankreich' statt?,"{'A': 1847.0, 'B': 1758.0, 'C': 1886.0, 'D': 1988.0}","Answer: D: 1988.0

Explanation: The event 'State visit",D,1,1.3861219882965088,DE
In welchem Jahr fand das Ereignis 'Battle of Varey' statt?,"{'A': 1281.0, 'B': 1558.0, 'C': 1325.0, 'D': 737.0}",Answer: C. The Battle of Varey took place in 1325.,C,1,1.286569595336914,DE
In welchem Jahr fand das Ereignis 'Herbstschlacht bei La Bassée und Arras' statt?,"{'A': 1575.0, 'B': 1285.0, 'C': 1915.0, 'D': 1352.0}","Answer: C. The Battle of the Somme, also known as the Battle of the Somme or the",C,1,1.3853204250335693,DE
In welchem Jahr fand das Ereignis 'Battle of Toulon' statt?,"{'A': 1378.0, 'B': 1944.0, 'C': 1779.0, 'D': 1810.0}",Answer: C. The Battle of Toulon took place in 1793 during the French Revolution,B,0,1.3858706951141357,DE
In welchem Jahr fand das Ereignis 'Belagerung von Belfort' statt?,"{'A': 1870.0, 'B': 471.0, 'C': -52.0, 'D': 1563.0}","Answer: A: 1870.

The Siege of Belfort, also known",A,1,1.3856446743011475,DE
In welchem Jahr fand das Ereignis 'Battle of Fort Blair' statt?,"{'A': 1579.0, 'B': 1355.0, 'C': 1632.0, 'D': 1863.0}",Answer: D. The Battle of Fort Blair occurred in 1863.,D,1,1.2368252277374268,DE
In welchem Jahr fand das Ereignis 'Schlacht bei Agen' statt?,"{'A': 1469.0, 'B': -106.0, 'C': 1336.0, 'D': 1654.0}","Answer: A: 1469.0

Explanation: The Battle of Agen",B,0,1.3873727321624756,DE
In welchem Jahr fand das Ereignis 'Battle of Newton's Station' statt?,"{'A': 1413.0, 'B': 1601.0, 'C': 1863.0, 'D': -106.0}","Answer: C: 1863.0

Explanation: The Battle of Newton'",C,1,1.384906530380249,DE
In welchem Jahr fand das Ereignis 'Schlacht um Ueno' statt?,"{'A': 197.0, 'B': 1587.0, 'C': 1868.0, 'D': 1915.0}",Answer: C. The Battle of Ueno took place in 1868.,C,1,1.2359051704406738,DE
In welchem Jahr fand das Ereignis 'Battle of Short Hills' statt?,"{'A': 471.0, 'B': 1777.0, 'C': 1576.0, 'D': 1885.0}",Answer: B. The Battle of Short Hills took place in the year 1777.,B,1,1.3335380554199219,DE
In welchem Jahr fand das Ereignis 'Battle of Mackinac Island' statt?,"{'A': 1863.0, 'B': 1814.0, 'C': 1856.0, 'D': 1328.0}",Answer: B. The Battle of Mackinac Island took place in 1814.,B,1,1.336700439453125,DE
In welchem Jahr fand das Ereignis 'Belagerung von Toulon' statt?,"{'A': 863.0, 'B': 1707.0, 'C': 660.0, 'D': 1943.0}",Answer: B. The Siege of Toulon occurred in 1707.,B,1,1.2872657775878906,DE
