question,True/False,ActualAnswer,Language
The event 'Battle of Malemort' occurred in 1177.0.,True,1177.0,EN
The event 'Action of 13 January 1797' took place in France.,True,France,EN
The event 'Action of 13 January 1797' occurred in 1797.0.,True,1797.0,EN
The event 'Battle of Saint-Pierre-d'Irube' took place in United Kingdom.,False,France,EN
The event 'Battle of Saint-Pierre-d'Irube' occurred in 1813.0.,True,1813.0,EN
The event 'Battle of La Ceriseraie' took place in Japan.,False,France,EN
The event 'Battle of La Ceriseraie' occurred in 1562.0.,False,1795.0,EN
The event 'Battle of La Malmaison' took place in United Kingdom.,False,France,EN
The event 'Battle of La Malmaison' occurred in 894.0.,False,1917.0,EN
The event 'Battle of Bolivar Heights' took place in Japan.,False,United States of America,EN
The event 'Battle of Bolivar Heights' occurred in 1242.0.,False,1861.0,EN
The event 'Raid on St Malo' took place in United States of America.,False,France,EN
The event 'Raid on St Malo' occurred in 1758.0.,True,1758.0,EN
The event 'Second Battle of the Stronghold' took place in Germany.,False,United States of America,EN
The event 'Second Battle of the Stronghold' occurred in 1779.0.,False,1873.0,EN
The event 'Battle of Little Mountain' took place in United States of America.,True,United States of America,EN
The event 'Battle of Little Mountain' occurred in 1782.0.,True,1782.0,EN
The event 'Battle of Imafuku' took place in Japan.,True,Japan,EN
The event 'Battle of Imafuku' occurred in 1600.0.,True,1600.0,EN
The event 'Battle of Clouzeaux' took place in Japan.,False,France,EN
The event 'Battle of Clouzeaux' occurred in 1862.0.,False,1794.0,EN
The event 'Battle of Aquae Sextiae' took place in United States of America.,False,France,EN
The event 'Battle of Aquae Sextiae' occurred in 1694.0.,False,-101.0,EN
The event 'Battle of Sekigahara' took place in Japan.,True,Japan,EN
The event 'Battle of Sekigahara' occurred in 1600.0.,True,1600.0,EN
The event 'Battle of Bladensburg' took place in United States of America.,True,United States of America,EN
The event 'Battle of Bladensburg' occurred in 1217.0.,False,1814.0,EN
The event 'Second Battle of Adobe Walls' took place in Japan.,False,United States of America,EN
The event 'Second Battle of Adobe Walls' occurred in 1811.0.,False,1874.0,EN
The event 'First Battle of Noirmoutier' took place in France.,True,France,EN
The event 'First Battle of Noirmoutier' occurred in 1202.0.,False,1793.0,EN
The event 'combat off the coast of Florida' took place in United Kingdom.,False,United States of America,EN
The event 'combat off the coast of Florida' occurred in 1783.0.,True,1783.0,EN
The event 'Battle of Dollar' took place in United Kingdom.,True,United Kingdom,EN
The event 'Battle of Dollar' occurred in 875.0.,True,875.0,EN
The event 'Battle of Craney Island' took place in United States of America.,True,United States of America,EN
The event 'Battle of Craney Island' occurred in 1813.0.,True,1813.0,EN
The event 'Battle of Tom's Brook' took place in United States of America.,True,United States of America,EN
The event 'Battle of Tom's Brook' occurred in 1864.0.,True,1864.0,EN
The event 'Cherry Valley massacre' took place in United States of America.,True,United States of America,EN
The event 'Cherry Valley massacre' occurred in 1778.0.,True,1778.0,EN
The event 'Battle of Paducah' took place in United States of America.,True,United States of America,EN
The event 'Battle of Paducah' occurred in 1857.0.,False,1864.0,EN
The event 'Battle of the Îles Saint-Marcouf' took place in France.,True,France,EN
The event 'Battle of the Îles Saint-Marcouf' occurred in 1842.0.,False,1798.0,EN
The event 'Battle of Athens' took place in United States of America.,True,United States of America,EN
The event 'Battle of Athens' occurred in 1538.0.,False,1864.0,EN
The event 'Battle of Rio Hill' took place in France.,False,United States of America,EN
The event 'Battle of Rio Hill' occurred in 1864.0.,True,1864.0,EN
The event 'Battle of the Neches' took place in Japan.,False,United States of America,EN
The event 'Battle of the Neches' occurred in 1839.0.,True,1839.0,EN
The event 'Battle of Calcasieu Pass' took place in United States of America.,True,United States of America,EN
The event 'Battle of Calcasieu Pass' occurred in 1181.0.,False,1864.0,EN
The event 'Battle of Sievershausen' took place in Germany.,True,Germany,EN
The event 'Battle of Sievershausen' occurred in 1553.0.,True,1553.0,EN
The event 'Battle of Mud Springs' took place in United States of America.,True,United States of America,EN
The event 'Battle of Mud Springs' occurred in 1865.0.,True,1865.0,EN
The event 'La Tour monument' took place in United States of America.,False,Germany,EN
The event 'La Tour monument' occurred in 1277.0.,False,1800.0,EN
The event 'Battle of North Point' took place in United States of America.,True,United States of America,EN
The event 'Battle of North Point' occurred in 1814.0.,True,1814.0,EN
The event 'Battle of Brier Creek' took place in United Kingdom.,False,United States of America,EN
The event 'Battle of Brier Creek' occurred in 1510.0.,False,1779.0,EN
The event 'Battle of Toulouse' took place in France.,True,France,EN
The event 'Battle of Toulouse' occurred in 439.0.,True,439.0,EN
The event 'Battle of Front Royal' took place in United States of America.,True,United States of America,EN
The event 'Battle of Front Royal' occurred in 1862.0.,True,1862.0,EN
The event 'Paris Peace Accords' took place in United States of America.,False,France,EN
The event 'Paris Peace Accords' occurred in 1973.0.,True,1973.0,EN
The event 'Battle of Saint-Gilles-sur-Vie' took place in France.,True,France,EN
The event 'Battle of Saint-Gilles-sur-Vie' occurred in 1815.0.,True,1815.0,EN
The event 'Battle of Auverne' took place in France.,True,France,EN
The event 'Battle of Auverne' occurred in 1181.0.,False,1796.0,EN
The event 'Battle of Myōzenji' took place in Japan.,True,Japan,EN
The event 'Battle of Myōzenji' occurred in 1993.0.,False,1567.0,EN
The event 'Battle of Hannyano' took place in Germany.,False,Japan,EN
The event 'Battle of Hannyano' occurred in 981.0.,False,1183.0,EN
The event 'Battle of Baugé' took place in Japan.,False,France,EN
The event 'Battle of Baugé' occurred in 1421.0.,True,1421.0,EN
The event 'Battle of Kenapacomaqua' took place in United States of America.,True,United States of America,EN
The event 'Battle of Kenapacomaqua' occurred in 1467.0.,False,1791.0,EN
The event 'Invasion of Normandy' took place in France.,True,France,EN
The event 'Invasion of Normandy' occurred in 1944.0.,True,1944.0,EN
"The event 'Uprising of March 18, 1871' took place in France.",True,France,EN
"The event 'Uprising of March 18, 1871' occurred in 1926.0.",False,1871.0,EN
The event 'Battle of Narbonne' took place in France.,True,France,EN
The event 'Battle of Narbonne' occurred in 1557.0.,False,737.0,EN
The event 'Battle of Fort Pillow' took place in United States of America.,True,United States of America,EN
The event 'Battle of Fort Pillow' occurred in 1864.0.,True,1864.0,EN
The event 'Battle of Yuminohama' took place in Japan.,True,Japan,EN
The event 'Battle of Yuminohama' occurred in 1564.0.,True,1564.0,EN
The event 'Battle of Funkstown' took place in United States of America.,True,United States of America,EN
The event 'Battle of Funkstown' occurred in 1411.0.,False,1863.0,EN
The event 'Battle of Laon' took place in France.,True,France,EN
The event 'Battle of Laon' occurred in 1814.0.,True,1814.0,EN
The event 'Battle of Abbeville' took place in France.,True,France,EN
The event 'Battle of Abbeville' occurred in 894.0.,False,1940.0,EN
The event 'Villasur expedition massacre' took place in United Kingdom.,False,United States of America,EN
The event 'Villasur expedition massacre' occurred in 1720.0.,True,1720.0,EN
The event 'Battle of Cane Hill' took place in United States of America.,True,United States of America,EN
The event 'Battle of Cane Hill' occurred in 1347.0.,False,1862.0,EN
The event 'Battle of Châtillon' took place in Germany.,False,France,EN
The event 'Battle of Châtillon' occurred in 1870.0.,True,1870.0,EN
The event 'Battle of Bulltown' took place in United States of America.,True,United States of America,EN
The event 'Battle of Bulltown' occurred in 1863.0.,True,1863.0,EN
The event 'Intabu riot' took place in Germany.,False,Japan,EN
The event 'Intabu riot' occurred in 1864.0.,True,1864.0,EN
The event 'Battle of Crécy' took place in United Kingdom.,False,France,EN
The event 'Battle of Crécy' occurred in 1346.0.,True,1346.0,EN
The event 'Capture of Sedalia' took place in Turkey.,False,United States of America,EN
The event 'Capture of Sedalia' occurred in 1864.0.,True,1864.0,EN
The event 'Battle of Trenton' took place in France.,False,United States of America,EN
The event 'Battle of Trenton' occurred in 1776.0.,True,1776.0,EN
The event 'Battle of Perryville' took place in United Kingdom.,False,United States of America,EN
The event 'Battle of Perryville' occurred in 1862.0.,True,1862.0,EN
The event 'Battle of New Bern' took place in Turkey.,False,United States of America,EN
The event 'Battle of New Bern' occurred in 1862.0.,True,1862.0,EN
The event 'Battle of Summit Springs' took place in Turkey.,False,United States of America,EN
The event 'Battle of Summit Springs' occurred in 1869.0.,True,1869.0,EN
The event 'Siege of Kolberg' took place in France.,False,Germany,EN
The event 'Siege of Kolberg' occurred in 1759.0.,True,1759.0,EN
The event 'Battle of Albert' took place in Germany.,False,France,EN
The event 'Battle of Albert' occurred in 1545.0.,False,1914.0,EN
The event 'Battle of Mons Seleucus' took place in Japan.,False,France,EN
The event 'Battle of Mons Seleucus' occurred in 353.0.,True,353.0,EN
The event 'Battle of the Seine' took place in France.,True,France,EN
The event 'Battle of the Seine' occurred in 1416.0.,True,1416.0,EN
The event 'Battle for Brest' took place in France.,True,France,EN
The event 'Battle for Brest' occurred in 1876.0.,False,1944.0,EN
The event 'Falaise Pocket' took place in France.,True,France,EN
The event 'Falaise Pocket' occurred in 1944.0.,True,1944.0,EN
The event 'State visit of Erich Honecker in France' took place in United Kingdom.,False,France,EN
The event 'State visit of Erich Honecker in France' occurred in 1988.0.,True,1988.0,EN
The event 'Battle of Varey' took place in France.,True,France,EN
The event 'Battle of Varey' occurred in 458.0.,False,1325.0,EN
The event 'Third Battle of Artois' took place in United Kingdom.,False,France,EN
The event 'Third Battle of Artois' occurred in 1915.0.,True,1915.0,EN
The event 'Battle of Toulon' took place in United States of America.,False,France,EN
The event 'Battle of Toulon' occurred in 1527.0.,False,1944.0,EN
The event 'Siege of Belfort' took place in France.,True,France,EN
The event 'Siege of Belfort' occurred in 1870.0.,True,1870.0,EN
The event 'Battle of Fort Blair' took place in United States of America.,True,United States of America,EN
The event 'Battle of Fort Blair' occurred in 1160.0.,False,1863.0,EN
The event 'Battle of Burdigala' took place in United Kingdom.,False,France,EN
The event 'Battle of Burdigala' occurred in -106.0.,True,-106.0,EN
The event 'Battle of Newton's Station' took place in United States of America.,True,United States of America,EN
The event 'Battle of Newton's Station' occurred in 1863.0.,True,1863.0,EN
The event 'Battle of Ueno' took place in Turkey.,False,Japan,EN
The event 'Battle of Ueno' occurred in 1868.0.,True,1868.0,EN
The event 'Battle of Short Hills' took place in Turkey.,False,United States of America,EN
The event 'Battle of Short Hills' occurred in 1877.0.,False,1777.0,EN
The event 'Battle of Mackinac Island' took place in United States of America.,True,United States of America,EN
The event 'Battle of Mackinac Island' occurred in 1251.0.,False,1814.0,EN
The event 'Battle of Toulon' took place in United Kingdom.,False,France,EN
The event 'Battle of Toulon' occurred in 1938.0.,False,1707.0,EN
The event 'Lichtenberg Siege' took place in France.,True,France,EN
The event 'Lichtenberg Siege' occurred in 783.0.,False,1870.0,EN
The event 'Battle of Wœrth' took place in Turkey.,False,France,EN
The event 'Battle of Wœrth' occurred in 1181.0.,False,1793.0,EN
The event 'Battle of the Little Bighorn' took place in United States of America.,True,United States of America,EN
The event 'Battle of the Little Bighorn' occurred in 1858.0.,False,1876.0,EN
The event 'Battle of Metz' took place in Turkey.,False,France,EN
The event 'Battle of Metz' occurred in 1944.0.,True,1944.0,EN
The event 'Battle of Torrence's Tavern' took place in France.,False,United States of America,EN
The event 'Battle of Torrence's Tavern' occurred in 508.0.,False,1781.0,EN
The event 'Battle of Patay' took place in United Kingdom.,False,France,EN
The event 'Battle of Patay' occurred in 1792.0.,False,1429.0,EN
The event 'Battle of Plouharnel' took place in Turkey.,False,France,EN
The event 'Battle of Plouharnel' occurred in 1173.0.,False,1795.0,EN
The event 'Battle of Green Spring' took place in Turkey.,False,United States of America,EN
The event 'Battle of Green Spring' occurred in 1943.0.,False,1781.0,EN
The event 'Battle of Lalakaon' took place in Turkey.,True,Turkey,EN
The event 'Battle of Lalakaon' occurred in 863.0.,True,863.0,EN
The event 'Battle of Rouans' took place in Turkey.,False,France,EN
The event 'Battle of Rouans' occurred in 1793.0.,True,1793.0,EN
The event 'Battle of Bressuire' took place in France.,True,France,EN
The event 'Battle of Bressuire' occurred in 1794.0.,True,1794.0,EN
The event 'Battle of Katakaku-Ikusagaya' took place in Turkey.,False,Japan,EN
The event 'Battle of Katakaku-Ikusagaya' occurred in 1509.0.,True,1509.0,EN
The event 'Battle of Kuzuryū-gawa' took place in Germany.,False,Japan,EN
The event 'Battle of Kuzuryū-gawa' occurred in -57.0.,False,1506.0,EN
The event 'Battle of Magetobria' took place in France.,True,France,EN
The event 'Battle of Magetobria' occurred in -62.0.,True,-62.0,EN
The event 'Battle of Gettysburg' took place in Japan.,False,United States of America,EN
The event 'Battle of Gettysburg' occurred in 1863.0.,True,1863.0,EN
The event 'Battle of Auray' took place in United States of America.,False,France,EN
The event 'Battle of Auray' occurred in 1349.0.,False,1364.0,EN
The event 'Battle of Breitenfeld' took place in France.,False,Germany,EN
The event 'Battle of Breitenfeld' occurred in 1631.0.,True,1631.0,EN
The event 'Battle of Le Mans' took place in France.,True,France,EN
The event 'Battle of Le Mans' occurred in 1799.0.,True,1799.0,EN
The event 'Battle of Fayetteville' took place in Japan.,False,United States of America,EN
The event 'Battle of Fayetteville' occurred in 1862.0.,True,1862.0,EN
The event 'Battle of Seibagaharu' took place in Japan.,True,Japan,EN
The event 'Battle of Seibagaharu' occurred in 1364.0.,False,1534.0,EN
The event 'Battle of Vesontio' took place in United Kingdom.,False,France,EN
The event 'Battle of Vesontio' occurred in 68.0.,True,68.0,EN
The event 'Battle of Saint Mary's Church' took place in Germany.,False,United States of America,EN
The event 'Battle of Saint Mary's Church' occurred in 1864.0.,True,1864.0,EN
The event 'Battle of the Herrings' took place in France.,True,France,EN
The event 'Battle of the Herrings' occurred in 296.0.,False,1429.0,EN
The event 'Battle of Boucéel' took place in France.,True,France,EN
The event 'Battle of Boucéel' occurred in 1715.0.,False,1795.0,EN
The event 'Battle of Pont-Charrault' took place in United Kingdom.,False,France,EN
The event 'Battle of Pont-Charrault' occurred in 1793.0.,True,1793.0,EN
The event 'Battle of Mansura' took place in Japan.,False,United States of America,EN
The event 'Battle of Mansura' occurred in 1864.0.,True,1864.0,EN
The event 'Battle of Arles' took place in United States of America.,False,France,EN
The event 'Battle of Arles' occurred in 471.0.,True,471.0,EN
The event 'Battle of Chaffin's Farm' took place in United States of America.,True,United States of America,EN
The event 'Battle of Chaffin's Farm' occurred in 1864.0.,True,1864.0,EN
The event 'Yamashiro ikki' took place in Germany.,False,Japan,EN
The event 'Yamashiro ikki' occurred in 1637.0.,False,1500.0,EN
The event 'Battle of Bergerac' took place in Germany.,False,France,EN
The event 'Battle of Bergerac' occurred in 506.0.,False,1345.0,EN
The event 'Battle of Virden' took place in France.,False,United States of America,EN
The event 'Battle of Virden' occurred in 1898.0.,True,1898.0,EN
The event 'Battle of Massard Prairie' took place in Germany.,False,United States of America,EN
The event 'Battle of Massard Prairie' occurred in 1746.0.,False,1864.0,EN
The event 'Operation Michael' took place in Germany.,False,France,EN
The event 'Operation Michael' occurred in 1915.0.,False,1918.0,EN
The event 'Battle of Katata' took place in Japan.,True,Japan,EN
The event 'Battle of Katata' occurred in 1586.0.,True,1586.0,EN
The event 'Battle of Velasco' took place in United Kingdom.,False,United States of America,EN
The event 'Battle of Velasco' occurred in 1348.0.,False,1832.0,EN
The event 'Battle of Beaufort' took place in United States of America.,True,United States of America,EN
The event 'Battle of Beaufort' occurred in 1779.0.,True,1779.0,EN
The event 'Battle of the Saône' took place in Japan.,False,France,EN
The event 'Battle of the Saône' occurred in -51.0.,True,-51.0,EN
The event 'Battle of Minobaru' took place in United Kingdom.,False,Japan,EN
The event 'Battle of Minobaru' occurred in 1217.0.,False,1379.0,EN
The event 'Battle of Seyahara' took place in Japan.,True,Japan,EN
The event 'Battle of Seyahara' occurred in 1417.0.,True,1417.0,EN
The event 'Battle of Kashii' took place in Turkey.,False,Japan,EN
The event 'Battle of Kashii' occurred in 1615.0.,True,1615.0,EN
The event 'Battle of Vosges' took place in France.,True,France,EN
The event 'Battle of Vosges' occurred in 1880.0.,False,-57.0,EN
The event 'Battle of Kerguidu' took place in Germany.,False,France,EN
The event 'Battle of Kerguidu' occurred in 1793.0.,True,1793.0,EN
The event 'Battle of Denain' took place in United States of America.,False,France,EN
The event 'Battle of Denain' occurred in 871.0.,False,1712.0,EN
The event 'Battle of Ōsaki' took place in United Kingdom.,False,Japan,EN
The event 'Battle of Ōsaki' occurred in 1615.0.,False,1588.0,EN
The event 'Battle of Plaudren' took place in Japan.,False,France,EN
The event 'Battle of Plaudren' occurred in 1796.0.,True,1796.0,EN
The event 'Battle of Épinal' took place in Turkey.,False,France,EN
The event 'Battle of Épinal' occurred in 1513.0.,False,1814.0,EN
The event 'Battle of Honey Springs' took place in United States of America.,True,United States of America,EN
The event 'Battle of Honey Springs' occurred in 1863.0.,True,1863.0,EN
The event 'coronation of George VI and Elizabeth' took place in Turkey.,False,United Kingdom,EN
The event 'coronation of George VI and Elizabeth' occurred in 1937.0.,True,1937.0,EN
The event 'Battle of Boykin's Mill' took place in Japan.,False,United States of America,EN
The event 'Battle of Boykin's Mill' occurred in 1865.0.,True,1865.0,EN
The event 'Battle of Bonari Pass' took place in Germany.,False,Japan,EN
The event 'Battle of Bonari Pass' occurred in 1783.0.,False,1868.0,EN
The event 'Battle of Manzikert' took place in Germany.,False,Turkey,EN
The event 'Battle of Manzikert' occurred in 1441.0.,False,1071.0,EN
The event 'Battle of Tours' took place in United Kingdom.,False,France,EN
The event 'Battle of Tours' occurred in 1066.0.,False,732.0,EN
The event 'Battle of Chalonnes' took place in Germany.,False,France,EN
The event 'Battle of Chalonnes' occurred in 1856.0.,False,1795.0,EN
The event 'Battle of Augusta' took place in United States of America.,True,United States of America,EN
The event 'Battle of Augusta' occurred in 1592.0.,False,1862.0,EN
The event 'Battle of Mobile Bay' took place in Japan.,False,United States of America,EN
The event 'Battle of Mobile Bay' occurred in 1864.0.,True,1864.0,EN
The event 'Battle of Rich Mountain' took place in United States of America.,True,United States of America,EN
The event 'Battle of Rich Mountain' occurred in 1861.0.,True,1861.0,EN
The event 'Action of 22 January 1809' took place in United States of America.,False,France,EN
The event 'Action of 22 January 1809' occurred in 1635.0.,False,1809.0,EN
The event 'Battle of Hausbergen' took place in France.,True,France,EN
The event 'Battle of Hausbergen' occurred in 1064.0.,False,1262.0,EN
The event 'Battle of Hohenlinden' took place in Germany.,True,Germany,EN
The event 'Battle of Hohenlinden' occurred in 1800.0.,True,1800.0,EN
The event 'Battle of Coille Bhan' took place in Germany.,False,United Kingdom,EN
The event 'Battle of Coille Bhan' occurred in 1653.0.,False,1721.0,EN
The event 'Battle of Kirksville' took place in France.,False,United States of America,EN
The event 'Battle of Kirksville' occurred in 1862.0.,True,1862.0,EN
The event 'Second Battle of Fredericksburg' took place in United Kingdom.,False,United States of America,EN
The event 'Second Battle of Fredericksburg' occurred in 1863.0.,True,1863.0,EN
The event 'First Battle of Machecoul' took place in France.,True,France,EN
The event 'First Battle of Machecoul' occurred in 1842.0.,False,1793.0,EN
The event 'Battle of Barren Hill' took place in United States of America.,True,United States of America,EN
The event 'Battle of Barren Hill' occurred in 274.0.,False,1778.0,EN
The event 'Battle of Nerva Island' took place in Germany.,True,Germany,EN
The event 'Battle of Nerva Island' occurred in 1944.0.,True,1944.0,EN
The event 'Battle of Ardres' took place in France.,True,France,EN
The event 'Battle of Ardres' occurred in 1351.0.,True,1351.0,EN
The event 'Revolt of the papier timbré' took place in France.,True,France,EN
The event 'Revolt of the papier timbré' occurred in 1675.0.,True,1675.0,EN
The event 'Battle of St. James' took place in France.,True,France,EN
The event 'Battle of St. James' occurred in 1592.0.,False,1795.0,EN
The event 'Battle of Pont Saint-Louis' took place in France.,True,France,EN
The event 'Battle of Pont Saint-Louis' occurred in 981.0.,False,1940.0,EN
The event 'Battle of Sainte-Anne-d'Auray' took place in France.,True,France,EN
The event 'Battle of Sainte-Anne-d'Auray' occurred in 1815.0.,True,1815.0,EN
The event 'Centralia Massacre' took place in France.,False,United States of America,EN
The event 'Centralia Massacre' occurred in 1500.0.,False,1864.0,EN
The event 'Battle of Kawajiri' took place in United States of America.,False,Japan,EN
The event 'Battle of Kawajiri' occurred in 1185.0.,True,1185.0,EN
The event 'Battle of Achnashellach' took place in United Kingdom.,True,United Kingdom,EN
The event 'Battle of Achnashellach' occurred in 1505.0.,True,1505.0,EN
The event 'Battle of Castelnaudary' took place in France.,True,France,EN
The event 'Battle of Castelnaudary' occurred in 1632.0.,True,1632.0,EN
The event 'Battle of Camden' took place in Germany.,False,United States of America,EN
The event 'Battle of Camden' occurred in 1841.0.,False,1780.0,EN
The event 'First Battle of Artois' took place in Germany.,False,France,EN
The event 'First Battle of Artois' occurred in 798.0.,False,1914.0,EN
The event 'Battle of Uji' took place in France.,False,Japan,EN
The event 'Battle of Uji' occurred in 1435.0.,False,1184.0,EN
The event 'Chattanooga Campaign' took place in Japan.,False,United States of America,EN
The event 'Chattanooga Campaign' occurred in 471.0.,False,1863.0,EN
The event 'Battle of the Combahee River' took place in France.,False,United States of America,EN
The event 'Battle of the Combahee River' occurred in 1782.0.,True,1782.0,EN
The event 'Battle of Honey Hill' took place in United States of America.,True,United States of America,EN
The event 'Battle of Honey Hill' occurred in 1872.0.,False,1864.0,EN
The event 'Battle of Forum Julii' took place in France.,True,France,EN
The event 'Battle of Forum Julii' occurred in 69.0.,True,69.0,EN
The event 'Battle of Monterey' took place in United States of America.,True,United States of America,EN
The event 'Battle of Monterey' occurred in 1846.0.,True,1846.0,EN
The event 'Battle of the Hase' took place in France.,False,Germany,EN
The event 'Battle of the Hase' occurred in 1184.0.,False,783.0,EN
The event 'Battle of Guilford Court House' took place in United States of America.,True,United States of America,EN
The event 'Battle of Guilford Court House' occurred in 1642.0.,False,1781.0,EN
The event 'Battle of Zenmyōtsutsumi' took place in United States of America.,False,Japan,EN
The event 'Battle of Zenmyōtsutsumi' occurred in 1561.0.,True,1561.0,EN
The event 'Battle of Rio Grande City' took place in United States of America.,True,United States of America,EN
The event 'Battle of Rio Grande City' occurred in 1859.0.,True,1859.0,EN
The event 'Battle of Pouancé' took place in United Kingdom.,False,France,EN
The event 'Battle of Pouancé' occurred in 1511.0.,False,1066.0,EN
The event 'Second Battle of Cambrai' took place in France.,True,France,EN
The event 'Second Battle of Cambrai' occurred in 1805.0.,False,1918.0,EN
The event 'Second Battle of Orléans' took place in Germany.,False,France,EN
The event 'Second Battle of Orléans' occurred in 1870.0.,True,1870.0,EN
The event 'Battle of Lebanon' took place in Germany.,False,United States of America,EN
The event 'Battle of Lebanon' occurred in 604.0.,False,1863.0,EN
The event 'First Battle of Adobe Walls' took place in United Kingdom.,False,United States of America,EN
The event 'First Battle of Adobe Walls' occurred in 1588.0.,False,1864.0,EN
The event 'Action of 3 July 1810' took place in France.,True,France,EN
The event 'Action of 3 July 1810' occurred in 1870.0.,False,1810.0,EN
The event 'Battle of Tallushatchee' took place in France.,False,United States of America,EN
The event 'Battle of Tallushatchee' occurred in 1813.0.,True,1813.0,EN
The event 'Battle of La Horgne' took place in France.,True,France,EN
The event 'Battle of La Horgne' occurred in 1940.0.,True,1940.0,EN
The event 'Battle of Elkin's Ferry' took place in United States of America.,True,United States of America,EN
The event 'Battle of Elkin's Ferry' occurred in 1807.0.,False,1864.0,EN
The event 'Battle of Tōdai-ji Daibutsuden' took place in United States of America.,False,Japan,EN
The event 'Battle of Tōdai-ji Daibutsuden' occurred in 1567.0.,True,1567.0,EN
The event 'Battle of the Brick Church' took place in Germany.,False,United States of America,EN
The event 'Battle of the Brick Church' occurred in 1631.0.,False,1862.0,EN
The event 'Battle of the Head of Passes' took place in United States of America.,True,United States of America,EN
The event 'Battle of the Head of Passes' occurred in 500.0.,False,1861.0,EN
The event 'Siege of Verneuil' took place in Germany.,False,France,EN
The event 'Siege of Verneuil' occurred in 1173.0.,True,1173.0,EN
The event 'Action of 22 January 1783' took place in Turkey.,False,United States of America,EN
The event 'Action of 22 January 1783' occurred in 1783.0.,True,1783.0,EN
The event 'Battle of Kumegawa' took place in Turkey.,False,Japan,EN
The event 'Battle of Kumegawa' occurred in 47.0.,False,1333.0,EN
The event 'Battle of the Sambre' took place in Turkey.,False,France,EN
The event 'Battle of the Sambre' occurred in 687.0.,False,1918.0,EN
The event 'Second Battle of Fort Fisher' took place in Japan.,False,United States of America,EN
The event 'Second Battle of Fort Fisher' occurred in 1538.0.,False,1865.0,EN
The event 'Battle of Frohse' took place in Germany.,True,Germany,EN
The event 'Battle of Frohse' occurred in 1278.0.,True,1278.0,EN
The event 'Battle of Lifré' took place in France.,True,France,EN
The event 'Battle of Lifré' occurred in 1631.0.,False,1794.0,EN
The event 'Battle of Ambos Nogales' took place in France.,False,United States of America,EN
The event 'Battle of Ambos Nogales' occurred in 457.0.,False,1918.0,EN
The event 'Battle of Shido' took place in Japan.,True,Japan,EN
The event 'Battle of Shido' occurred in 1325.0.,False,1185.0,EN
The event 'Battle of Wild Cat Creek' took place in Germany.,False,United States of America,EN
The event 'Battle of Wild Cat Creek' occurred in 1156.0.,False,1812.0,EN
The event 'Battle of Les Ponts-de-Cé' took place in Japan.,False,France,EN
The event 'Battle of Les Ponts-de-Cé' occurred in 1545.0.,False,1620.0,EN
The event 'Battle of Hakone-Takenoshita' took place in Japan.,True,Japan,EN
The event 'Battle of Hakone-Takenoshita' occurred in 1336.0.,True,1336.0,EN
The event 'Battle of Sailor's Creek' took place in Japan.,False,United States of America,EN
The event 'Battle of Sailor's Creek' occurred in 1848.0.,False,1865.0,EN
The event 'Battle of Shōkoku-ji' took place in United States of America.,False,Japan,EN
The event 'Battle of Shōkoku-ji' occurred in 1551.0.,True,1551.0,EN
The event 'Battle of Strasbourg' took place in United States of America.,False,France,EN
The event 'Battle of Strasbourg' occurred in 357.0.,True,357.0,EN
The event 'Battle of Monmouth Courthouse' took place in United States of America.,True,United States of America,EN
The event 'Battle of Monmouth Courthouse' occurred in 1254.0.,False,1778.0,EN
