language,question,correct_answer
TR,Anavatan Çağırıyor'in yaratıcısı kim?,Yevgeniy Vuçetiç
TR,Anavatan Çağırıyor hangi yılda tamamlandı?,1959
JA,母なる祖国像 の創作者は誰ですか？,エヴゲニ・ヴチェティチ
JA,母なる祖国像 は何年に完成しましたか？,1959
EN,Who is the creator of Fountan at Theater Square?,Yevgeny Viktorovich Vuchetich
EN,In which year was Fountan at Theater Square completed?,1936
FR,Qui est le créateur de Fountan at Theater Square?,Ievgueni Voutchetitch
FR,En quelle année Fountan at Theater Square a-t-il été achevé?,1936
DE,Wer ist der Schöpfer von Fountan at Theater Square?,Jewgeni Wiktorowitsch Wutschetitsch
DE,In welchem Jahr wurde Fountan at Theater Square fertiggestellt?,1936
TR,Fountan at Theater Square'in yaratıcısı kim?,Yevgeniy Vuçetiç
TR,Fountan at Theater Square hangi yılda tamamlandı?,1936
JA,Fountan at Theater Square の創作者は誰ですか？,エヴゲニ・ヴチェティチ
JA,Fountan at Theater Square は何年に完成しましたか？,1936
EN,Who is the creator of Soviet War Memorial?,Lev Kerbel
EN,In which year was Soviet War Memorial completed?,1945
FR,Qui est le créateur de mémorial soviétique?,Lev Kerbel
FR,En quelle année mémorial soviétique a-t-il été achevé?,1945
DE,Wer ist der Schöpfer von Sowjetisches Ehrenmal mit Soldatenfigur?,Lew Jefimowitsch Kerbel
DE,In welchem Jahr wurde Sowjetisches Ehrenmal mit Soldatenfigur fertiggestellt?,1945
TR,Sovyet Savaş Anıtı'in yaratıcısı kim?,Lev Kerbel
TR,Sovyet Savaş Anıtı hangi yılda tamamlandı?,1945
JA,ソビエト戦勝記念碑 の創作者は誰ですか？,レフ・ケルベリ
JA,ソビエト戦勝記念碑 は何年に完成しましたか？,1945
EN,Who is the creator of Sistine Chapel?,Baccio Pontelli
EN,In which year was Sistine Chapel completed?,1473
FR,Qui est le créateur de chapelle Sixtine?,Baccio Pontelli
FR,En quelle année chapelle Sixtine a-t-il été achevé?,1473
DE,Wer ist der Schöpfer von Sixtinische Kapelle?,Baccio Pontelli
DE,In welchem Jahr wurde Sixtinische Kapelle fertiggestellt?,1473
TR,Sistina Şapeli'in yaratıcısı kim?,Baccio Pontelli
TR,Sistina Şapeli hangi yılda tamamlandı?,1473
JA,システィーナ礼拝堂 の創作者は誰ですか？,バッチョ・ポンテッリ
JA,システィーナ礼拝堂 は何年に完成しましたか？,1473
EN,"Who is the creator of Józef Piłsudski monument, Katowice?",Antun Augustinčić
EN,"In which year was Józef Piłsudski monument, Katowice completed?",1993
FR,"Qui est le créateur de Józef Piłsudski monument, Katowice?",Antun Augustinčić
FR,"En quelle année Józef Piłsudski monument, Katowice a-t-il été achevé?",1993
DE,Wer ist der Schöpfer von Józef-Piłsudski-Denkmal in Katowice?,Antun Augustinčić
DE,In welchem Jahr wurde Józef-Piłsudski-Denkmal in Katowice fertiggestellt?,1993
TR,"Józef Piłsudski monument, Katowice'in yaratıcısı kim?",Antun Augustinčić
TR,"Józef Piłsudski monument, Katowice hangi yılda tamamlandı?",1993
JA,"Józef Piłsudski monument, Katowice の創作者は誰ですか？",アントゥン・アウグスティンチッチ
JA,"Józef Piłsudski monument, Katowice は何年に完成しましたか？",1993
EN,Who is the creator of Silesian Insurgents' Monument?,Wojciech Zabłocki
EN,In which year was Silesian Insurgents' Monument completed?,1967
FR,Qui est le créateur de Silesian Insurgents' Monument?,Wojciech Zabłocki
FR,En quelle année Silesian Insurgents' Monument a-t-il été achevé?,1967
DE,Wer ist der Schöpfer von Denkmal für die schlesischen Aufständischen?,Wojciech Zabłocki
DE,In welchem Jahr wurde Denkmal für die schlesischen Aufständischen fertiggestellt?,1967
TR,Silesian Insurgents' Monument'in yaratıcısı kim?,Wojciech Zabłocki
TR,Silesian Insurgents' Monument hangi yılda tamamlandı?,1967
JA,Silesian Insurgents' Monument の創作者は誰ですか？,Wojciech Zabłocki
JA,Silesian Insurgents' Monument は何年に完成しましたか？,1967
EN,Who is the creator of Manneken Pis?,Hiëronymus Duquesnoy the Elder
EN,In which year was Manneken Pis completed?,1619
FR,Qui est le créateur de Manneken Pis?,Jérôme Duquesnoy l'Ancien
FR,En quelle année Manneken Pis a-t-il été achevé?,1619
DE,Wer ist der Schöpfer von Manneken Pis?,Jérôme Duquesnoy l'Ancien
DE,In welchem Jahr wurde Manneken Pis fertiggestellt?,1619
TR,Manneken Pis'in yaratıcısı kim?,Hiëronymus Duquesnoy the Elder
TR,Manneken Pis hangi yılda tamamlandı?,1619
JA,小便小僧 の創作者は誰ですか？,Hiëronymus Duquesnoy the Elder
JA,小便小僧 は何年に完成しましたか？,1619
EN,Who is the creator of Racławice Panorama?,Jan Styka
EN,In which year was Racławice Panorama completed?,1980
FR,Qui est le créateur de Panorama de Racławicka?,Jan Styka
FR,En quelle année Panorama de Racławicka a-t-il été achevé?,1980
DE,Wer ist der Schöpfer von Panorama von Racławice?,Jan Styka
DE,In welchem Jahr wurde Panorama von Racławice fertiggestellt?,1980
TR,Racławice Panorama'in yaratıcısı kim?,Jan Styka
TR,Racławice Panorama hangi yılda tamamlandı?,1980
JA,Racławice Panorama の創作者は誰ですか？,ヤン・スティカ
JA,Racławice Panorama は何年に完成しましたか？,1980
EN,Who is the creator of Christ the Redeemer?,Paul Landowski
EN,In which year was Christ the Redeemer completed?,1920
FR,Qui est le créateur de statue du Christ Rédempteur?,Paul Landowski
FR,En quelle année statue du Christ Rédempteur a-t-il été achevé?,1920
DE,Wer ist der Schöpfer von Cristo Redentor?,Paul Landowski
DE,In welchem Jahr wurde Cristo Redentor fertiggestellt?,1920
TR,Kurtarıcı İsa heykeli'in yaratıcısı kim?,Paul Landowski
TR,Kurtarıcı İsa heykeli hangi yılda tamamlandı?,1920
JA,コルコバードのキリスト像 の創作者は誰ですか？,ポール・ランドスキ
JA,コルコバードのキリスト像 は何年に完成しましたか？,1920
EN,Who is the creator of Lincoln Memorial?,Daniel Chester French
EN,In which year was Lincoln Memorial completed?,1922
FR,Qui est le créateur de Lincoln Memorial?,Daniel Chester French
FR,En quelle année Lincoln Memorial a-t-il été achevé?,1922
DE,Wer ist der Schöpfer von Lincoln Memorial?,Daniel Chester French
DE,In welchem Jahr wurde Lincoln Memorial fertiggestellt?,1922
TR,Lincoln Anıtı'in yaratıcısı kim?,Daniel Chester French
TR,Lincoln Anıtı hangi yılda tamamlandı?,1922
JA,リンカーン記念館 の創作者は誰ですか？,ダニエル・チェスター・フレンチ
JA,リンカーン記念館 は何年に完成しましたか？,1922
EN,Who is the creator of Statue of Abraham Lincoln?,Daniel Chester French
EN,In which year was Statue of Abraham Lincoln completed?,1920
FR,Qui est le créateur de Abraham Lincoln?,Daniel Chester French
FR,En quelle année Abraham Lincoln a-t-il été achevé?,1920
DE,Wer ist der Schöpfer von Abraham Lincoln?,Daniel Chester French
DE,In welchem Jahr wurde Abraham Lincoln fertiggestellt?,1920
TR,Statue of Abraham Lincoln'in yaratıcısı kim?,Daniel Chester French
TR,Statue of Abraham Lincoln hangi yılda tamamlandı?,1920
JA,Statue of Abraham Lincoln の創作者は誰ですか？,ダニエル・チェスター・フレンチ
JA,Statue of Abraham Lincoln は何年に完成しましたか？,1920
EN,Who is the creator of Alexander Column?,Auguste de Montferrand
EN,In which year was Alexander Column completed?,1834
FR,Qui est le créateur de colonne d'Alexandre?,Auguste Ricard de Montferrand
FR,En quelle année colonne d'Alexandre a-t-il été achevé?,1834
DE,Wer ist der Schöpfer von Alexandersäule?,Auguste de Montferrand
DE,In welchem Jahr wurde Alexandersäule fertiggestellt?,1834
TR,Aleksandr Sütunu'in yaratıcısı kim?,Auguste Ricard de Montferrand
TR,Aleksandr Sütunu hangi yılda tamamlandı?,1834
JA,アレクサンドルの円柱 の創作者は誰ですか？,オーギュスト・モンフェラン
JA,アレクサンドルの円柱 は何年に完成しましたか？,1834
EN,Who is the creator of Washington Monument?,Robert Mills
EN,In which year was Washington Monument completed?,1848
FR,Qui est le créateur de Washington Monument?,Robert Mills
FR,En quelle année Washington Monument a-t-il été achevé?,1848
DE,Wer ist der Schöpfer von Washington Monument?,Robert Mills
DE,In welchem Jahr wurde Washington Monument fertiggestellt?,1848
TR,Washington Anıtı'in yaratıcısı kim?,Robert Mills
TR,Washington Anıtı hangi yılda tamamlandı?,1848
JA,ワシントン記念塔 の創作者は誰ですか？,ロバート・ミルズ (建築家)
JA,ワシントン記念塔 は何年に完成しましたか？,1848
EN,Who is the creator of Lev!?,Gustavo Aguerre
EN,In which year was Lev! completed?,2012
FR,Qui est le créateur de Lev!?,Gustavo Aguerre
FR,En quelle année Lev! a-t-il été achevé?,2012
DE,Wer ist der Schöpfer von Lev!?,Gustavo Aguerre
DE,In welchem Jahr wurde Lev! fertiggestellt?,2012
TR,Lev!'in yaratıcısı kim?,Gustavo Aguerre
TR,Lev! hangi yılda tamamlandı?,2012
JA,Lev! の創作者は誰ですか？,Gustavo Aguerre
JA,Lev! は何年に完成しましたか？,2012
EN,Who is the creator of Saint Francis Fountain?,Giannino Castiglioni
EN,In which year was Saint Francis Fountain completed?,1926
FR,Qui est le créateur de Fontaine de Saint François?,Giannino Castiglioni
FR,En quelle année Fontaine de Saint François a-t-il été achevé?,1926
DE,Wer ist der Schöpfer von Saint Francis Fountain?,Giannino Castiglioni
DE,In welchem Jahr wurde Saint Francis Fountain fertiggestellt?,1926
TR,Saint Francis Fountain'in yaratıcısı kim?,Giannino Castiglioni
TR,Saint Francis Fountain hangi yılda tamamlandı?,1926
JA,Saint Francis Fountain の創作者は誰ですか？,ジャンニーノ・カスティリオーニ
JA,Saint Francis Fountain は何年に完成しましたか？,1926
EN,Who is the creator of Rosebud?,Michael Perkhin
EN,In which year was Rosebud completed?,1895
FR,Qui est le créateur de Rosebud?,Mikhaïl Perkhine
FR,En quelle année Rosebud a-t-il été achevé?,1895
DE,Wer ist der Schöpfer von Rosebud?,Michail Jewlampjewitsch Perchin
DE,In welchem Jahr wurde Rosebud fertiggestellt?,1895
TR,Rosebud'in yaratıcısı kim?,Michael Perkhin
TR,Rosebud hangi yılda tamamlandı?,1895
JA,薔薇のつぼみ の創作者は誰ですか？,Michael Perkhin
JA,薔薇のつぼみ は何年に完成しましたか？,1895
EN,Who is the creator of Faun Fountain in Gliwice?,Hans Dammann
EN,In which year was Faun Fountain in Gliwice completed?,1928
FR,Qui est le créateur de Faun Fountain in Gliwice?,Hans Dammann
FR,En quelle année Faun Fountain in Gliwice a-t-il été achevé?,1928
DE,Wer ist der Schöpfer von Brunnen mit tanzenden Faunen?,Hans Dammann
DE,In welchem Jahr wurde Brunnen mit tanzenden Faunen fertiggestellt?,1928
TR,Faun Fountain in Gliwice'in yaratıcısı kim?,Hans Dammann
TR,Faun Fountain in Gliwice hangi yılda tamamlandı?,1928
JA,Faun Fountain in Gliwice の創作者は誰ですか？,ハンス・ダンマン
JA,Faun Fountain in Gliwice は何年に完成しましたか？,1928
EN,Who is the creator of Trevi Fountain?,Nicola Salvi
EN,In which year was Trevi Fountain completed?,1735
FR,Qui est le créateur de fontaine de Trevi?,Nicola Salvi
FR,En quelle année fontaine de Trevi a-t-il été achevé?,1735
DE,Wer ist der Schöpfer von Trevi-Brunnen?,Nicola Salvi
DE,In welchem Jahr wurde Trevi-Brunnen fertiggestellt?,1735
TR,Trevi Çeşmesi'in yaratıcısı kim?,Nicola Salvi
TR,Trevi Çeşmesi hangi yılda tamamlandı?,1735
JA,トレヴィの泉 の創作者は誰ですか？,ニコラ・サルヴィ
JA,トレヴィの泉 は何年に完成しましたか？,1735
EN,Who is the creator of Monumento ai Caduti di Niguarda?,Dante Parini
EN,In which year was Monumento ai Caduti di Niguarda completed?,1924
FR,Qui est le créateur de Monumento ai Caduti di Niguarda?,Dante Parini
FR,En quelle année Monumento ai Caduti di Niguarda a-t-il été achevé?,1924
DE,Wer ist der Schöpfer von Monumento ai Caduti di Niguarda?,Dante Parini
DE,In welchem Jahr wurde Monumento ai Caduti di Niguarda fertiggestellt?,1924
TR,Monumento ai Caduti di Niguarda'in yaratıcısı kim?,Dante Parini
TR,Monumento ai Caduti di Niguarda hangi yılda tamamlandı?,1924
JA,Monumento ai Caduti di Niguarda の創作者は誰ですか？,Dante Parini
JA,Monumento ai Caduti di Niguarda は何年に完成しましたか？,1924
EN,Who is the creator of Residential House of Police Officers?,Alexander Romanovich Bach
EN,In which year was Residential House of Police Officers completed?,1899
FR,Qui est le créateur de Residential House of Police Officers?,Alexander Romanovich Bach
FR,En quelle année Residential House of Police Officers a-t-il été achevé?,1899
DE,Wer ist der Schöpfer von Residential House of Police Officers?,Alexander Romanovich Bach
DE,In welchem Jahr wurde Residential House of Police Officers fertiggestellt?,1899
TR,Residential House of Police Officers'in yaratıcısı kim?,Alexander Romanovich Bach
TR,Residential House of Police Officers hangi yılda tamamlandı?,1899
JA,Residential House of Police Officers の創作者は誰ですか？,Alexander Romanovich Bach
JA,Residential House of Police Officers は何年に完成しましたか？,1899
EN,Who is the creator of Statue of Lenin in Nizhny Tagil?,Vasily Kozlov
EN,In which year was Statue of Lenin in Nizhny Tagil completed?,1924
FR,Qui est le créateur de Statue of Lenin in Nizhny Tagil?,Vasily Kozlov
FR,En quelle année Statue of Lenin in Nizhny Tagil a-t-il été achevé?,1924
DE,Wer ist der Schöpfer von Statue of Lenin in Nizhny Tagil?,Wassili Wassiljewitsch Koslow
DE,In welchem Jahr wurde Statue of Lenin in Nizhny Tagil fertiggestellt?,1924
TR,Statue of Lenin in Nizhny Tagil'in yaratıcısı kim?,Vasily Kozlov
TR,Statue of Lenin in Nizhny Tagil hangi yılda tamamlandı?,1924
JA,Statue of Lenin in Nizhny Tagil の創作者は誰ですか？,Vasily Kozlov
JA,Statue of Lenin in Nizhny Tagil は何年に完成しましたか？,1924
EN,"Who is the creator of Sculptural composition ""Egyptian Pyramid""?",Dmitry Lyndin
EN,"In which year was Sculptural composition ""Egyptian Pyramid"" completed?",2008
FR,Qui est le créateur de Composition sculpturale «Pyramide égyptienne»?,Dmitry Lyndin
FR,En quelle année Composition sculpturale «Pyramide égyptienne» a-t-il été achevé?,2008
DE,"Wer ist der Schöpfer von Sculptural composition ""Egyptian Pyramid""?",Dmitri Wassiljewitsch Lyndin
DE,"In welchem Jahr wurde Sculptural composition ""Egyptian Pyramid"" fertiggestellt?",2008
TR,"Sculptural composition ""Egyptian Pyramid""'in yaratıcısı kim?",Dmitry Lyndin
TR,"Sculptural composition ""Egyptian Pyramid"" hangi yılda tamamlandı?",2008
JA,"Sculptural composition ""Egyptian Pyramid"" の創作者は誰ですか？",Dmitry Lyndin
JA,"Sculptural composition ""Egyptian Pyramid"" は何年に完成しましたか？",2008
EN,"Who is the creator of Cavendish Arcade, Buxton?",Brian Clarke
EN,"In which year was Cavendish Arcade, Buxton completed?",1853
FR,"Qui est le créateur de Cavendish Arcade, Buxton?",Brian Clarke
FR,"En quelle année Cavendish Arcade, Buxton a-t-il été achevé?",1853
DE,"Wer ist der Schöpfer von Cavendish Arcade, Buxton?",Brian Clarke
DE,"In welchem Jahr wurde Cavendish Arcade, Buxton fertiggestellt?",1853
TR,"Cavendish Arcade, Buxton'in yaratıcısı kim?",Brian Clarke
TR,"Cavendish Arcade, Buxton hangi yılda tamamlandı?",1853
JA,"Cavendish Arcade, Buxton の創作者は誰ですか？",ブライアン・クラーク
JA,"Cavendish Arcade, Buxton は何年に完成しましたか？",1853
EN,Who is the creator of Oslo Opera House?,Craig Dykers
EN,In which year was Oslo Opera House completed?,2008
FR,Qui est le créateur de opéra d'Oslo?,Craig Dykers
FR,En quelle année opéra d'Oslo a-t-il été achevé?,2008
DE,Wer ist der Schöpfer von Opernhaus Oslo?,Craig Dykers
DE,In welchem Jahr wurde Opernhaus Oslo fertiggestellt?,2008
TR,Oslo Opera House'in yaratıcısı kim?,Craig Dykers
TR,Oslo Opera House hangi yılda tamamlandı?,2008
JA,オスロ・オペラハウス の創作者は誰ですか？,Craig Dykers
JA,オスロ・オペラハウス は何年に完成しましたか？,2008
EN,Who is the creator of Dinosaur Park?,Emmet Sullivan
EN,In which year was Dinosaur Park completed?,1936
FR,Qui est le créateur de Dinosaur Park?,Emmet Sullivan
FR,En quelle année Dinosaur Park a-t-il été achevé?,1936
DE,Wer ist der Schöpfer von Dinosaur Park?,Emmet Sullivan
DE,In welchem Jahr wurde Dinosaur Park fertiggestellt?,1936
TR,Dinosaur Park'in yaratıcısı kim?,Emmet Sullivan
TR,Dinosaur Park hangi yılda tamamlandı?,1936
JA,Dinosaur Park の創作者は誰ですか？,Emmet Sullivan
JA,Dinosaur Park は何年に完成しましたか？,1936
EN,Who is the creator of Paradise Garden?,Howard Finster
EN,In which year was Paradise Garden completed?,1961
FR,Qui est le créateur de Paradise Garden?,Howard Finster
FR,En quelle année Paradise Garden a-t-il été achevé?,1961
DE,Wer ist der Schöpfer von Paradise Garden?,Howard Finster
DE,In welchem Jahr wurde Paradise Garden fertiggestellt?,1961
TR,Paradise Garden'in yaratıcısı kim?,Howard Finster
TR,Paradise Garden hangi yılda tamamlandı?,1961
JA,Paradise Garden の創作者は誰ですか？,Howard Finster
JA,Paradise Garden は何年に完成しましたか？,1961
EN,Who is the creator of Elephantine Colossus?,James V. Lafferty
EN,In which year was Elephantine Colossus completed?,1885
FR,Qui est le créateur de Elephantine Colossus?,James V. Lafferty
FR,En quelle année Elephantine Colossus a-t-il été achevé?,1885
DE,Wer ist der Schöpfer von Elephantine Colossus?,James V. Lafferty
DE,In welchem Jahr wurde Elephantine Colossus fertiggestellt?,1885
TR,Elephantine Colossus'in yaratıcısı kim?,James V. Lafferty
TR,Elephantine Colossus hangi yılda tamamlandı?,1885
JA,コニーアイランド・エレファント の創作者は誰ですか？,James V. Lafferty
JA,コニーアイランド・エレファント は何年に完成しましたか？,1885
EN,Who is the creator of Karolinka and Karlik's bench?,Robert Sobociński
EN,In which year was Karolinka and Karlik's bench completed?,2005
FR,Qui est le créateur de Karolinka and Karlik's bench?,Robert Sobociński
FR,En quelle année Karolinka and Karlik's bench a-t-il été achevé?,2005
DE,Wer ist der Schöpfer von Bank von Karolinka und Karlik?,Robert Sobociński
DE,In welchem Jahr wurde Bank von Karolinka und Karlik fertiggestellt?,2005
TR,Karolinka and Karlik's bench'in yaratıcısı kim?,Robert Sobociński
TR,Karolinka and Karlik's bench hangi yılda tamamlandı?,2005
JA,Karolinka and Karlik's bench の創作者は誰ですか？,Robert Sobociński
JA,Karolinka and Karlik's bench は何年に完成しましたか？,2005
EN,Who is the creator of Monument to the Victims of Katyn in Katowice?,Stanisław Hochuł
EN,In which year was Monument to the Victims of Katyn in Katowice completed?,2001
FR,Qui est le créateur de Monument to the Victims of Katyn in Katowice?,Stanisław Hochuł
FR,En quelle année Monument to the Victims of Katyn in Katowice a-t-il été achevé?,2001
DE,Wer ist der Schöpfer von Denkmal für die Opfer von Katyn in Katowice?,Stanisław Hochuł
DE,In welchem Jahr wurde Denkmal für die Opfer von Katyn in Katowice fertiggestellt?,2001
TR,Monument to the Victims of Katyn in Katowice'in yaratıcısı kim?,Stanisław Hochuł
TR,Monument to the Victims of Katyn in Katowice hangi yılda tamamlandı?,2001
JA,Monument to the Victims of Katyn in Katowice の創作者は誰ですか？,Stanisław Hochuł
JA,Monument to the Victims of Katyn in Katowice は何年に完成しましたか？,2001
EN,Who is the creator of Stanisław Moniuszko monument in Katowice?,Wincenty Chorembalski
