question,options,correct_letter,language
Who is the creator of Ankeruhr?,"{'A': 'Franz von Matsch', 'B': 'Gion Nankai', 'C': 'Martin Rajniš', 'D': 'レフ・ケルベリ'}",A,EN
Who is the creator of Monument to Party Founding?,"{'A': 'Nonoyama Kozan', 'B': 'Santō Kyōden', 'C': 'Mansudae Art Studio', 'D': 'Georges Michel'}",C,EN
Who is the creator of statue of Coronation of Stephen I in Esztergom?,"{'A': 'Miklós Melocco', 'B': 'Nikolai Wassiljewitsch Tomski', 'C': 'ピサネロ', 'D': 'Matsuno Chikanobu'}",A,EN
Who is the creator of St. Jacob's Monument?,"{'A': 'École Kano', 'B': '菱川師宣', 'C': 'Ferdinand Schlöth', 'D': 'Kameda Bōsai'}",C,EN
Who is the creator of Karl Marx Memorial?,"{'A': 'Kenkō Shōkei', 'B': '葛飾北斎', 'C': 'Girolamo Genga', 'D': 'Hans Kies'}",D,EN
Who is the creator of Monument voor de Benzinepomp?,"{'A': 'アントワーヌ＝ジャン・グロ', 'B': 'Henk Visch', 'C': 'Mori Yūsen', 'D': 'Giuseppe De Nittis'}",B,EN
Who is the creator of Kowdiar Palace?,"{'A': 'Vincent van Gogh', 'B': 'Odilon Redon', 'C': 'Chithira Thirunal Balarama Varma', 'D': 'Rafael de la Cova'}",C,EN
Who is the creator of Swing?,"{'A': 'Arie Berkulin', 'B': 'Jean-Baptiste Belloc', 'C': 'Richard Westmacott', 'D': 'Georgy Frangulyan'}",A,EN
Who is the creator of Lampenmaakstertje?,"{'A': 'Anatole Guillot', 'B': 'ジャクリーヌ・マルヴァル', 'C': 'Jos van Riemsdijk', 'D': '鳥居清重'}",C,EN
Who is the creator of Thun Panorama?,"{'A': 'Armand Étienne Bracony', 'B': 'Marquard Wocher', 'C': 'Otto Panzner', 'D': '釧雲泉'}",B,EN
Who is the creator of Main entrance of the 1900 Paris Exhibition?,"{'A': 'Anatole Guillot', 'B': '雲谷等璠', 'C': '李公麟', 'D': 'ルネ・ド・サン＝マルソー'}",A,EN
Who is the creator of Fontana del Sacramento?,"{'A': 'アルフレート・フルドリチュカ', 'B': 'Sándor Mikus', 'C': '鳥高斎栄昌', 'D': 'Giovanni Vasanzio'}",D,EN
Who is the creator of Princess Olha Monument?,"{'A': 'Ivan Kavaleridze', 'B': 'ジョルジュ・スーラ', 'C': 'Zhou Wenju', 'D': 'ヴェラ・ムーヒナ'}",A,EN
Who is the creator of Monument to Yaroslav the Wise (Kyiv)?,"{'A': 'マルク・アントコリスキー', 'B': 'Mansudae Overseas Projects', 'C': 'Aljaksej Hlebau', 'D': 'Ivan Kavaleridze'}",D,EN
Who is the creator of Soviet War Memorial Schönholzer Heide?,"{'A': '吉山明兆', 'B': 'Albert Hodge', 'C': 'Ivan Pershudchev', 'D': '成忍'}",C,EN
Who is the creator of Anyanwu?,"{'A': 'グレイヒャン卿', 'B': '高階隆兼', 'C': 'Cyprien Godebski', 'D': 'Ben Enwonwu'}",D,EN
Who is the creator of Monument to Henryk Sienkiewicz in Rome?,"{'A': 'Czesław Dźwigaj', 'B': 'Mitsuhiro Karasumaru', 'C': 'Rodolfo Bernardelli', 'D': 'ヘンドリック・シェフェール'}",A,EN
"Who is the creator of Grön eld, Umeå?","{'A': 'Pauline Auzou', 'B': 'Gustave Moreau', 'C': 'Vicke Lindstrand', 'D': 'Paul Signac'}",C,EN
Who is the creator of Wellington Cenotaph?,"{'A': 'Michail Ossipowitsch Mikeschin', 'B': 'Augustyn Locci', 'C': 'Richard Oliver Gross', 'D': 'Weniamin Jakowlewitsch Bogoljubow'}",C,EN
Who is the creator of Dame Gracie Fields Statue?,"{'A': 'Kanō Eitoku', 'B': 'マチュラン・モロー', 'C': 'Albrecht Kauw', 'D': 'Sean Hedges-Quinn'}",D,EN
Who is the creator of Crypt of the Cathedral of Christ the King in Katowice?,"{'A': 'Joanna Piech-Kalarus', 'B': 'Henri Fantin-Latour', 'C': 'Charles Müller', 'D': 'Aleksandr Vasilevitsj Vasjakin'}",A,EN
Who is the creator of Monument to Gliwice inhabitants victims of wars and totalitarianism?,"{'A': 'Krzysztof Nitsch', 'B': 'Edmond Tigranyan', 'C': 'Sō Shiseki', 'D': 'Hadrianus'}",A,EN
Who is the creator of Michał Doliwo-Dobrowolski monument in Szczecin?,"{'A': 'Marian Molenda', 'B': 'Andreas Schlüter', 'C': 'Ludwika Nitschowa', 'D': 'John Steell'}",A,EN
Who is the creator of Rzhev Memorial to Soviet Soldier?,"{'A': 'Andrey Korobtsov', 'B': 'Jules Pascin', 'C': 'Émile Pichot', 'D': 'Sengai'}",A,EN
Who is the creator of Shepherd Gate Clock?,"{'A': 'Daniel Chester French', 'B': 'Charles Shepherd', 'C': 'Franz von Matsch', 'D': 'ジャン＝バティスト・グルーズ'}",B,EN
Who is the creator of The Eel of Mars?,"{'A': 'Nikolay Andreyev', 'B': 'Ferdinand Humbert', 'C': 'Salvatore Garau', 'D': 'Benediktas Gylys Foundation'}",C,EN
Who is the creator of Statue of Sir Frank Athelstane Swettenham?,"{'A': 'アルベール・エルネスト・カリエ＝ベルーズ', 'B': 'Charles Leonard Hartwell', 'C': 'Brigitte Kowanz', 'D': 'Francesco Confalonieri'}",B,EN
Who is the creator of La Crapaute?,"{'A': 'Dominique Pierre', 'B': 'Rosalie Filleul', 'C': 'Oda Kaisen', 'D': 'Ivan Martos'}",A,EN
Who is the creator of Lublin–Vilnius Portal?,"{'A': 'ピエール・ピュヴィス・ド・シャヴァンヌ', 'B': 'Benediktas Gylys Foundation', 'C': 'アルベール・ロビダ', 'D': 'Spartak Knteghtsyan'}",B,EN
Who is the creator of Vilnius-Lublin Portal?,"{'A': 'Urs Eggenschwyler', 'B': 'Benediktas Gylys Foundation', 'C': 'Hōen', 'D': '喜多元規'}",B,EN
Who is the creator of Rietje Koane?,"{'A': 'Jacques Froment-Meurice', 'B': 'Conrad Freyberg', 'C': ""Hendricus van 't Veld"", 'D': 'Ludwig Habich'}",C,EN
Who is the creator of Krystyna Bochenek Monument at Grunwaldzki Square in Katowice?,"{'A': 'Katarzyna Fober', 'B': '池玉瀾', 'C': 'Naris', 'D': 'Paul Richer'}",A,EN
Who is the creator of Fondation suisse?,"{'A': 'オルテンス・オードブール＝レスコー', 'B': 'Tomasz Dykas', 'C': 'André Derain', 'D': 'Le Corbusier'}",D,EN
Who is the creator of Bourbaki monument?,"{'A': 'Kharkevich', 'B': 'ロドルフォ・ベルナルデリ', 'C': 'Sergey Dmitriyevich Merkurov', 'D': 'Frédéric Auguste Bartholdi'}",D,EN
Who is the creator of Villa Lemm?,"{'A': 'Utagawa Sadahide', 'B': 'Gaietà Buïgas i Monravà', 'C': 'Franz Ludwig Späth', 'D': 'Genki (peintre)'}",C,EN
Who is the creator of Kristek House?,"{'A': 'Cyprian Godebski', 'B': 'Lubo Kristek', 'C': 'Valentin Grigorevitsj Sjtolko', 'D': 'Adèle Romany'}",B,EN
Who is the creator of Horse Tamers?,"{'A': 'Mitsuhiro Karasumaru', 'B': 'Vladimir Grachyov', 'C': 'Peter Clodt Von Jürgensburg', 'D': 'Kanō Akinobu'}",C,EN
Who is the creator of Saint-Germain-d’Auxerre church?,"{'A': 'Louis Hersent', 'B': 'Fernand Léger', 'C': 'Mario Rutelli', 'D': 'Pierre Mignard I'}",B,EN
Who is the creator of El Peix d'Or?,"{'A': 'Ilya Shanin', 'B': 'Frank Gehry', 'C': 'ピエール・オーギュスト・コット', 'D': 'Utagawa Toyokuni II'}",B,EN
Who is the creator of The Allegory of Science and Clio?,"{'A': 'Yuri Minasyan', 'B': 'Ike Gyokuran', 'C': 'モーリス・ド・ヴラマンク', 'D': 'Albert Wolff'}",D,EN
Who is the creator of Hegel memorial?,"{'A': 'Gustav Bläser', 'B': 'Stefano Sparano', 'C': 'Gustave Crauk', 'D': 'Jean-Baptiste Charles Desgrange'}",A,EN
Who is the creator of Rudolf Virchow Monument?,"{'A': 'Giuseppe Romagnoli', 'B': 'Georgi Kiselinchev', 'C': 'Spiridon Georgescu', 'D': 'Fritz Klimsch'}",D,EN
Who is the creator of Statue of Theodor Mommsen?,"{'A': 'Adolf Brütt', 'B': 'Jean-Augustin Franquelin', 'C': 'Jules Trayer', 'D': 'Victoria-Mélita de Saxe-Cobourg-Gotha'}",A,EN
Who is the creator of Der Sieger?,"{'A': 'エドゥアール・マネ', 'B': 'Louis Tuaillon', 'C': 'フリッツ・クリムシュ', 'D': 'Jean-Jacques-François Lebarbier'}",B,EN
Who is the creator of The Ringer?,"{'A': 'Iulian Rukavishnikov', 'B': 'Hugo Lederer', 'C': 'Zygmunt Acedański', 'D': 'Wera Ignatjewna Muchina'}",B,EN
Who is the creator of Notre-Dame-de-l’Immaculée Conception chapel?,"{'A': 'Maurice Estève', 'B': 'Ernst Waegener', 'C': 'Paul Cézanne', 'D': 'Jan Chmielewski'}",A,EN
Who is the creator of Birth of Mary?,"{'A': 'Aimée Brune', 'B': 'Charles Henri Joseph Cordier', 'C': '西山完瑛', 'D': 'Cuno Amiet'}",D,EN
Who is the creator of Lion monument?,"{'A': 'Pietro Tacca', 'B': 'Anton Rückel', 'C': 'Ludwig Habich', 'D': 'Sergey Bondarenko'}",B,EN
Who is the creator of Notre-Dame de la Prévôté?,"{'A': 'Alfred Manessier', 'B': 'Mati Karmin', 'C': 'Kenkō Shōkei', 'D': 'Mikhail Reva'}",A,EN
Who is the creator of Berlin Peace Column?,"{'A': 'グレナ・グッドエーカー', 'B': 'Christian Daniel Rauch', 'C': '鳥高斎栄昌', 'D': 'Pisanello'}",B,EN
Who is the creator of Memorial August Neidhardt von Gneisenau?,"{'A': 'Henry Parayre', 'B': 'Christian Daniel Rauch', 'C': 'Thomas Campbell', 'D': 'Mieczysław Welter'}",B,EN
Who is the creator of Memorial Johann David Ludwig Yorck von Wartenburg?,"{'A': 'Ganku', 'B': 'Katsushika Isai', 'C': '古山師重', 'D': 'Christian Daniel Rauch'}",D,EN
Who is the creator of Memorial Gerhard von Scharnhorst?,"{'A': 'Walter Runeberg', 'B': 'Christian Daniel Rauch', 'C': 'Watanabe Kazan', 'D': '土佐光起'}",B,EN
Who is the creator of Statue of Kurfürst Joachim II.?,"{'A': 'Alfred Hrdlicka', 'B': 'J. Massey Rhind', 'C': 'Erdmann Encke', 'D': 'Brigitte Kowanz'}",C,EN
Who is the creator of Siemens-Ehrenmal?,"{'A': 'Hans Memling', 'B': 'Tosa Mitsunori', 'C': 'Peter Clodt Von Jürgensburg', 'D': 'Joseph Wackerle'}",D,EN
Who is the creator of Statue Freiherr Karl vom und zum Stein?,"{'A': 'Jawad Saleem', 'B': 'Hermann Schievelbein', 'C': 'Edgar Degas', 'D': ""Rai San'yo""}",B,EN
Who is the creator of Cascada Monumental?,"{'A': 'ラファエル・イスラエリヤン', 'B': 'Louis-Marie Dulieu de Chenevoux', 'C': 'José Fontseré Mestre', 'D': 'Michail Ossipowitsch Mikeschin'}",C,EN
Who is the creator of statue Amazone?,"{'A': '永樂保全', 'B': 'Carl Burckhardt', 'C': 'Suryavarman II.', 'D': '狩野常信'}",B,EN
Who is the creator of Duncker Monument?,"{'A': 'Charles Müller', 'B': 'Walter Howard', 'C': '西川祐信', 'D': 'ピエール・オーギュスト・コット'}",B,EN
Who is the creator of Reformed Church?,"{'A': 'グレイヒャン卿', 'B': 'Paul Zehnder', 'C': 'Sergey Bondarenko', 'D': 'ピエール・シュプレイラス'}",B,EN
Who is the creator of Stadtbrunnen (Darmstadt)?,"{'A': 'Antoine Watteau', 'B': 'Johann Baptist Scholl', 'C': 'Ettore Ximenes', 'D': 'Antoine van Dyck'}",B,EN
Who is the creator of Büste Adelbert von Chamisso?,"{'A': '松花堂昭乗', 'B': 'Julius Moser', 'C': 'French Indochina', 'D': 'Marie Eléonore Godefroy'}",B,EN
Who is the creator of Berliner Meilenstein & Bärenskulptur?,"{'A': 'Émile Morlaix', 'B': 'Tankut Öktem', 'C': 'ラファエル・コラン', 'D': 'Günter Anlauf'}",D,EN
Who is the creator of Memorial for Hermann Schulze-Delitzsch?,"{'A': 'ロドルフォ・ベルナルデリ', 'B': 'Unkoku Tōban', 'C': 'Hans Aeschbacher', 'D': 'Hans Arnold'}",D,EN
Who is the creator of Unter den Stangen?,"{'A': 'Hans Dieter Bohnet', 'B': 'Muqi', 'C': 'Tawaraya Sōtatsu', 'D': 'Manuel de Araújo Porto-alegre'}",A,EN
Who is the creator of Zschokke-Memorial?,"{'A': 'Alfred Lanz', 'B': 'Tadevos Gevorgyan', 'C': 'Conrad Freyberg', 'D': 'Ivan. Vitali'}",A,EN
Who is the creator of Fischerbrunnen?,"{'A': 'Reinhold Felderhoff', 'B': 'Pierre-Auguste Renoir', 'C': 'アンリ・ファンタン＝ラトゥール', 'D': 'ティム'}",A,EN
Who is the creator of reformed church?,"{'A': 'Angelo Biancini', 'B': 'Leo Steck', 'C': 'Le Greco', 'D': 'Kazimierz Gustaw Zemła'}",B,EN
Who is the creator of Gottfried Schwab Denkmal?,"{'A': 'Ludwig Habich', 'B': 'Leo Gumilevsky', 'C': 'Roman Vilhushynsky', 'D': 'オーガスタス・セント＝ゴーデンス'}",A,EN
Who is the creator of Andreas Christian Gerlach memorial?,"{'A': 'アンリ・ヴァン・デ・ヴェルデ', 'B': 'ルイーズ・アベマ', 'C': 'カダニのミクラシュ', 'D': 'Otto Panzner'}",D,EN
Who is the creator of Otto Lilienthal memorial?,"{'A': 'Peter Breuer', 'B': 'ルイーズ・モワヨン', 'C': 'Matti Varik', 'D': ""Henry d'Anty""}",A,EN
Who is the creator of Löwendenkmal?,"{'A': 'François-Joseph Kinson', 'B': '藤原隆信', 'C': 'Elgudscha Amaschukeli', 'D': 'Urs Eggenschwyler'}",D,EN
Who is the creator of La Ville d'Arbois à Pasteur?,"{'A': '柳沢淇園', 'B': 'Horace Daillion', 'C': 'Pierre-Henri de Valenciennes', 'D': 'ヘラルド・ポルト'}",B,EN
Who is the creator of Aragil?,"{'A': 'Ricardo Gianetti', 'B': 'Alfred Hrdlicka', 'C': 'Rafael Israelyan', 'D': 'サルギス・バグダサリヤン'}",C,EN
Who is the creator of Stix?,"{'A': 'Christian Moeller', 'B': 'Roger de Villiers', 'C': 'Théodore Jacques', 'D': 'Francisco Asorey'}",A,EN
Who is the creator of Mother of All Asia–Tower of Peace?,"{'A': 'Bohumil Kafka', 'B': 'ユベール・ロベール', 'C': 'Eduardo Castrillo', 'D': 'Bernard Dufour'}",C,EN
Who is the creator of Henry Murger?,"{'A': '烏丸光広 (公卿)', 'B': 'Thomas Ustick Walter', 'C': 'アント・ファーム', 'D': 'Henri Théophile Bouillon'}",D,EN
Who is the creator of Helvetia on a journey?,"{'A': 'Bettina Eichin', 'B': 'Reinhold Felderhoff', 'C': '文観房弘真', 'D': 'Ike no Taiga'}",A,EN
Who is the creator of Airship Gulliver?,"{'A': 'Martin Rajniš', 'B': 'Ilya Shanin', 'C': 'William Bouguereau', 'D': '清原雪信'}",A,EN
